Deck,NoteType,Front,Back,Extra,CardType,Importance,Difficulty,ExamUse,KnowledgeDomain,SourceTopicID,SourceTopicName,SourceFile,SourceLocator,RelatedQuestionIDs,QuestionYear,QuestionSession,QuestionPart,QuestionNumber,QuestionStem,Options,Answer,Explanation,WrongOptionAnalysis,ExamSignal,Checksum,TagsText,QualityScore,QualityStatus,ReviewNotes
软考::系统集成项目管理工程师::专题学习::成本管理::T-COST-002_挣值管理与成本绩效分析,RuankaoTopicCard,挣值管理 EVM 试图同时回答哪三个问题？,按计划应该完成多少、实际完成了多少、实际花了多少钱。,对应三个基础量：PV、EV、AC。EVM 的价值是把范围、进度、成本放到同一货币口径下比较。,概念卡,B,2,上午选择,成本管理,T-COST-002,挣值管理与成本绩效分析,anki_pilot/T-COST-002/cards.csv,golden pilot card,,,,,,,,,,,,sha256:919b71d09e40c0c9f12b7301,ruankao ruankao::anki_build::20260520_221409 ruankao::difficulty::2 ruankao::domain::成本管理 ruankao::exam_use::上午选择 ruankao::golden_sample ruankao::importance::B ruankao::topic ruankao::topic::T-COST-002 ruankao::type::概念卡,100,final,A：通过质量门禁
软考::系统集成项目管理工程师::专题学习::成本管理::T-COST-002_挣值管理与成本绩效分析,RuankaoTopicCard,PV（Planned Value）是什么？,计划价值：到某一时点，按计划应该完成工作的预算价值。,关键词是“计划应该”。PV 不看实际完成情况。项目完工时 PV 总额等于 BAC。,概念卡,B,2,上午选择,成本管理,T-COST-002,挣值管理与成本绩效分析,anki_pilot/T-COST-002/cards.csv,golden pilot card,,,,,,,,,,,,sha256:e5618dc19445678d7e2f4f2d,ruankao ruankao::anki_build::20260520_221409 ruankao::difficulty::2 ruankao::domain::成本管理 ruankao::exam_use::上午选择 ruankao::golden_sample ruankao::importance::B ruankao::topic ruankao::topic::T-COST-002 ruankao::type::概念卡,100,final,A：通过质量门禁
软考::系统集成项目管理工程师::专题学习::成本管理::T-COST-002_挣值管理与成本绩效分析,RuankaoTopicCard,EV（Earned Value）是什么？,挣值：实际完成工作的预算价值。,EV 不是实际花费，而是“已完成产出按预算值多少钱”。它是 EVM 中最关键也最容易混的量。,概念卡,B,2,上午选择,成本管理,T-COST-002,挣值管理与成本绩效分析,anki_pilot/T-COST-002/cards.csv,golden pilot card,,,,,,,,,,,,sha256:30b785e39802c99969ff0834,ruankao ruankao::anki_build::20260520_221409 ruankao::difficulty::2 ruankao::domain::成本管理 ruankao::exam_use::上午选择 ruankao::golden_sample ruankao::importance::B ruankao::topic ruankao::topic::T-COST-002 ruankao::type::概念卡,100,final,A：通过质量门禁
软考::系统集成项目管理工程师::专题学习::成本管理::T-COST-002_挣值管理与成本绩效分析,RuankaoTopicCard,AC（Actual Cost）是什么？,实际成本：完成与 EV 对应工作实际发生的成本。,AC 来自实际花费，但口径要和 PV/EV 保持一致，比如是否包含间接成本。,概念卡,B,2,上午选择,成本管理,T-COST-002,挣值管理与成本绩效分析,anki_pilot/T-COST-002/cards.csv,golden pilot card,,,,,,,,,,,,sha256:6d16493edbb05a17aa80f80e,ruankao ruankao::anki_build::20260520_221409 ruankao::difficulty::2 ruankao::domain::成本管理 ruankao::exam_use::上午选择 ruankao::golden_sample ruankao::importance::B ruankao::topic ruankao::topic::T-COST-002 ruankao::type::概念卡,100,final,A：通过质量门禁
软考::系统集成项目管理工程师::专题学习::成本管理::T-COST-002_挣值管理与成本绩效分析,RuankaoTopicCard,BAC 在挣值管理中表示什么？,完工预算，即项目全部计划工作的总预算。,BAC 是预测 EAC、VAC、TCPI 的基准。,概念卡,B,2,上午选择,成本管理,T-COST-002,挣值管理与成本绩效分析,anki_pilot/T-COST-002/cards.csv,golden pilot card,,,,,,,,,,,,sha256:a4f58f42a3f8457fe028fa68,ruankao ruankao::anki_build::20260520_221409 ruankao::difficulty::2 ruankao::domain::成本管理 ruankao::exam_use::上午选择 ruankao::golden_sample ruankao::importance::B ruankao::topic ruankao::topic::T-COST-002 ruankao::type::概念卡,100,final,A：通过质量门禁
软考::系统集成项目管理工程师::专题学习::成本管理::T-COST-002_挣值管理与成本绩效分析,RuankaoTopicCard,为什么说 EV 是 EVM 的核心？,因为 EV 把实际完成量转换成预算价值，使进度和成本都能用同一口径比较。,进度比较 EV 与 PV；成本比较 EV 与 AC。没有 EV，很多绩效判断不能成立。,概念卡,B,3,上午选择,成本管理,T-COST-002,挣值管理与成本绩效分析,anki_pilot/T-COST-002/cards.csv,golden pilot card,,,,,,,,,,,,sha256:9a8cd31571628e6d929ebfd3,ruankao ruankao::anki_build::20260520_221409 ruankao::difficulty::3 ruankao::domain::成本管理 ruankao::exam_use::上午选择 ruankao::golden_sample ruankao::importance::B ruankao::topic ruankao::topic::T-COST-002 ruankao::type::概念卡,100,final,A：通过质量门禁
软考::系统集成项目管理工程师::专题学习::成本管理::T-COST-002_挣值管理与成本绩效分析,RuankaoTopicCard,SV 和 CV 的单位是什么？,货币单位，如元、万元。,SV/CV 是差值，不是天数或百分比。SPI/CPI 才是无量纲指数。,概念卡,B,2,上午选择,成本管理,T-COST-002,挣值管理与成本绩效分析,anki_pilot/T-COST-002/cards.csv,golden pilot card,,,,,,,,,,,,sha256:83c92784d436924786684dbc,ruankao ruankao::anki_build::20260520_221409 ruankao::difficulty::2 ruankao::domain::成本管理 ruankao::exam_use::上午选择 ruankao::golden_sample ruankao::importance::B ruankao::topic ruankao::topic::T-COST-002 ruankao::type::概念卡,100,final,A：通过质量门禁
软考::系统集成项目管理工程师::专题学习::成本管理::T-COST-002_挣值管理与成本绩效分析,RuankaoTopicCard,SPI 和 CPI 的判断阈值是什么？,大于 1 通常表示好，等于 1 符合计划，小于 1 表示差。,SPI < 1 是进度效率低于计划；CPI < 1 是成本效率低于计划。,概念卡,B,2,上午选择,成本管理,T-COST-002,挣值管理与成本绩效分析,anki_pilot/T-COST-002/cards.csv,golden pilot card,,,,,,,,,,,,sha256:d84a74324887b3b28186af24,ruankao ruankao::anki_build::20260520_221409 ruankao::difficulty::2 ruankao::domain::成本管理 ruankao::exam_use::上午选择 ruankao::golden_sample ruankao::importance::B ruankao::topic ruankao::topic::T-COST-002 ruankao::type::概念卡,100,final,A：通过质量门禁
软考::系统集成项目管理工程师::专题学习::成本管理::T-COST-002_挣值管理与成本绩效分析,RuankaoTopicCard,EAC 表示什么？,完工估算：根据当前绩效和假设预测项目完工总成本。,EAC 不是固定公式，公式取决于题干对未来绩效的假设。,概念卡,B,3,上午选择,成本管理,T-COST-002,挣值管理与成本绩效分析,anki_pilot/T-COST-002/cards.csv,golden pilot card,,,,,,,,,,,,sha256:3d9530bbb2f874e813dd9d1f,ruankao ruankao::anki_build::20260520_221409 ruankao::difficulty::3 ruankao::domain::成本管理 ruankao::exam_use::上午选择 ruankao::golden_sample ruankao::importance::B ruankao::topic ruankao::topic::T-COST-002 ruankao::type::概念卡,100,final,A：通过质量门禁
软考::系统集成项目管理工程师::专题学习::成本管理::T-COST-002_挣值管理与成本绩效分析,RuankaoTopicCard,ETC 表示什么？,完工尚需估算：从当前到完工还需要的成本。,常用关系：ETC = EAC - AC。,概念卡,B,2,上午选择,成本管理,T-COST-002,挣值管理与成本绩效分析,anki_pilot/T-COST-002/cards.csv,golden pilot card,,,,,,,,,,,,sha256:4fff983b66c4297bdd78d2a6,ruankao ruankao::anki_build::20260520_221409 ruankao::difficulty::2 ruankao::domain::成本管理 ruankao::exam_use::上午选择 ruankao::golden_sample ruankao::importance::B ruankao::topic ruankao::topic::T-COST-002 ruankao::type::概念卡,100,final,A：通过质量门禁
