deck,note_type,front,back,extra,card_family,card_type,concept_name,concept_aliases,importance,difficulty,exam_use,knowledge_domain,chapter_id,chapter_name,source_topic_ids,source_topic_names,source_ids,source_file,source_heading,related_question_ids,related_topic_ids,manual_review_status,manual_review_note,tags,checksum
软考::系统集成项目管理工程师::03_立项管理::章节概念卡::03_立项管理_概念卡,RuankaoTopicCard,重大变更重新报批是什么意思？,当后续文件相对已批复依据发生重大偏离时，应回到相应前置文件重新报批。,<div>例子：可研内容相对项目建议书批复重大变更时，应重新报批项目建议书。</div><div>来源：tutorial 5.3。</div>,chapter_concept,陷阱卡,重大变更重新报批,重新报批,A,3,章节概念,立项管理,03,立项管理,T-FEA-001,立项管理：项目建议书、可行性研究与项目论证,SRC-FEA-TUTOR-007,tutorial.full.clean.md,5.3 项目审批,,,keep,保留稳定规则，避开具体数字争议。,ruankao ruankao::build::20260520_235046 ruankao::family::chapter_concept ruankao::chapter::03 ruankao::domain::立项管理 ruankao::type::陷阱卡 ruankao::concept::重大变更重新报批 ruankao::review::keep,sha256:5d9dc3cfce6aa8ef1610ec58
软考::系统集成项目管理工程师::待核验与复查,RuankaoTopicCard,三级可研常见误差范围是什么？,needs_human_review：常见说法是机会研究、初步可研、详细可研的估算误差逐级变小。,<div>人工核验点：具体 ±30%、±20%、±10% 数字需核对教材版本。</div><div>来源：T-FEA-001 专题包；pending verification PV-014。</div>,chapter_concept,待核验卡,三级可研误差范围,可研误差范围,B,4,章节概念,立项管理,03,立项管理,T-FEA-001,立项管理：项目建议书、可行性研究与项目论证,SRC-FEA-TOPIC-004;SRC-FEA-PV-001,topic_learning_packages/topics/03_立项管理/T-FEA-001_专题学习包_立项管理项目建议书可行性研究与项目论证.md,机会研究、初步可研与详细可研,,,needs_human_review,方向稳定但数字待核验，必须隔离。,ruankao ruankao::build::20260520_235046 ruankao::family::chapter_concept ruankao::chapter::03 ruankao::domain::立项管理 ruankao::type::待核验卡 ruankao::concept::三级可研误差范围 ruankao::review::needs_human_review ruankao::needs_review ruankao::not_for_main_review,sha256:7a83ba36e9c6d94a12824483
软考::系统集成项目管理工程师::待核验与复查,RuankaoTopicCard,投资概算超出可研批复额度的重报数字是多少？,needs_human_review：教程 OCR 出现 10% 口径，但属于法规数字，导入主卡前需核对教材原文或现行规定。,<div>稳定方向：重大变更或超出已批复投资控制指标时，不能自行推进，应按规定重新报批。</div><div>来源：tutorial 5.3；Q31。</div>,chapter_concept,待核验卡,投资概算超额重报数字,10%重报规则,B,4,章节概念,立项管理,03,立项管理,T-FEA-001,立项管理：项目建议书、可行性研究与项目论证,SRC-FEA-TUTOR-007;SRC-FEA-Q-031,tutorial.full.clean.md;questions.full.clean.md,5.3 项目审批 / Q31,,,needs_human_review,涉及法规数字和 OCR，明确不进主复习。,ruankao ruankao::build::20260520_235046 ruankao::family::chapter_concept ruankao::chapter::03 ruankao::domain::立项管理 ruankao::type::待核验卡 ruankao::concept::投资概算超额重报数字 ruankao::review::needs_human_review ruankao::needs_review ruankao::not_for_main_review,sha256:87577c708101f86f1661206c
软考::系统集成项目管理工程师::待核验与复查,RuankaoTopicCard,项目建议书核心内容是否包含风险因素及对策？,needs_human_review：不能直接下结论；真题曾把它作为不属于核心内容的选项，但教程提纲又出现风险对策章节。,<div>人工核验点：可能是“核心内容”和“扩充提纲”的语境差异，需要回查原题和教材。</div><div>来源：Q32；tutorial 5.1.1。</div>,chapter_concept,待核验卡,项目建议书核心内容风险对策,项目建议书风险因素,B,4,章节概念,立项管理,03,立项管理,T-FEA-001,立项管理：项目建议书、可行性研究与项目论证,SRC-FEA-Q-032-CONFLICT;SRC-FEA-TUTOR-001,questions.full.clean.md;tutorial.full.clean.md,项目建议书核心内容题 / 5.1.1,,,needs_human_review,材料冲突，不能做成确定背诵卡。,ruankao ruankao::build::20260520_235046 ruankao::family::chapter_concept ruankao::chapter::03 ruankao::domain::立项管理 ruankao::type::待核验卡 ruankao::concept::项目建议书核心内容风险对策 ruankao::review::needs_human_review ruankao::needs_review ruankao::not_for_main_review,sha256:3cd7af526ad455210a4317d9
软考::系统集成项目管理工程师::06_进度管理::章节概念卡::06_进度管理_概念卡,RuankaoTopicCard,总时差是什么？,总时差是在不延误项目完工日期前提下活动可推迟的时间。,<div>理解：题干问“不影响总工期”就是总时差。</div><div>题干信号：不影响总工期</div><div>来源：06_进度管理 专题包 / topic_build_full 相关小节</div>,chapter_concept,概念卡,总时差,,A,2,章节概念,进度管理,06,进度管理,T-SCH-002;T-SCH-003,活动排序、依赖关系、PDM/AOA 与提前滞后量;关键路径、总时差、自由时差与网络图判断,SRC-CH-06-008,topic_learning_packages/topics/06_进度管理/T-SCH-002_专题学习包_活动排序依赖关系PDM_AOA与提前滞后量.md;topic_learning_packages/topics/06_进度管理/T-SCH-003_专题学习包_关键路径总时差自由时差与网络图判断.md,总时差,,,keep,Front 聚焦“总时差”这一章内概念，Back 一句话定边界，Extra 给出本概念的题干信号。,ruankao ruankao::build::20260520_235046 ruankao::chapter::06 ruankao::domain::进度管理 ruankao::type::概念卡 ruankao::importance::A ruankao::difficulty::2 ruankao::review::keep ruankao::chapter_concept,sha256:86e24bf288ca110bf5cec7cf
软考::系统集成项目管理工程师::06_进度管理::章节概念卡::06_进度管理_概念卡,RuankaoTopicCard,自由时差是什么？,自由时差是在不延误紧后活动最早开始前提下活动可推迟的时间。,<div>理解：自由时差通常小于或等于总时差。</div><div>题干信号：不影响紧后活动</div><div>来源：06_进度管理 专题包 / topic_build_full 相关小节</div>,chapter_concept,概念卡,自由时差,,A,2,章节概念,进度管理,06,进度管理,T-SCH-002;T-SCH-003,活动排序、依赖关系、PDM/AOA 与提前滞后量;关键路径、总时差、自由时差与网络图判断,SRC-CH-06-009,topic_learning_packages/topics/06_进度管理/T-SCH-002_专题学习包_活动排序依赖关系PDM_AOA与提前滞后量.md;topic_learning_packages/topics/06_进度管理/T-SCH-003_专题学习包_关键路径总时差自由时差与网络图判断.md,自由时差,,,keep,Front 聚焦“自由时差”这一章内概念，Back 一句话定边界，Extra 给出本概念的题干信号。,ruankao ruankao::build::20260520_235046 ruankao::chapter::06 ruankao::domain::进度管理 ruankao::type::概念卡 ruankao::importance::A ruankao::difficulty::2 ruankao::review::keep ruankao::chapter_concept,sha256:b7835ce74f6d24e3705d2bad
软考::系统集成项目管理工程师::待核验与复查,RuankaoTopicCard,进度管理中哪些概念不应直接按数字或版本背诵？,涉及法规数字、标准编号、过程名称版本差异或教材译名的内容，应先核验教材或现行法规。,<div>理解：这类卡只提醒隔离风险，不把不稳定数字塞进主复习。</div><div>来源：pending_verification_register.md</div>,chapter_concept,待核验卡,教材口径待核验项,,C,3,待核验,进度管理,06,进度管理,T-SCH-002;T-SCH-003,活动排序、依赖关系、PDM/AOA 与提前滞后量;关键路径、总时差、自由时差与网络图判断,SRC-PV-06,topic_learning_packages/reports/pending_verification_register.md,相关 PV 条目,,,needs_human_review,涉及法规、标准或教材口径差异，方向可复习但具体数字和版本必须人工核验。,ruankao ruankao::build::20260520_235046 ruankao::chapter::06 ruankao::domain::进度管理 ruankao::type::待核验卡 ruankao::importance::C ruankao::difficulty::3 ruankao::review::needs_human_review ruankao::chapter_concept ruankao::needs_review ruankao::not_for_main_review,sha256:6db1cfdb52305435fceaedea
软考::系统集成项目管理工程师::09_人力资源与沟通管理::章节概念卡::09_人力资源与沟通管理_概念卡,RuankaoTopicCard,沟通渠道数是什么？,沟通渠道数表示 n 个成员之间潜在沟通路径，常用 n(n-1)/2。,<div>理解：新增人员会显著增加沟通复杂度。</div><div>题干信号：n(n-1)/2</div><div>来源：09_人力资源与沟通管理 专题包 / topic_build_full 相关小节</div>,chapter_concept,概念卡,沟通渠道数,,A,2,章节概念,人力资源与沟通管理,09,人力资源与沟通管理,T-COM-001;T-HR-001,沟通渠道计算与干系人参与管理;项目人力资源管理：组织计划、团队建设与团队管理,SRC-CH-09-008,topic_learning_packages/topics/09_人力资源与沟通管理/T-COM-001_专题学习包_沟通渠道计算与干系人参与管理.md;topic_learning_packages/topics/09_人力资源与沟通管理/T-HR-001_专题学习包_项目人力资源管理组织计划团队建设与团队管理.md,沟通渠道数,,,keep,Front 聚焦“沟通渠道数”这一章内概念，Back 一句话定边界，Extra 给出本概念的题干信号。,ruankao ruankao::build::20260520_235046 ruankao::chapter::09 ruankao::domain::人力资源与沟通管理 ruankao::type::概念卡 ruankao::importance::A ruankao::difficulty::2 ruankao::review::keep ruankao::chapter_concept,sha256:020f3321b0c58575d3f0c232
软考::系统集成项目管理工程师::待核验与复查,RuankaoTopicCard,人力资源与沟通管理中哪些概念不应直接按数字或版本背诵？,涉及法规数字、标准编号、过程名称版本差异或教材译名的内容，应先核验教材或现行法规。,<div>理解：这类卡只提醒隔离风险，不把不稳定数字塞进主复习。</div><div>来源：pending_verification_register.md</div>,chapter_concept,待核验卡,教材口径待核验项,,C,3,待核验,人力资源与沟通管理,09,人力资源与沟通管理,T-COM-001;T-HR-001,沟通渠道计算与干系人参与管理;项目人力资源管理：组织计划、团队建设与团队管理,SRC-PV-09,topic_learning_packages/reports/pending_verification_register.md,相关 PV 条目,,,needs_human_review,涉及法规、标准或教材口径差异，方向可复习但具体数字和版本必须人工核验。,ruankao ruankao::build::20260520_235046 ruankao::chapter::09 ruankao::domain::人力资源与沟通管理 ruankao::type::待核验卡 ruankao::importance::C ruankao::difficulty::3 ruankao::review::needs_human_review ruankao::chapter_concept ruankao::needs_review ruankao::not_for_main_review,sha256:277b2f8b3d121fea428cb0b7
软考::系统集成项目管理工程师::03_立项管理::专题问答卡::T-FEA-001_立项管理_项目建议书_可行性研究与项目论证,RuankaoTopicCard,可行性研究是否只需要论证收益，不需要论证风险？,不是。可行性研究应评价风险因素并提出对策，为项目全过程风险管理提供依据。,<div>理解：可研阶段的风险分析是“是否值得立项”的前置判断，不是执行阶段风险管理的全部替代品。</div><div>题干信号：供应商退出、许可无法取得、关键技术不成熟、市场或财务不确定。</div><div>来源：SRC-FEA-TUTOR-003。</div>,topic_qa,陷阱卡,,,A,2,案例分析,立项管理,03,立项管理,T-FEA-001,立项管理：项目建议书、可行性研究与项目论证,SRC-FEA-TUTOR-003;SRC-FEA-Q-CASE-001,tutorial.full.clean.md;questions.full.clean.md,5.2.1 风险因素及对策 / WiMAX 案例,,T-RISK-001,keep,纠正高频误解，Back 简短。,ruankao ruankao::build::20260520_235046 ruankao::topic ruankao::topic::T-FEA-001 ruankao::domain::立项管理 ruankao::type::陷阱卡 ruankao::importance::A ruankao::difficulty::2 ruankao::review::keep ruankao::family::topic_qa ruankao::chapter::03,sha256:7dddbda752d2d2e4d699e637
