deck,note_type,front,back,extra,card_family,card_type,concept_name,concept_aliases,importance,difficulty,exam_use,knowledge_domain,chapter_id,chapter_name,source_topic_ids,source_topic_names,source_ids,source_file,source_heading,related_question_ids,related_topic_ids,manual_review_status,manual_review_note,tags,checksum
软考::系统集成项目管理工程师::05_范围管理::章节概念卡::05_范围管理_概念卡,RuankaoTopicCard,范围管理计划是什么？,范围管理计划说明如何定义、确认和控制项目范围。,<div>理解：它是管理方法，不是具体范围内容。</div><div>题干信号：如何定义/确认/控制范围</div><div>来源：05_范围管理 专题包 / topic_build_full 相关小节</div>,chapter_concept,概念卡,范围管理计划,,A,2,章节概念,范围管理,05,范围管理,T-SCOPE-002,WBS、工作包、WBS 字典与范围基准,SRC-CH-05-001,topic_learning_packages/topics/05_范围管理/T-SCOPE-002_专题学习包_WBS工作包WBS字典与范围基准.md,范围管理计划,,,keep,Front 聚焦“范围管理计划”这一章内概念，Back 一句话定边界，Extra 给出本概念的题干信号。,ruankao ruankao::build::20260520_235046 ruankao::chapter::05 ruankao::domain::范围管理 ruankao::type::概念卡 ruankao::importance::A ruankao::difficulty::2 ruankao::review::keep ruankao::chapter_concept,sha256:e143f0479c906b468fa42685
软考::系统集成项目管理工程师::05_范围管理::章节概念卡::05_范围管理_概念卡,RuankaoTopicCard,需求管理计划是什么？,需求管理计划说明如何分析、记录和管理需求。,<div>理解：它管需求过程，需求跟踪矩阵才管需求到交付成果的追踪关系。</div><div>题干信号：需求收集、分析、跟踪</div><div>来源：05_范围管理 专题包 / topic_build_full 相关小节</div>,chapter_concept,概念卡,需求管理计划,,B,3,章节概念,范围管理,05,范围管理,T-SCOPE-002,WBS、工作包、WBS 字典与范围基准,SRC-CH-05-002,topic_learning_packages/topics/05_范围管理/T-SCOPE-002_专题学习包_WBS工作包WBS字典与范围基准.md,需求管理计划,,,keep,Front 聚焦“需求管理计划”这一章内概念，Back 一句话定边界，Extra 给出本概念的题干信号。,ruankao ruankao::build::20260520_235046 ruankao::chapter::05 ruankao::domain::范围管理 ruankao::type::概念卡 ruankao::importance::B ruankao::difficulty::3 ruankao::review::keep ruankao::chapter_concept,sha256:c5c2367a1ec1b63005f49cb4
软考::系统集成项目管理工程师::05_范围管理::章节概念卡::05_范围管理_概念卡,RuankaoTopicCard,需求跟踪矩阵是什么？,需求跟踪矩阵把需求与业务目标、可交付成果、测试和验收连接起来。,<div>理解：案例题中“需求丢失、验收争议”常可追到需求跟踪不足。</div><div>题干信号：需求到交付成果/测试</div><div>来源：05_范围管理 专题包 / topic_build_full 相关小节</div>,chapter_concept,概念卡,需求跟踪矩阵,,A,2,章节概念,范围管理,05,范围管理,T-SCOPE-002,WBS、工作包、WBS 字典与范围基准,SRC-CH-05-003,topic_learning_packages/topics/05_范围管理/T-SCOPE-002_专题学习包_WBS工作包WBS字典与范围基准.md,需求跟踪矩阵,,,keep,Front 聚焦“需求跟踪矩阵”这一章内概念，Back 一句话定边界，Extra 给出本概念的题干信号。,ruankao ruankao::build::20260520_235046 ruankao::chapter::05 ruankao::domain::范围管理 ruankao::type::概念卡 ruankao::importance::A ruankao::difficulty::2 ruankao::review::keep ruankao::chapter_concept,sha256:6bc4963cdb092e14498fc8b0
软考::系统集成项目管理工程师::05_范围管理::章节概念卡::05_范围管理_概念卡,RuankaoTopicCard,项目范围说明书是什么？,项目范围说明书描述项目范围、主要可交付成果、验收标准和除外责任。,<div>理解：它比章程更详细，是定义范围的重要输出。</div><div>题干信号：可交付成果、验收标准</div><div>来源：05_范围管理 专题包 / topic_build_full 相关小节</div>,chapter_concept,概念卡,项目范围说明书,,A,2,章节概念,范围管理,05,范围管理,T-SCOPE-002,WBS、工作包、WBS 字典与范围基准,SRC-CH-05-004,topic_learning_packages/topics/05_范围管理/T-SCOPE-002_专题学习包_WBS工作包WBS字典与范围基准.md,项目范围说明书,,,keep,Front 聚焦“项目范围说明书”这一章内概念，Back 一句话定边界，Extra 给出本概念的题干信号。,ruankao ruankao::build::20260520_235046 ruankao::chapter::05 ruankao::domain::范围管理 ruankao::type::概念卡 ruankao::importance::A ruankao::difficulty::2 ruankao::review::keep ruankao::chapter_concept,sha256:400cb6821d8857eb5ecdaa20
软考::系统集成项目管理工程师::05_范围管理::章节概念卡::05_范围管理_概念卡,RuankaoTopicCard,WBS是什么？,WBS 是以可交付成果为导向的层级分解结构。,<div>理解：WBS 分解的是成果，不是直接把活动排进进度表。</div><div>题干信号：可交付成果、层级分解</div><div>来源：05_范围管理 专题包 / topic_build_full 相关小节</div>,chapter_concept,概念卡,WBS,,A,2,章节概念,范围管理,05,范围管理,T-SCOPE-002,WBS、工作包、WBS 字典与范围基准,SRC-CH-05-005,topic_learning_packages/topics/05_范围管理/T-SCOPE-002_专题学习包_WBS工作包WBS字典与范围基准.md,WBS,,,keep,Front 聚焦“WBS”这一章内概念，Back 一句话定边界，Extra 给出本概念的题干信号。,ruankao ruankao::build::20260520_235046 ruankao::chapter::05 ruankao::domain::范围管理 ruankao::type::概念卡 ruankao::importance::A ruankao::difficulty::2 ruankao::review::keep ruankao::chapter_concept,sha256:47a394c8066c1adf93734150
软考::系统集成项目管理工程师::05_范围管理::章节概念卡::05_范围管理_概念卡,RuankaoTopicCard,工作包是什么？,工作包是 WBS 最底层、便于估算和分配责任的可管理单元。,<div>理解：工作包之后还要定义活动，不能直接等同于活动。</div><div>题干信号：WBS最低层、估算责任</div><div>来源：05_范围管理 专题包 / topic_build_full 相关小节</div>,chapter_concept,概念卡,工作包,,A,2,章节概念,范围管理,05,范围管理,T-SCOPE-002,WBS、工作包、WBS 字典与范围基准,SRC-CH-05-006,topic_learning_packages/topics/05_范围管理/T-SCOPE-002_专题学习包_WBS工作包WBS字典与范围基准.md,工作包,,,keep,Front 聚焦“工作包”这一章内概念，Back 一句话定边界，Extra 给出本概念的题干信号。,ruankao ruankao::build::20260520_235046 ruankao::chapter::05 ruankao::domain::范围管理 ruankao::type::概念卡 ruankao::importance::A ruankao::difficulty::2 ruankao::review::keep ruankao::chapter_concept,sha256:af59fe4b2e5301e3ddb9d264
软考::系统集成项目管理工程师::05_范围管理::章节概念卡::05_范围管理_概念卡,RuankaoTopicCard,WBS 词典是什么？,WBS 词典为 WBS 组件提供详细说明，如范围、责任、验收标准等。,<div>理解：它是 WBS 的说明书，能减少“只看名称”的误解。</div><div>题干信号：说明书、责任、验收</div><div>来源：05_范围管理 专题包 / topic_build_full 相关小节</div>,chapter_concept,概念卡,WBS 词典,,B,3,章节概念,范围管理,05,范围管理,T-SCOPE-002,WBS、工作包、WBS 字典与范围基准,SRC-CH-05-007,topic_learning_packages/topics/05_范围管理/T-SCOPE-002_专题学习包_WBS工作包WBS字典与范围基准.md,WBS 词典,,,keep,Front 聚焦“WBS 词典”这一章内概念，Back 一句话定边界，Extra 给出本概念的题干信号。,ruankao ruankao::build::20260520_235046 ruankao::chapter::05 ruankao::domain::范围管理 ruankao::type::概念卡 ruankao::importance::B ruankao::difficulty::3 ruankao::review::keep ruankao::chapter_concept,sha256:4e065b135103013287ebb3e3
软考::系统集成项目管理工程师::05_范围管理::章节概念卡::05_范围管理_概念卡,RuankaoTopicCard,范围基准是什么？,范围基准由范围说明书、WBS 和 WBS 词典组成，是范围控制的比较依据。,<div>理解：未经批准不能随意改范围基准。</div><div>题干信号：三件套、控制依据</div><div>来源：05_范围管理 专题包 / topic_build_full 相关小节</div>,chapter_concept,概念卡,范围基准,,A,2,章节概念,范围管理,05,范围管理,T-SCOPE-002,WBS、工作包、WBS 字典与范围基准,SRC-CH-05-008,topic_learning_packages/topics/05_范围管理/T-SCOPE-002_专题学习包_WBS工作包WBS字典与范围基准.md,范围基准,,,keep,Front 聚焦“范围基准”这一章内概念，Back 一句话定边界，Extra 给出本概念的题干信号。,ruankao ruankao::build::20260520_235046 ruankao::chapter::05 ruankao::domain::范围管理 ruankao::type::概念卡 ruankao::importance::A ruankao::difficulty::2 ruankao::review::keep ruankao::chapter_concept,sha256:bcab5aa4cd445527142354f4
软考::系统集成项目管理工程师::05_范围管理::章节概念卡::05_范围管理_概念卡,RuankaoTopicCard,确认范围是什么？,确认范围是由客户或发起人正式验收已完成可交付成果的过程。,<div>理解：验收/签字/接受是信号；检查缺陷更偏质量控制。</div><div>题干信号：正式验收、接受成果</div><div>来源：05_范围管理 专题包 / topic_build_full 相关小节</div>,chapter_concept,概念卡,确认范围,,A,2,章节概念,范围管理,05,范围管理,T-SCOPE-002,WBS、工作包、WBS 字典与范围基准,SRC-CH-05-009,topic_learning_packages/topics/05_范围管理/T-SCOPE-002_专题学习包_WBS工作包WBS字典与范围基准.md,确认范围,,,keep,Front 聚焦“确认范围”这一章内概念，Back 一句话定边界，Extra 给出本概念的题干信号。,ruankao ruankao::build::20260520_235046 ruankao::chapter::05 ruankao::domain::范围管理 ruankao::type::概念卡 ruankao::importance::A ruankao::difficulty::2 ruankao::review::keep ruankao::chapter_concept,sha256:ac4c42b8374e866ea1ce151a
软考::系统集成项目管理工程师::05_范围管理::章节概念卡::05_范围管理_概念卡,RuankaoTopicCard,控制范围是什么？,控制范围关注监督范围状态并管理范围基准变更。,<div>理解：题干出现范围蔓延、未经批准的需求增加，优先想到控制范围。</div><div>题干信号：范围蔓延、变更控制</div><div>来源：05_范围管理 专题包 / topic_build_full 相关小节</div>,chapter_concept,概念卡,控制范围,,A,2,章节概念,范围管理,05,范围管理,T-SCOPE-002,WBS、工作包、WBS 字典与范围基准,SRC-CH-05-010,topic_learning_packages/topics/05_范围管理/T-SCOPE-002_专题学习包_WBS工作包WBS字典与范围基准.md,控制范围,,,keep,Front 聚焦“控制范围”这一章内概念，Back 一句话定边界，Extra 给出本概念的题干信号。,ruankao ruankao::build::20260520_235046 ruankao::chapter::05 ruankao::domain::范围管理 ruankao::type::概念卡 ruankao::importance::A ruankao::difficulty::2 ruankao::review::keep ruankao::chapter_concept,sha256:54a3f22e477871f7ce737e92
