deck,note_type,front,back,extra,card_family,card_type,concept_name,concept_aliases,importance,difficulty,exam_use,knowledge_domain,chapter_id,chapter_name,source_topic_ids,source_topic_names,source_ids,source_file,source_heading,related_question_ids,related_topic_ids,manual_review_status,manual_review_note,tags,checksum
软考::系统集成项目管理工程师::10_干系人与风险管理::章节概念卡::10_干系人与风险管理_概念卡,RuankaoTopicCard,干系人是什么？,干系人是能影响项目、受项目影响或认为自己受影响的个人、群体或组织。,<div>理解：不要只看客户，团队、供应商、监管方也可能是干系人。</div><div>题干信号：影响/受影响</div><div>来源：10_干系人与风险管理 专题包 / topic_build_full 相关小节</div>,chapter_concept,概念卡,干系人,,A,2,章节概念,干系人与风险管理,10,干系人与风险管理,T-RISK-001;T-RISK-002,风险识别、风险登记册与风险应对策略;定性/定量风险分析、EMV 与决策树,SRC-CH-10-001,topic_learning_packages/topics/10_干系人与风险管理/T-RISK-001_专题学习包_风险识别风险登记册与风险应对策略.md;topic_learning_packages/topics/10_干系人与风险管理/T-RISK-002_专题学习包_定性定量风险分析EMV与决策树.md,干系人,,,keep,Front 聚焦“干系人”这一章内概念，Back 一句话定边界，Extra 给出本概念的题干信号。,ruankao ruankao::build::20260520_235046 ruankao::chapter::10 ruankao::domain::干系人与风险管理 ruankao::type::概念卡 ruankao::importance::A ruankao::difficulty::2 ruankao::review::keep ruankao::chapter_concept,sha256:bb256b5616dea90a81fd0705
软考::系统集成项目管理工程师::10_干系人与风险管理::章节概念卡::10_干系人与风险管理_概念卡,RuankaoTopicCard,干系人登记册是什么？,干系人登记册记录干系人身份、需求、期望、影响力和分类等信息。,<div>理解：它是识别干系人的输出，也是管理参与的重要依据。</div><div>题干信号：身份、需求、影响</div><div>来源：10_干系人与风险管理 专题包 / topic_build_full 相关小节</div>,chapter_concept,概念卡,干系人登记册,,A,2,章节概念,干系人与风险管理,10,干系人与风险管理,T-RISK-001;T-RISK-002,风险识别、风险登记册与风险应对策略;定性/定量风险分析、EMV 与决策树,SRC-CH-10-002,topic_learning_packages/topics/10_干系人与风险管理/T-RISK-001_专题学习包_风险识别风险登记册与风险应对策略.md;topic_learning_packages/topics/10_干系人与风险管理/T-RISK-002_专题学习包_定性定量风险分析EMV与决策树.md,干系人登记册,,,keep,Front 聚焦“干系人登记册”这一章内概念，Back 一句话定边界，Extra 给出本概念的题干信号。,ruankao ruankao::build::20260520_235046 ruankao::chapter::10 ruankao::domain::干系人与风险管理 ruankao::type::概念卡 ruankao::importance::A ruankao::difficulty::2 ruankao::review::keep ruankao::chapter_concept,sha256:16b96985e19a48a8a3254f8e
软考::系统集成项目管理工程师::10_干系人与风险管理::章节概念卡::10_干系人与风险管理_概念卡,RuankaoTopicCard,权力利益方格是什么？,权力利益方格按权力和利益对干系人分类，帮助制定管理策略。,<div>理解：高权力高利益通常重点管理。</div><div>题干信号：权力、利益、策略</div><div>来源：10_干系人与风险管理 专题包 / topic_build_full 相关小节</div>,chapter_concept,概念卡,权力利益方格,,B,3,章节概念,干系人与风险管理,10,干系人与风险管理,T-RISK-001;T-RISK-002,风险识别、风险登记册与风险应对策略;定性/定量风险分析、EMV 与决策树,SRC-CH-10-003,topic_learning_packages/topics/10_干系人与风险管理/T-RISK-001_专题学习包_风险识别风险登记册与风险应对策略.md;topic_learning_packages/topics/10_干系人与风险管理/T-RISK-002_专题学习包_定性定量风险分析EMV与决策树.md,权力利益方格,,,keep,Front 聚焦“权力利益方格”这一章内概念，Back 一句话定边界，Extra 给出本概念的题干信号。,ruankao ruankao::build::20260520_235046 ruankao::chapter::10 ruankao::domain::干系人与风险管理 ruankao::type::概念卡 ruankao::importance::B ruankao::difficulty::3 ruankao::review::keep ruankao::chapter_concept,sha256:6da1307bb8d3a0953b4cd764
软考::系统集成项目管理工程师::10_干系人与风险管理::章节概念卡::10_干系人与风险管理_概念卡,RuankaoTopicCard,干系人参与度评估矩阵是什么？,参与度评估矩阵比较干系人当前参与程度和期望参与程度。,<div>理解：题干问当前/期望差距，想到参与度矩阵。</div><div>题干信号：当前参与、期望参与</div><div>来源：10_干系人与风险管理 专题包 / topic_build_full 相关小节</div>,chapter_concept,概念卡,干系人参与度评估矩阵,,B,3,章节概念,干系人与风险管理,10,干系人与风险管理,T-RISK-001;T-RISK-002,风险识别、风险登记册与风险应对策略;定性/定量风险分析、EMV 与决策树,SRC-CH-10-004,topic_learning_packages/topics/10_干系人与风险管理/T-RISK-001_专题学习包_风险识别风险登记册与风险应对策略.md;topic_learning_packages/topics/10_干系人与风险管理/T-RISK-002_专题学习包_定性定量风险分析EMV与决策树.md,干系人参与度评估矩阵,,,keep,Front 聚焦“干系人参与度评估矩阵”这一章内概念，Back 一句话定边界，Extra 给出本概念的题干信号。,ruankao ruankao::build::20260520_235046 ruankao::chapter::10 ruankao::domain::干系人与风险管理 ruankao::type::概念卡 ruankao::importance::B ruankao::difficulty::3 ruankao::review::keep ruankao::chapter_concept,sha256:434439fc3b05b573adbf3554
软考::系统集成项目管理工程师::10_干系人与风险管理::章节概念卡::10_干系人与风险管理_概念卡,RuankaoTopicCard,风险是什么？,风险是不确定事件或条件，一旦发生会对目标产生正面或负面影响。,<div>理解：风险未发生；已经发生的问题不再只是风险。</div><div>题干信号：不确定、目标影响</div><div>来源：10_干系人与风险管理 专题包 / topic_build_full 相关小节</div>,chapter_concept,概念卡,风险,,A,2,章节概念,干系人与风险管理,10,干系人与风险管理,T-RISK-001;T-RISK-002,风险识别、风险登记册与风险应对策略;定性/定量风险分析、EMV 与决策树,SRC-CH-10-005,topic_learning_packages/topics/10_干系人与风险管理/T-RISK-001_专题学习包_风险识别风险登记册与风险应对策略.md;topic_learning_packages/topics/10_干系人与风险管理/T-RISK-002_专题学习包_定性定量风险分析EMV与决策树.md,风险,,,keep,Front 聚焦“风险”这一章内概念，Back 一句话定边界，Extra 给出本概念的题干信号。,ruankao ruankao::build::20260520_235046 ruankao::chapter::10 ruankao::domain::干系人与风险管理 ruankao::type::概念卡 ruankao::importance::A ruankao::difficulty::2 ruankao::review::keep ruankao::chapter_concept,sha256:4db4dfc17c517c00ff7b6afe
软考::系统集成项目管理工程师::10_干系人与风险管理::章节概念卡::10_干系人与风险管理_概念卡,RuankaoTopicCard,风险登记册是什么？,风险登记册记录已识别风险、原因、责任人、应对措施和状态。,<div>理解：它随风险管理过程持续更新。</div><div>题干信号：风险、原因、应对</div><div>来源：10_干系人与风险管理 专题包 / topic_build_full 相关小节</div>,chapter_concept,概念卡,风险登记册,,A,2,章节概念,干系人与风险管理,10,干系人与风险管理,T-RISK-001;T-RISK-002,风险识别、风险登记册与风险应对策略;定性/定量风险分析、EMV 与决策树,SRC-CH-10-006,topic_learning_packages/topics/10_干系人与风险管理/T-RISK-001_专题学习包_风险识别风险登记册与风险应对策略.md;topic_learning_packages/topics/10_干系人与风险管理/T-RISK-002_专题学习包_定性定量风险分析EMV与决策树.md,风险登记册,,,keep,Front 聚焦“风险登记册”这一章内概念，Back 一句话定边界，Extra 给出本概念的题干信号。,ruankao ruankao::build::20260520_235046 ruankao::chapter::10 ruankao::domain::干系人与风险管理 ruankao::type::概念卡 ruankao::importance::A ruankao::difficulty::2 ruankao::review::keep ruankao::chapter_concept,sha256:d26fa51e4df86b07403f08b1
软考::系统集成项目管理工程师::10_干系人与风险管理::章节概念卡::10_干系人与风险管理_概念卡,RuankaoTopicCard,风险分解结构 RBS是什么？,RBS 按类别分解风险来源，帮助系统识别风险。,<div>理解：不要和资源分解结构混淆。</div><div>题干信号：风险类别、来源</div><div>来源：10_干系人与风险管理 专题包 / topic_build_full 相关小节</div>,chapter_concept,概念卡,风险分解结构 RBS,,B,3,章节概念,干系人与风险管理,10,干系人与风险管理,T-RISK-001;T-RISK-002,风险识别、风险登记册与风险应对策略;定性/定量风险分析、EMV 与决策树,SRC-CH-10-007,topic_learning_packages/topics/10_干系人与风险管理/T-RISK-001_专题学习包_风险识别风险登记册与风险应对策略.md;topic_learning_packages/topics/10_干系人与风险管理/T-RISK-002_专题学习包_定性定量风险分析EMV与决策树.md,风险分解结构 RBS,,,keep,Front 聚焦“风险分解结构 RBS”这一章内概念，Back 一句话定边界，Extra 给出本概念的题干信号。,ruankao ruankao::build::20260520_235046 ruankao::chapter::10 ruankao::domain::干系人与风险管理 ruankao::type::概念卡 ruankao::importance::B ruankao::difficulty::3 ruankao::review::keep ruankao::chapter_concept,sha256:cd4f29f0df2a80ef21e46a61
软考::系统集成项目管理工程师::10_干系人与风险管理::章节概念卡::10_干系人与风险管理_概念卡,RuankaoTopicCard,残余风险是什么？,残余风险是实施风险应对后仍然存在的风险。,<div>理解：不是没处理，而是处理后仍保留。</div><div>题干信号：应对后仍存在</div><div>来源：10_干系人与风险管理 专题包 / topic_build_full 相关小节</div>,chapter_concept,概念卡,残余风险,,B,3,章节概念,干系人与风险管理,10,干系人与风险管理,T-RISK-001;T-RISK-002,风险识别、风险登记册与风险应对策略;定性/定量风险分析、EMV 与决策树,SRC-CH-10-008,topic_learning_packages/topics/10_干系人与风险管理/T-RISK-001_专题学习包_风险识别风险登记册与风险应对策略.md;topic_learning_packages/topics/10_干系人与风险管理/T-RISK-002_专题学习包_定性定量风险分析EMV与决策树.md,残余风险,,,keep,Front 聚焦“残余风险”这一章内概念，Back 一句话定边界，Extra 给出本概念的题干信号。,ruankao ruankao::build::20260520_235046 ruankao::chapter::10 ruankao::domain::干系人与风险管理 ruankao::type::概念卡 ruankao::importance::B ruankao::difficulty::3 ruankao::review::keep ruankao::chapter_concept,sha256:0e50e7fa280a1600857ce8db
软考::系统集成项目管理工程师::10_干系人与风险管理::章节概念卡::10_干系人与风险管理_概念卡,RuankaoTopicCard,二次风险是什么？,二次风险是风险应对措施本身引入的新风险。,<div>理解：转移风险后出现供应商依赖就是典型二次风险。</div><div>题干信号：应对引发新风险</div><div>来源：10_干系人与风险管理 专题包 / topic_build_full 相关小节</div>,chapter_concept,概念卡,二次风险,,B,3,章节概念,干系人与风险管理,10,干系人与风险管理,T-RISK-001;T-RISK-002,风险识别、风险登记册与风险应对策略;定性/定量风险分析、EMV 与决策树,SRC-CH-10-009,topic_learning_packages/topics/10_干系人与风险管理/T-RISK-001_专题学习包_风险识别风险登记册与风险应对策略.md;topic_learning_packages/topics/10_干系人与风险管理/T-RISK-002_专题学习包_定性定量风险分析EMV与决策树.md,二次风险,,,keep,Front 聚焦“二次风险”这一章内概念，Back 一句话定边界，Extra 给出本概念的题干信号。,ruankao ruankao::build::20260520_235046 ruankao::chapter::10 ruankao::domain::干系人与风险管理 ruankao::type::概念卡 ruankao::importance::B ruankao::difficulty::3 ruankao::review::keep ruankao::chapter_concept,sha256:67175ba62584d47c5a33e7ad
软考::系统集成项目管理工程师::10_干系人与风险管理::章节概念卡::10_干系人与风险管理_概念卡,RuankaoTopicCard,EMV是什么？,预期货币价值 EMV 用概率乘以影响值，评价不确定结果的期望收益或损失。,<div>理解：机会取正值，威胁取负值，注意符号。</div><div>题干信号：概率×影响</div><div>来源：10_干系人与风险管理 专题包 / topic_build_full 相关小节</div>,chapter_concept,概念卡,EMV,,A,2,章节概念,干系人与风险管理,10,干系人与风险管理,T-RISK-001;T-RISK-002,风险识别、风险登记册与风险应对策略;定性/定量风险分析、EMV 与决策树,SRC-CH-10-010,topic_learning_packages/topics/10_干系人与风险管理/T-RISK-001_专题学习包_风险识别风险登记册与风险应对策略.md;topic_learning_packages/topics/10_干系人与风险管理/T-RISK-002_专题学习包_定性定量风险分析EMV与决策树.md,EMV,,,keep,Front 聚焦“EMV”这一章内概念，Back 一句话定边界，Extra 给出本概念的题干信号。,ruankao ruankao::build::20260520_235046 ruankao::chapter::10 ruankao::domain::干系人与风险管理 ruankao::type::概念卡 ruankao::importance::A ruankao::difficulty::2 ruankao::review::keep ruankao::chapter_concept,sha256:6bfaf82cfb4e699894ccec7a
