Deck,NoteType,Front,Back,Extra,CardType,Importance,Difficulty,ExamUse,KnowledgeDomain,SourceTopicID,SourceTopicName,SourceFile,SourceLocator,RelatedQuestionIDs,QuestionYear,QuestionSession,QuestionPart,QuestionNumber,QuestionStem,Options,Answer,Explanation,WrongOptionAnalysis,ExamSignal,Checksum,TagsText,QualityScore,QualityStatus,ReviewNotes
软考::系统集成项目管理工程师::专题学习::采购与合同管理::T-PROC-001_合同类型、风险分配与采购决策,RuankaoTopicCard,固定总价合同、成本补偿合同、工料合同的风险分配有什么差异？,固定总价合同卖方成本风险较高；成本补偿合同买方成本风险较高；工料合同介于二者之间。,需求明确适合总价；范围不清或研发性强更可能用成本补偿或工料。,辨析卡,A,2,上午选择,采购与合同管理,T-PROC-001,合同类型、风险分配与采购决策,topic_learning_packages/topics/11_采购与合同管理/T-PROC-001_专题学习包_合同类型选择与风险分配.md,line 3,,,,,,,,,,,,sha256:568fff12653cabe4ca1aa954,ruankao ruankao::anki_build::20260520_221409 ruankao::difficulty::2 ruankao::domain::采购与合同管理 ruankao::exam_use::上午选择 ruankao::importance::A ruankao::topic ruankao::topic::T-PROC-001 ruankao::type::辨析卡,100,final,A：通过质量门禁
软考::系统集成项目管理工程师::专题学习::采购与合同管理::T-PROC-001_合同类型、风险分配与采购决策,RuankaoTopicCard,题干强调“范围清楚、价格固定、卖方承担超支风险”时，应想到哪类合同？,固定总价合同。,若强调按实际成本报销并加费用，通常是成本补偿类合同。,关键词识别卡,A,2,上午选择,采购与合同管理,T-PROC-001,合同类型、风险分配与采购决策,topic_learning_packages/topics/11_采购与合同管理/T-PROC-001_专题学习包_合同类型选择与风险分配.md,topic package,,,,,,,,,,,,sha256:f4c00d9dfb81ab560f04c00b,ruankao ruankao::anki_build::20260520_221409 ruankao::difficulty::2 ruankao::domain::采购与合同管理 ruankao::exam_use::上午选择 ruankao::importance::A ruankao::topic ruankao::topic::T-PROC-001 ruankao::type::关键词识别卡,100,final,A：通过质量门禁
软考::系统集成项目管理工程师::专题学习::采购与合同管理::T-PROC-001_合同类型、风险分配与采购决策,RuankaoTopicCard,合同争议案例通常从哪些角度答？,合同范围和验收标准、变更是否批准、索赔时限和证据、付款条件、分包和合同收尾。,先回到合同条款，再判断管理流程是否合规。,案例模板卡,A,3,下午案例,采购与合同管理,T-PROC-001,合同类型、风险分配与采购决策,topic_learning_packages/topics/11_采购与合同管理/T-PROC-001_专题学习包_合同类型选择与风险分配.md,topic package,,,,,,,,,,,,sha256:f8ee0276499e521060a5d0b3,ruankao ruankao::anki_build::20260520_221409 ruankao::difficulty::3 ruankao::domain::采购与合同管理 ruankao::exam_use::下午案例 ruankao::importance::A ruankao::topic ruankao::topic::T-PROC-001 ruankao::type::案例模板卡,100,final,A：通过质量门禁
软考::系统集成项目管理工程师::真题刷题::上午选择题,RuankaoTopicCard,"【未知未知上午 第 33 题】以下关于投标文件送达的叙述，(33)是错误的。
A. 投标人必须按照招标文件规定的地点、在规定的时间内送达投标文件
B. 投递投标书的方式最好是直接送达或委托代理人送达，以便获得招标机构已收到投标书的回执
C. 如果以邮寄方式送达的，投标人应保证投标文件能够在截止日期之前投递即可
D. 招标人收到标书以后应当签收，在开标前不得开启",答案：B,"解析：应该用责任分配矩阵RAM，因此正确选项是""B.矩阵图""。 一些公司为了满足公司员工社会交往的需要会经常组织一些聚会和社会活动，还为没有住房的员工提供住处。这种激励员工的理论属于(41)。 A. 赫茨伯格的双因素理论 B. 马斯洛需要层次理论 C. 期望理论 D. X理论和Y理论
错项分析：按选项关键词逐项排除；本轮自动解析不扩写未能稳定定位的错项。
题干信号：概念定义/场景判断
关联专题：T-PROC-001 合同类型、风险分配与采购决策
可迁移考点：把题干关键词映射回专题判断规则。",真题刷题卡,B,3,上午选择,采购与合同管理,T-PROC-001,合同类型、风险分配与采购决策,questions.full.clean.md,未知未知上午 第 33 题 / line 424,未知-未知-上午-33,未知,未知,上午,33,以下关于投标文件送达的叙述，(33)是错误的。,"A. 投标人必须按照招标文件规定的地点、在规定的时间内送达投标文件
B. 投递投标书的方式最好是直接送达或委托代理人送达，以便获得招标机构已收到投标书的回执
C. 如果以邮寄方式送达的，投标人应保证投标文件能够在截止日期之前投递即可
D. 招标人收到标书以后应当签收，在开标前不得开启",B,"应该用责任分配矩阵RAM，因此正确选项是""B.矩阵图""。 一些公司为了满足公司员工社会交往的需要会经常组织一些聚会和社会活动，还为没有住房的员工提供住处。这种激励员工的理论属于(41)。 A. 赫茨伯格的双因素理论 B. 马斯洛需要层次理论 C. 期望理论 D. X理论和Y理论",自动解析未逐项展开；保留原选项供刷题排除。,概念定义/场景判断,sha256:ac39fa94331ab34af0d570be,ruankao ruankao::anki_build::20260520_221409 ruankao::difficulty::3 ruankao::domain::采购与合同管理 ruankao::exam_use::上午选择 ruankao::importance::B ruankao::question ruankao::source::past_exam ruankao::topic::T-PROC-001 ruankao::type::真题刷题卡,100,final,A：通过质量门禁
软考::系统集成项目管理工程师::真题刷题::上午选择题,RuankaoTopicCard,"【未知未知上午 第 15 题】·W公司想要对本单位的内部网络和办公系统进行改造，希望通过招标选择承建商，为此， W公司进行了一系列活动。以下(15)活动不符合《中华人民共和国招标投标法》的要求。
A. 对此项目的承建方和监理方的招标工作，W公司计划由同一家招标代理机构负责招标，并计划在同一天开标
B. W公司根据此项目的特点和需要编制了招标文件，并确定了提交投标文件的截止日期
C. 有四家公司参加了投标，其中一家投标单位在截止日期之后提交投标文件，W公司认为其违反了招标文件要求，没有接受该投标单位的投标文件
D. W公司根据招标文件的要求，在三家投标单位中选择了其中一家作为此项目的承建商，并只将结果通知了中标企业。",答案：D,"解析：根据《中华人民共和国招标投标法》第四十五条的如下规定： 中标人确定后，招标人应当向中标人发出中标通知书，并同时将中标结果通知所有未中标的投标人。 可知，选项D是不符合招标投标法要求的。 以下采用单一来源采购方式的活动，(16)是不恰当的
错项分析：按选项关键词逐项排除；本轮自动解析不扩写未能稳定定位的错项。
题干信号：概念定义/场景判断
关联专题：T-PROC-001 合同类型、风险分配与采购决策
可迁移考点：把题干关键词映射回专题判断规则。",真题刷题卡,B,3,上午选择,采购与合同管理,T-PROC-001,合同类型、风险分配与采购决策,questions.full.clean.md,未知未知上午 第 15 题 / line 1445,未知-未知-上午-15,未知,未知,上午,15,·W公司想要对本单位的内部网络和办公系统进行改造，希望通过招标选择承建商，为此， W公司进行了一系列活动。以下(15)活动不符合《中华人民共和国招标投标法》的要求。,"A. 对此项目的承建方和监理方的招标工作，W公司计划由同一家招标代理机构负责招标，并计划在同一天开标
B. W公司根据此项目的特点和需要编制了招标文件，并确定了提交投标文件的截止日期
C. 有四家公司参加了投标，其中一家投标单位在截止日期之后提交投标文件，W公司认为其违反了招标文件要求，没有接受该投标单位的投标文件
D. W公司根据招标文件的要求，在三家投标单位中选择了其中一家作为此项目的承建商，并只将结果通知了中标企业。",D,根据《中华人民共和国招标投标法》第四十五条的如下规定： 中标人确定后，招标人应当向中标人发出中标通知书，并同时将中标结果通知所有未中标的投标人。 可知，选项D是不符合招标投标法要求的。 以下采用单一来源采购方式的活动，(16)是不恰当的,自动解析未逐项展开；保留原选项供刷题排除。,概念定义/场景判断,sha256:ae63bb68a85bb0cf3f9e26e5,ruankao ruankao::anki_build::20260520_221409 ruankao::difficulty::3 ruankao::domain::采购与合同管理 ruankao::exam_use::上午选择 ruankao::importance::B ruankao::question ruankao::source::past_exam ruankao::topic::T-PROC-001 ruankao::type::真题刷题卡,100,final,A：通过质量门禁
软考::系统集成项目管理工程师::真题刷题::上午选择题,RuankaoTopicCard,"【未知未知上午 第 16 题】以下采用单一来源采购方式的活动，(16)是不恰当的。
A. 某政府部门为建立内部办公系统，已从一个供应商采购了120万元的网络设备，由于办公地点扩大，打算继续从原供应商采购15万元的设备
B. 某地区发生自然灾害，当地民政部门需要紧急采购一批救灾物资
C. 某地方主管部门需要采购一种市政设施，目前此种设施国内仅有一家厂商生产
D. 某政府机关为升级其内部办公系统，与原承建商签订了系统维护合同解析 根据《中华人民共和国政府采购法》的如下条款： 第三十一条符合下列情形之一的货物或者服务，可以依照本法采用单一来源方式采购： (一)只能从唯一供应商处采购的； (二)发生了不可预见的紧急情况不能从其他供应商处采购的； (三)必须保证原有采购项目一致性或者服务配套的要求，需要继续从原供应商处添购，且添购资金总额不超过原合同采购金额百分之十的。 可知本题的选项A是不恰当的。 为了解决C/S模式中客户机负荷过重的问题，软件架构发展形成了(17)模式。",答案：C,"解析：客户机/服务器(Client/Server， C/S)模式将应用一分为二，服务器(后台)负责数据管理，客户机(前台)完成与用户的交互任务。C/S模式具有强大的数据操作和事务处理能力，模型思想简单，但随着企业规模的日益扩大，软件的复杂程度不断提高，传统的二层C/S模式的缺点日益突出： ①客户机与服务器的通讯依赖于网络，可能成为整个系统运作的瓶颈：客户机的负荷过重，难以管理大量的客户机，系统的性能受到很大影响： ②如果服务器及其界面定义有改变，则客户机也要做相应改变： ③0二层C/S模式采用单一服务器且以局域网为中心
错项分析：按选项关键词逐项排除；本轮自动解析不扩写未能稳定定位的错项。
题干信号：合同
关联专题：T-PROC-001 合同类型、风险分配与采购决策
可迁移考点：把题干关键词映射回专题判断规则。",真题刷题卡,B,3,上午选择,采购与合同管理,T-PROC-001,合同类型、风险分配与采购决策,questions.full.clean.md,未知未知上午 第 16 题 / line 1462,未知-未知-上午-16,未知,未知,上午,16,以下采用单一来源采购方式的活动，(16)是不恰当的。,"A. 某政府部门为建立内部办公系统，已从一个供应商采购了120万元的网络设备，由于办公地点扩大，打算继续从原供应商采购15万元的设备
B. 某地区发生自然灾害，当地民政部门需要紧急采购一批救灾物资
C. 某地方主管部门需要采购一种市政设施，目前此种设施国内仅有一家厂商生产
D. 某政府机关为升级其内部办公系统，与原承建商签订了系统维护合同解析 根据《中华人民共和国政府采购法》的如下条款： 第三十一条符合下列情形之一的货物或者服务，可以依照本法采用单一来源方式采购： (一)只能从唯一供应商处采购的； (二)发生了不可预见的紧急情况不能从其他供应商处采购的； (三)必须保证原有采购项目一致性或者服务配套的要求，需要继续从原供应商处添购，且添购资金总额不超过原合同采购金额百分之十的。 可知本题的选项A是不恰当的。 为了解决C/S模式中客户机负荷过重的问题，软件架构发展形成了(17)模式。",C,客户机/服务器(Client/Server， C/S)模式将应用一分为二，服务器(后台)负责数据管理，客户机(前台)完成与用户的交互任务。C/S模式具有强大的数据操作和事务处理能力，模型思想简单，但随着企业规模的日益扩大，软件的复杂程度不断提高，传统的二层C/S模式的缺点日益突出： ①客户机与服务器的通讯依赖于网络，可能成为整个系统运作的瓶颈：客户机的负荷过重，难以管理大量的客户机，系统的性能受到很大影响： ②如果服务器及其界面定义有改变，则客户机也要做相应改变： ③0二层C/S模式采用单一服务器且以局域网为中心,自动解析未逐项展开；保留原选项供刷题排除。,合同,sha256:839fe53ed17657c8b5468c9e,ruankao ruankao::anki_build::20260520_221409 ruankao::difficulty::3 ruankao::domain::采购与合同管理 ruankao::exam_use::上午选择 ruankao::importance::B ruankao::question ruankao::source::past_exam ruankao::topic::T-PROC-001 ruankao::type::真题刷题卡,100,final,A：通过质量门禁
软考::系统集成项目管理工程师::真题刷题::上午选择题,RuankaoTopicCard,"【未知未知上午 第 28 题】下列做法符合《招投标法》相关规定的是(28)。
A. 某项目的招标文件中详细介绍了招标人的名称和地址、招标项目的性质、数量、实施地点和时间、评标委员会组成名单以及获取招标文件的办法等事项
B. 投标监督员有权对标书的密封情况进行检查，投标人之间也可以相互检查标书的密封情况
C. 某项目在截止时间前仅收到了两份投标文件，招标人直至收到第三份投标文件后才宣布开标
D. 某企业在中标之后，将主体工程分为三个部分，并将其中两个部分分别承包给其他单位解析 这题容易啊，正确选项是B。 甲乙两个公司在项目实施过程中，对合同的生效时间产生了分歧。仲裁机构调查时发现以下事实：①双方签署的合同上并没有对合同的生效日期做出规定：②双方签署合同的过程如下：乙公司在拟定好合同文本并签署后以邮寄的方式寄给甲公司，信封上盖有乙公司所在地邮局3月18日的邮戳，甲公司于3月20日收到合同文本，甲公司签署合同后，将合同回寄给乙公司，信封带有甲公司所在地3月22日的邮戳，乙公司于3月25日收到合同。仲裁机构应判定(29)作为合同生效的日期。",答案：B,"解析：""信封上盖有乙公司所在地邮局3月18日的邮戳""表示了乙方的承诺日期，""信封带有甲公司所在地3月22日的邮戳"" 表示了甲方的承诺日期。 因此，本题的正确选项是""C.3月22日""。 2011年1月28日国务院印发《国务院关于印发进一步鼓励软件产业和集成电路产业发展的若干政策的通知》(国发〔2011)4号，以下简称""国发4号文件"")。其中，第二十八条内容如下： ""进一步推进软件正版化工作，探索建立长效机制。凡在我国境内销售的计算机(大型计算机、服务器、微型计算机和笔记本电脑)所预装软件必须为正版软件，禁止预装非正版软件
错项分析：按选项关键词逐项排除；本轮自动解析不扩写未能稳定定位的错项。
题干信号：合同
关联专题：T-PROC-001 合同类型、风险分配与采购决策
可迁移考点：把题干关键词映射回专题判断规则。",真题刷题卡,B,3,上午选择,采购与合同管理,T-PROC-001,合同类型、风险分配与采购决策,questions.full.clean.md,未知未知上午 第 28 题 / line 5092,未知-未知-上午-28,未知,未知,上午,28,下列做法符合《招投标法》相关规定的是(28)。,"A. 某项目的招标文件中详细介绍了招标人的名称和地址、招标项目的性质、数量、实施地点和时间、评标委员会组成名单以及获取招标文件的办法等事项
B. 投标监督员有权对标书的密封情况进行检查，投标人之间也可以相互检查标书的密封情况
C. 某项目在截止时间前仅收到了两份投标文件，招标人直至收到第三份投标文件后才宣布开标
D. 某企业在中标之后，将主体工程分为三个部分，并将其中两个部分分别承包给其他单位解析 这题容易啊，正确选项是B。 甲乙两个公司在项目实施过程中，对合同的生效时间产生了分歧。仲裁机构调查时发现以下事实：①双方签署的合同上并没有对合同的生效日期做出规定：②双方签署合同的过程如下：乙公司在拟定好合同文本并签署后以邮寄的方式寄给甲公司，信封上盖有乙公司所在地邮局3月18日的邮戳，甲公司于3月20日收到合同文本，甲公司签署合同后，将合同回寄给乙公司，信封带有甲公司所在地3月22日的邮戳，乙公司于3月25日收到合同。仲裁机构应判定(29)作为合同生效的日期。",B,"""信封上盖有乙公司所在地邮局3月18日的邮戳""表示了乙方的承诺日期，""信封带有甲公司所在地3月22日的邮戳"" 表示了甲方的承诺日期。 因此，本题的正确选项是""C.3月22日""。 2011年1月28日国务院印发《国务院关于印发进一步鼓励软件产业和集成电路产业发展的若干政策的通知》(国发〔2011)4号，以下简称""国发4号文件"")。其中，第二十八条内容如下： ""进一步推进软件正版化工作，探索建立长效机制。凡在我国境内销售的计算机(大型计算机、服务器、微型计算机和笔记本电脑)所预装软件必须为正版软件，禁止预装非正版软件",自动解析未逐项展开；保留原选项供刷题排除。,合同,sha256:4ef88ac202a392cc098162da,ruankao ruankao::anki_build::20260520_221409 ruankao::difficulty::3 ruankao::domain::采购与合同管理 ruankao::exam_use::上午选择 ruankao::importance::B ruankao::question ruankao::source::past_exam ruankao::topic::T-PROC-001 ruankao::type::真题刷题卡,100,final,A：通过质量门禁
软考::系统集成项目管理工程师::真题刷题::上午选择题,RuankaoTopicCard,"【未知未知上午 第 44 题】某企业在招标时，首先通过某种资格审查选择部分供应商，并以邮件问询的方式确定它们是否有兴趣参与竞标，然后将采购文件包发给所有有兴趣的供应商，并对供应商反馈的投标文件进行评估，最终将中标消息通知给中标的供应商。以下关于本次招标过程的判断，正确的是(44)。
A. 项目招标之前该企业不应当事先进行资格筛选
B. 意见征询不应通过邮件的方式进行
C. 中标结果不应仅凭评估分数确定
D. 在选定供应商后，招标结果不应只反馈给中标供应商",答案：D,"解析：这题考的也是招投标法，根据招投标法： 第四十五条中标人确定后，招标人应当向中标人发出中标通知书，并同时将中标结果通知所有未中标的投标人。 正确的是选项D。 某公司在项目执行过程中，对项目需求进行收集分析，并形成正式的项目文档，并由客户签字确认，但在交货时发现，实际产品与客户的要求大相径庭，客户拒绝付款。经调查研究发现，需求来源和低层需求实现不完全匹配，这可能是在(45)方面出了问题
错项分析：按选项关键词逐项排除；本轮自动解析不扩写未能稳定定位的错项。
题干信号：概念定义/场景判断
关联专题：T-PROC-001 合同类型、风险分配与采购决策
可迁移考点：把题干关键词映射回专题判断规则。",真题刷题卡,B,3,上午选择,采购与合同管理,T-PROC-001,合同类型、风险分配与采购决策,questions.full.clean.md,未知未知上午 第 44 题 / line 5340,未知-未知-上午-44,未知,未知,上午,44,某企业在招标时，首先通过某种资格审查选择部分供应商，并以邮件问询的方式确定它们是否有兴趣参与竞标，然后将采购文件包发给所有有兴趣的供应商，并对供应商反馈的投标文件进行评估，最终将中标消息通知给中标的供应商。以下关于本次招标过程的判断，正确的是(44)。,"A. 项目招标之前该企业不应当事先进行资格筛选
B. 意见征询不应通过邮件的方式进行
C. 中标结果不应仅凭评估分数确定
D. 在选定供应商后，招标结果不应只反馈给中标供应商",D,这题考的也是招投标法，根据招投标法： 第四十五条中标人确定后，招标人应当向中标人发出中标通知书，并同时将中标结果通知所有未中标的投标人。 正确的是选项D。 某公司在项目执行过程中，对项目需求进行收集分析，并形成正式的项目文档，并由客户签字确认，但在交货时发现，实际产品与客户的要求大相径庭，客户拒绝付款。经调查研究发现，需求来源和低层需求实现不完全匹配，这可能是在(45)方面出了问题,自动解析未逐项展开；保留原选项供刷题排除。,概念定义/场景判断,sha256:a1834da7948214d527f7fc5c,ruankao ruankao::anki_build::20260520_221409 ruankao::difficulty::3 ruankao::domain::采购与合同管理 ruankao::exam_use::上午选择 ruankao::importance::B ruankao::question ruankao::source::past_exam ruankao::topic::T-PROC-001 ruankao::type::真题刷题卡,100,final,A：通过质量门禁
软考::系统集成项目管理工程师::真题刷题::上午选择题,RuankaoTopicCard,"【未知未知上午 第 29 题】根据《合同法》的有关规定，下列(29)一项描述不符合合同的法律性质。
A. 合同是一种民事法律行为
B. 合同是解决两方或多方当事人分歧的民事法律行为
C. 合同是以设立、变更、终止民事权利义务关系为目的的民事法律行为
D. 合同是两方或多方当事人意思表示的结果",答案：B,"解析：我国《合同法》中所称的合同是指：平等主体的自然人、法人、其他组织之间设立、变更、终止民事权利义务关系的协议。但不包括婚姻、收养、监护等有关身份关系的协议。 #### 参考答案：B 某采购人在履行采购金额为1000万元的政府采购合同中，需要追加与该合同标的相同的货物。根据相关法律，在不改变合同其他条款的前提下，下列说法中正确的是(30)
错项分析：按选项关键词逐项排除；本轮自动解析不扩写未能稳定定位的错项。
题干信号：变更、合同
关联专题：T-PROC-001 合同类型、风险分配与采购决策
可迁移考点：把题干关键词映射回专题判断规则。",真题刷题卡,B,3,上午选择,采购与合同管理,T-PROC-001,合同类型、风险分配与采购决策,questions.full.clean.md,未知未知上午 第 29 题 / line 6321,未知-未知-上午-29,未知,未知,上午,29,根据《合同法》的有关规定，下列(29)一项描述不符合合同的法律性质。,"A. 合同是一种民事法律行为
B. 合同是解决两方或多方当事人分歧的民事法律行为
C. 合同是以设立、变更、终止民事权利义务关系为目的的民事法律行为
D. 合同是两方或多方当事人意思表示的结果",B,我国《合同法》中所称的合同是指：平等主体的自然人、法人、其他组织之间设立、变更、终止民事权利义务关系的协议。但不包括婚姻、收养、监护等有关身份关系的协议。 #### 参考答案：B 某采购人在履行采购金额为1000万元的政府采购合同中，需要追加与该合同标的相同的货物。根据相关法律，在不改变合同其他条款的前提下，下列说法中正确的是(30),自动解析未逐项展开；保留原选项供刷题排除。,变更、合同,sha256:84d7a47018968e038ab20b16,ruankao ruankao::anki_build::20260520_221409 ruankao::difficulty::3 ruankao::domain::采购与合同管理 ruankao::exam_use::上午选择 ruankao::importance::B ruankao::question ruankao::source::past_exam ruankao::topic::T-PROC-001 ruankao::type::真题刷题卡,100,final,A：通过质量门禁
软考::系统集成项目管理工程师::真题刷题::上午选择题,RuankaoTopicCard,"【未知未知上午 第 30 题】某采购人在履行采购金额为1000万元的政府采购合同中，需要追加与该合同标的相同的货物。根据相关法律，在不改变合同其他条款的前提下，下列说法中正确的是(30)。
A. 可以与供应商协商签订补充合同，但补充合同的采购金额不得超过100万元
B. 可以与供应商签订补充合同，但须得到省级以上政府授权的机构批准
C. 采购商不能与供应商签订单一来源的采购合同
D. 可以与供应商签订补充合同，但补充合同的采购金额不得超过1000 万元，如超过1000万元则须得到省级以上授权的机构批准",答案：A,"解析：信息产业部于2000年9月发布《关于发布计算机信息系统集成资质等级评定条件的通知>(信部规[2000]821号文)，于2003年10月颁布了《关于发布计算机信息系统集成资质等级评定条件(修订版)的通知》(信部规[2003]440号文)。系统集成资质等级评定条件主要由综合条件、业绩、管理能力、技术实力、人才实力5个方面描述的。不包括企业领导的学历。参考答案：D ●关于信息系统集成项目的特点，下述说法中，(3)是不正确的
错项分析：按选项关键词逐项排除；本轮自动解析不扩写未能稳定定位的错项。
题干信号：合同
关联专题：T-PROC-001 合同类型、风险分配与采购决策
可迁移考点：把题干关键词映射回专题判断规则。",真题刷题卡,B,3,上午选择,采购与合同管理,T-PROC-001,合同类型、风险分配与采购决策,questions.full.clean.md,未知未知上午 第 30 题 / line 6336,未知-未知-上午-30,未知,未知,上午,30,某采购人在履行采购金额为1000万元的政府采购合同中，需要追加与该合同标的相同的货物。根据相关法律，在不改变合同其他条款的前提下，下列说法中正确的是(30)。,"A. 可以与供应商协商签订补充合同，但补充合同的采购金额不得超过100万元
B. 可以与供应商签订补充合同，但须得到省级以上政府授权的机构批准
C. 采购商不能与供应商签订单一来源的采购合同
D. 可以与供应商签订补充合同，但补充合同的采购金额不得超过1000 万元，如超过1000万元则须得到省级以上授权的机构批准",A,信息产业部于2000年9月发布《关于发布计算机信息系统集成资质等级评定条件的通知>(信部规[2000]821号文)，于2003年10月颁布了《关于发布计算机信息系统集成资质等级评定条件(修订版)的通知》(信部规[2003]440号文)。系统集成资质等级评定条件主要由综合条件、业绩、管理能力、技术实力、人才实力5个方面描述的。不包括企业领导的学历。参考答案：D ●关于信息系统集成项目的特点，下述说法中，(3)是不正确的,自动解析未逐项展开；保留原选项供刷题排除。,合同,sha256:523d242cba517f2475c9e440,ruankao ruankao::anki_build::20260520_221409 ruankao::difficulty::3 ruankao::domain::采购与合同管理 ruankao::exam_use::上午选择 ruankao::importance::B ruankao::question ruankao::source::past_exam ruankao::topic::T-PROC-001 ruankao::type::真题刷题卡,100,final,A：通过质量门禁
