deck,note_type,front,back,extra,card_type,importance,difficulty,exam_use,knowledge_domain,source_topic_id,source_topic_name,source_ids,source_file,source_heading,source_excerpt,related_question_ids,related_topic_ids,question_id,question_year,question_session,question_part,question_number,question_parse_confidence,explanation_source,checksum,tags,quality_score,quality_status,quality_notes
软考::系统集成项目管理工程师::跨专题辨析,RuankaoTopicCard,项目建议书、可行性研究、项目章程的核心区别是什么？,"<div class=""answer-block"">
<div class=""section-title"">【答案】</div>
<div>项目建议书提出建设设想；可行性研究论证值不值得做和能不能做；项目章程正式批准项目并授权项目经理。</div>
</div>","<div class=""extra"">
<div class=""section-title"">【理解】</div>
<div>项目建议书提出建设设想；可行性研究论证值不值得做和能不能做；项目章程正式批准项目并授权项目经理。。这张卡来自源材料中的具体段落，用于把讲义内容改写为可回忆判断。</div>
<div class=""section-title"">【记忆线索】</div>
<div>先判断对象、责任主体、时间点和输出物，再排除张冠李戴的选项。</div>
<div class=""section-title"">【易错点】</div>
<div>不要和项目章程混淆：建议书偏立项前建议，章程偏正式授权。</div>
<div class=""section-title"">【题干信号】</div>
<div>章程、可行性、论证</div>
<div class=""section-title"">【关联专题】</div>
<div>T-CROSS-001 高频跨域概念辨析与易错点；T-FEA-001；T-INT-002</div>
<div class=""section-title"">【来源】</div>
<div>SRC-T-CROSS-001-0001：高频跨域概念辨析与易错点；T-CROSS-001｜高频跨域概念辨析与易错点 本专题用于集中辨析系统集成项目管理工程师考试中最容易在选择题和案例题中被混淆的高频概念对。这些概念对跨域出现，如果你只背了各自独立的定义，不知道它们在真题中怎么被&quot;调换着问&quot;，就很容易失分。</div>
</div>",跨专题整合卡,A,3,跨域辨析,综合专题与跨域辨析,T-CROSS-001,高频跨域概念辨析与易错点,SRC-T-CROSS-001-0001,topic_learning_packages/topics/99_综合专题与跨域辨析/T-CROSS-001_专题学习包_高频跨域概念辨析与易错点.md,高频跨域概念辨析与易错点,"T-CROSS-001｜高频跨域概念辨析与易错点 本专题用于集中辨析系统集成项目管理工程师考试中最容易在选择题和案例题中被混淆的高频概念对。这些概念对跨域出现，如果你只背了各自独立的定义，不知道它们在真题中怎么被""调换着问""，就很容易失分。",,T-FEA-001;T-INT-002,,,,,,,,sha256:6d7f0ff72ba56a64ebfbc008,ruankao ruankao::anki_build::20260520_223914 ruankao::cross_topic ruankao::difficulty::3 ruankao::domain::综合专题与跨域辨析 ruankao::exam_use::跨域辨析 ruankao::importance::A ruankao::source_grounded ruankao::topic ruankao::topic::T-CROSS-001 ruankao::type::跨专题整合卡,92,final,通过内容、来源和工程门禁；跨专题整合卡，需结合真题反馈迭代
软考::系统集成项目管理工程师::跨专题辨析,RuankaoTopicCard,项目论证 vs 项目评估的核心区别是什么？,"<div class=""answer-block"">
<div class=""section-title"">【答案】</div>
<div>论证偏证明项目可行；评估偏独立审查和把关论证结论。</div>
</div>","<div class=""extra"">
<div class=""section-title"">【理解】</div>
<div>论证偏证明项目可行；评估偏独立审查和把关论证结论。。这张卡来自源材料中的具体段落，用于把讲义内容改写为可回忆判断。</div>
<div class=""section-title"">【记忆线索】</div>
<div>先判断对象、责任主体、时间点和输出物，再排除张冠李戴的选项。</div>
<div class=""section-title"">【易错点】</div>
<div>避免把相邻概念按字面相似性混用。</div>
<div class=""section-title"">【题干信号】</div>
<div>论证、评估</div>
<div class=""section-title"">【关联专题】</div>
<div>T-CROSS-001 高频跨域概念辨析与易错点；T-FEA-001</div>
<div class=""section-title"">【来源】</div>
<div>SRC-T-CROSS-001-0003：高频跨域概念辨析与易错点 &gt; 辨析 1：项目章程 vs 项目管理计划；辨析 1：项目章程 vs 项目管理计划 [高 频] 选择题和案例题中最高频的调换对。 维度 项目章程 项目管理计划 --------- 谁发布 发起人（或项目以外的高层） 项目经理领导制定，团队参与 主要作用 正式批准项目存在，授权项目经理动用资源 说明项目将如何执行、监督和控制 内容层级 高层级：项目目标、总体范围、</div>
</div>",跨专题整合卡,A,3,跨域辨析,综合专题与跨域辨析,T-CROSS-001,高频跨域概念辨析与易错点,SRC-T-CROSS-001-0003,topic_learning_packages/topics/99_综合专题与跨域辨析/T-CROSS-001_专题学习包_高频跨域概念辨析与易错点.md,高频跨域概念辨析与易错点 > 辨析 1：项目章程 vs 项目管理计划,辨析 1：项目章程 vs 项目管理计划 [高 频] 选择题和案例题中最高频的调换对。 维度 项目章程 项目管理计划 --------- 谁发布 发起人（或项目以外的高层） 项目经理领导制定，团队参与 主要作用 正式批准项目存在，授权项目经理动用资源 说明项目将如何执行、监督和控制 内容层级 高层级：项目目标、总体范围、里程碑、关键干系人 详细：各子管理计划 + 三大基准（范围/进度/成本） 生成时间 项目最早，启动过程组 规划过程组，章,,T-FEA-001,,,,,,,,sha256:3fe0144a32804cb1412864db,ruankao ruankao::anki_build::20260520_223914 ruankao::cross_topic ruankao::difficulty::3 ruankao::domain::综合专题与跨域辨析 ruankao::exam_use::跨域辨析 ruankao::importance::A ruankao::source_grounded ruankao::topic ruankao::topic::T-CROSS-001 ruankao::type::跨专题整合卡,92,final,通过内容、来源和工程门禁；跨专题整合卡，需结合真题反馈迭代
软考::系统集成项目管理工程师::跨专题辨析,RuankaoTopicCard,范围确认、质量控制、验收、测试如何区分？,"<div class=""answer-block"">
<div class=""section-title"">【答案】</div>
<div>测试/QC 关注成果是否符合质量要求；范围确认/验收关注客户或干系人是否正式接受可交付成果。</div>
</div>","<div class=""extra"">
<div class=""section-title"">【理解】</div>
<div>测试/QC 关注成果是否符合质量要求；范围确认/验收关注客户或干系人是否正式接受可交付成果。。这张卡来自源材料中的具体段落，用于把讲义内容改写为可回忆判断。</div>
<div class=""section-title"">【记忆线索】</div>
<div>抓住题干中的对象、动作和输出，不背整段讲义。</div>
<div class=""section-title"">【易错点】</div>
<div>测试通过不等于客户验收，质量合格不等于范围已确认。</div>
<div class=""section-title"">【题干信号】</div>
<div>验收、测试、干系人</div>
<div class=""section-title"">【关联专题】</div>
<div>T-CROSS-001 高频跨域概念辨析与易错点；T-SCOPE-003；T-QUAL-001</div>
<div class=""section-title"">【来源】</div>
<div>SRC-T-CROSS-001-0005：高频跨域概念辨析与易错点 &gt; 辨析 3：质量保证（QA）vs 质量控制（QC）；辨析 3：质量保证（QA）vs 质量控制（QC） [高 频] 参见 T-QUAL-001 专题的详细讲解。 QA（质量保证）：关注过程是否可靠。</div>
</div>",跨专题整合卡,A,3,跨域辨析,综合专题与跨域辨析,T-CROSS-001,高频跨域概念辨析与易错点,SRC-T-CROSS-001-0005,topic_learning_packages/topics/99_综合专题与跨域辨析/T-CROSS-001_专题学习包_高频跨域概念辨析与易错点.md,高频跨域概念辨析与易错点 > 辨析 3：质量保证（QA）vs 质量控制（QC）,辨析 3：质量保证（QA）vs 质量控制（QC） [高 频] 参见 T-QUAL-001 专题的详细讲解。 QA（质量保证）：关注过程是否可靠。,,T-SCOPE-003;T-QUAL-001,,,,,,,,sha256:99c7c81ef1cc466e1268bb10,ruankao ruankao::anki_build::20260520_223914 ruankao::cross_topic ruankao::difficulty::3 ruankao::domain::综合专题与跨域辨析 ruankao::exam_use::跨域辨析 ruankao::importance::A ruankao::source_grounded ruankao::topic ruankao::topic::T-CROSS-001 ruankao::type::跨专题整合卡,92,final,通过内容、来源和工程门禁；跨专题整合卡，需结合真题反馈迭代
软考::系统集成项目管理工程师::跨专题辨析,RuankaoTopicCard,质量保证、质量控制、质量审计如何区分？,"<div class=""answer-block"">
<div class=""section-title"">【答案】</div>
<div>质量保证看过程可靠性；质量控制看成果合格性；质量审计是 QA 中的结构化独立评审手段。</div>
</div>","<div class=""extra"">
<div class=""section-title"">【理解】</div>
<div>质量保证看过程可靠性；质量控制看成果合格性；质量审计是 QA 中的结构化独立评审手段。。这张卡来自源材料中的具体段落，用于把讲义内容改写为可回忆判断。</div>
<div class=""section-title"">【记忆线索】</div>
<div>抓住题干中的对象、动作和输出，不背整段讲义。</div>
<div class=""section-title"">【易错点】</div>
<div>避免把相邻概念按字面相似性混用。</div>
<div class=""section-title"">【题干信号】</div>
<div>定义识别、场景判断、角色/流程边界。</div>
<div class=""section-title"">【关联专题】</div>
<div>T-CROSS-001 高频跨域概念辨析与易错点；T-QUAL-001</div>
<div class=""section-title"">【来源】</div>
<div>SRC-T-CROSS-001-0005：高频跨域概念辨析与易错点 &gt; 辨析 3：质量保证（QA）vs 质量控制（QC）；辨析 3：质量保证（QA）vs 质量控制（QC） [高 频] 参见 T-QUAL-001 专题的详细讲解。 QA（质量保证）：关注过程是否可靠。</div>
</div>",跨专题整合卡,A,3,跨域辨析,综合专题与跨域辨析,T-CROSS-001,高频跨域概念辨析与易错点,SRC-T-CROSS-001-0005,topic_learning_packages/topics/99_综合专题与跨域辨析/T-CROSS-001_专题学习包_高频跨域概念辨析与易错点.md,高频跨域概念辨析与易错点 > 辨析 3：质量保证（QA）vs 质量控制（QC）,辨析 3：质量保证（QA）vs 质量控制（QC） [高 频] 参见 T-QUAL-001 专题的详细讲解。 QA（质量保证）：关注过程是否可靠。,,T-QUAL-001,,,,,,,,sha256:654f3d798ba4be6f90ea127f,ruankao ruankao::anki_build::20260520_223914 ruankao::cross_topic ruankao::difficulty::3 ruankao::domain::综合专题与跨域辨析 ruankao::exam_use::跨域辨析 ruankao::importance::A ruankao::source_grounded ruankao::topic ruankao::topic::T-CROSS-001 ruankao::type::跨专题整合卡,92,final,通过内容、来源和工程门禁；跨专题整合卡，需结合真题反馈迭代
软考::系统集成项目管理工程师::跨专题辨析,RuankaoTopicCard,赶工 vs 快速跟进的核心区别是什么？,"<div class=""answer-block"">
<div class=""section-title"">【答案】</div>
<div>赶工加资源、增成本；快速跟进改逻辑为并行或重叠、增风险和返工。</div>
</div>","<div class=""extra"">
<div class=""section-title"">【理解】</div>
<div>赶工加资源、增成本；快速跟进改逻辑为并行或重叠、增风险和返工。。这张卡来自源材料中的具体段落，用于把讲义内容改写为可回忆判断。</div>
<div class=""section-title"">【记忆线索】</div>
<div>先判断对象、责任主体、时间点和输出物，再排除张冠李戴的选项。</div>
<div class=""section-title"">【易错点】</div>
<div>避免把相邻概念按字面相似性混用。</div>
<div class=""section-title"">【题干信号】</div>
<div>风险</div>
<div class=""section-title"">【关联专题】</div>
<div>T-CROSS-001 高频跨域概念辨析与易错点；T-SCH-002；T-SCH-003</div>
<div class=""section-title"">【来源】</div>
<div>SRC-T-CROSS-001-0006：高频跨域概念辨析与易错点 &gt; 辨析 4：赶工 vs 快速跟进 vs 资源平衡；辨析 4：赶工 vs 快速跟进 vs 资源平衡 [高 频] 参见 T007 专题的详细讲解。 方法 核心动作 主要代价 关键词 ------------ 赶工 增加资源/加班 成本增加 &quot;加人&quot;&quot;加班&quot;&quot;加资源&quot;&quot;增加投入&quot; 快速跟进 活动并行/重叠 风险增加、返工 &quot;并行&quot;&quot;重叠&quot;&quot;同时做&quot;&quot;未完成就提前开始&quot; 资源</div>
</div>",跨专题整合卡,A,3,跨域辨析,综合专题与跨域辨析,T-CROSS-001,高频跨域概念辨析与易错点,SRC-T-CROSS-001-0006,topic_learning_packages/topics/99_综合专题与跨域辨析/T-CROSS-001_专题学习包_高频跨域概念辨析与易错点.md,高频跨域概念辨析与易错点 > 辨析 4：赶工 vs 快速跟进 vs 资源平衡,"辨析 4：赶工 vs 快速跟进 vs 资源平衡 [高 频] 参见 T007 专题的详细讲解。 方法 核心动作 主要代价 关键词 ------------ 赶工 增加资源/加班 成本增加 ""加人""""加班""""加资源""""增加投入"" 快速跟进 活动并行/重叠 风险增加、返工 ""并行""""重叠""""同时做""""未完成就提前开始"" 资源平衡 调整活动时间以适应资源限制 工期可能延长 ""资源冲突""""资源过度分配""""同一资源被多用"" 一句话判断：赶工 = 加",,T-SCH-002;T-SCH-003,,,,,,,,sha256:f5b1c073fe1fe3d2c9881dfb,ruankao ruankao::anki_build::20260520_223914 ruankao::cross_topic ruankao::difficulty::3 ruankao::domain::综合专题与跨域辨析 ruankao::exam_use::跨域辨析 ruankao::importance::A ruankao::source_grounded ruankao::topic ruankao::topic::T-CROSS-001 ruankao::type::跨专题整合卡,92,final,通过内容、来源和工程门禁；跨专题整合卡，需结合真题反馈迭代
软考::系统集成项目管理工程师::跨专题辨析,RuankaoTopicCard,资源平衡 vs 资源平滑的核心区别是什么？,"<div class=""answer-block"">
<div class=""section-title"">【答案】</div>
<div>资源平衡可能改变关键路径和延长工期；资源平滑通常在时差内调整，不改变关键路径。</div>
</div>","<div class=""extra"">
<div class=""section-title"">【理解】</div>
<div>资源平衡可能改变关键路径和延长工期；资源平滑通常在时差内调整，不改变关键路径。。这张卡来自源材料中的具体段落，用于把讲义内容改写为可回忆判断。</div>
<div class=""section-title"">【记忆线索】</div>
<div>先判断对象、责任主体、时间点和输出物，再排除张冠李戴的选项。</div>
<div class=""section-title"">【易错点】</div>
<div>避免把相邻概念按字面相似性混用。</div>
<div class=""section-title"">【题干信号】</div>
<div>定义识别、场景判断、角色/流程边界。</div>
<div class=""section-title"">【关联专题】</div>
<div>T-CROSS-001 高频跨域概念辨析与易错点；T-SCH-003</div>
<div class=""section-title"">【来源】</div>
<div>SRC-T-CROSS-001-0006：高频跨域概念辨析与易错点 &gt; 辨析 4：赶工 vs 快速跟进 vs 资源平衡；辨析 4：赶工 vs 快速跟进 vs 资源平衡 [高 频] 参见 T007 专题的详细讲解。 方法 核心动作 主要代价 关键词 ------------ 赶工 增加资源/加班 成本增加 &quot;加人&quot;&quot;加班&quot;&quot;加资源&quot;&quot;增加投入&quot; 快速跟进 活动并行/重叠 风险增加、返工 &quot;并行&quot;&quot;重叠&quot;&quot;同时做&quot;&quot;未完成就提前开始&quot; 资源</div>
</div>",跨专题整合卡,A,3,跨域辨析,综合专题与跨域辨析,T-CROSS-001,高频跨域概念辨析与易错点,SRC-T-CROSS-001-0006,topic_learning_packages/topics/99_综合专题与跨域辨析/T-CROSS-001_专题学习包_高频跨域概念辨析与易错点.md,高频跨域概念辨析与易错点 > 辨析 4：赶工 vs 快速跟进 vs 资源平衡,"辨析 4：赶工 vs 快速跟进 vs 资源平衡 [高 频] 参见 T007 专题的详细讲解。 方法 核心动作 主要代价 关键词 ------------ 赶工 增加资源/加班 成本增加 ""加人""""加班""""加资源""""增加投入"" 快速跟进 活动并行/重叠 风险增加、返工 ""并行""""重叠""""同时做""""未完成就提前开始"" 资源平衡 调整活动时间以适应资源限制 工期可能延长 ""资源冲突""""资源过度分配""""同一资源被多用"" 一句话判断：赶工 = 加",,T-SCH-003,,,,,,,,sha256:c0517e01bf9a77bfba6c35c3,ruankao ruankao::anki_build::20260520_223914 ruankao::cross_topic ruankao::difficulty::3 ruankao::domain::综合专题与跨域辨析 ruankao::exam_use::跨域辨析 ruankao::importance::A ruankao::source_grounded ruankao::topic ruankao::topic::T-CROSS-001 ruankao::type::跨专题整合卡,92,final,通过内容、来源和工程门禁；跨专题整合卡，需结合真题反馈迭代
软考::系统集成项目管理工程师::跨专题辨析,RuankaoTopicCard,风险、问题、变更三者如何区分？,"<div class=""answer-block"">
<div class=""section-title"">【答案】</div>
<div>风险是未发生的不确定事件；问题是已发生的影响事项；变更是对已批准计划、基准或交付物的修改请求。</div>
</div>","<div class=""extra"">
<div class=""section-title"">【理解】</div>
<div>风险是未发生的不确定事件；问题是已发生的影响事项；变更是对已批准计划、基准或交付物的修改请求。。这张卡来自源材料中的具体段落，用于把讲义内容改写为可回忆判断。</div>
<div class=""section-title"">【记忆线索】</div>
<div>抓住题干中的对象、动作和输出，不背整段讲义。</div>
<div class=""section-title"">【易错点】</div>
<div>不能口头同意或绕过 CCB 直接改基准。</div>
<div class=""section-title"">【题干信号】</div>
<div>变更、风险、问题</div>
<div class=""section-title"">【关联专题】</div>
<div>T-CROSS-001 高频跨域概念辨析与易错点；T-RISK-003；T-INT-004</div>
<div class=""section-title"">【来源】</div>
<div>SRC-T-CROSS-001-0006：高频跨域概念辨析与易错点 &gt; 辨析 4：赶工 vs 快速跟进 vs 资源平衡；辨析 4：赶工 vs 快速跟进 vs 资源平衡 [高 频] 参见 T007 专题的详细讲解。 方法 核心动作 主要代价 关键词 ------------ 赶工 增加资源/加班 成本增加 &quot;加人&quot;&quot;加班&quot;&quot;加资源&quot;&quot;增加投入&quot; 快速跟进 活动并行/重叠 风险增加、返工 &quot;并行&quot;&quot;重叠&quot;&quot;同时做&quot;&quot;未完成就提前开始&quot; 资源</div>
</div>",跨专题整合卡,A,3,跨域辨析,综合专题与跨域辨析,T-CROSS-001,高频跨域概念辨析与易错点,SRC-T-CROSS-001-0006,topic_learning_packages/topics/99_综合专题与跨域辨析/T-CROSS-001_专题学习包_高频跨域概念辨析与易错点.md,高频跨域概念辨析与易错点 > 辨析 4：赶工 vs 快速跟进 vs 资源平衡,"辨析 4：赶工 vs 快速跟进 vs 资源平衡 [高 频] 参见 T007 专题的详细讲解。 方法 核心动作 主要代价 关键词 ------------ 赶工 增加资源/加班 成本增加 ""加人""""加班""""加资源""""增加投入"" 快速跟进 活动并行/重叠 风险增加、返工 ""并行""""重叠""""同时做""""未完成就提前开始"" 资源平衡 调整活动时间以适应资源限制 工期可能延长 ""资源冲突""""资源过度分配""""同一资源被多用"" 一句话判断：赶工 = 加",,T-RISK-003;T-INT-004,,,,,,,,sha256:ed7ff9da7f4a0cb770917862,ruankao ruankao::anki_build::20260520_223914 ruankao::cross_topic ruankao::difficulty::3 ruankao::domain::综合专题与跨域辨析 ruankao::exam_use::跨域辨析 ruankao::importance::A ruankao::source_grounded ruankao::topic ruankao::topic::T-CROSS-001 ruankao::type::跨专题整合卡,92,final,通过内容、来源和工程门禁；跨专题整合卡，需结合真题反馈迭代
软考::系统集成项目管理工程师::跨专题辨析,RuankaoTopicCard,风险应对、应急措施、权变措施如何区分？,"<div class=""answer-block"">
<div class=""section-title"">【答案】</div>
<div>风险应对是事前计划；应急措施是触发已计划应对；权变措施是未计划风险或意外问题发生后的临时处理。</div>
</div>","<div class=""extra"">
<div class=""section-title"">【理解】</div>
<div>风险应对是事前计划；应急措施是触发已计划应对；权变措施是未计划风险或意外问题发生后的临时处理。。这张卡来自源材料中的具体段落，用于把讲义内容改写为可回忆判断。</div>
<div class=""section-title"">【记忆线索】</div>
<div>抓住题干中的对象、动作和输出，不背整段讲义。</div>
<div class=""section-title"">【易错点】</div>
<div>避免把相邻概念按字面相似性混用。</div>
<div class=""section-title"">【题干信号】</div>
<div>风险、问题</div>
<div class=""section-title"">【关联专题】</div>
<div>T-CROSS-001 高频跨域概念辨析与易错点；T-RISK-001；T-RISK-003</div>
<div class=""section-title"">【来源】</div>
<div>SRC-T-CROSS-001-0012：高频跨域概念辨析与易错点 &gt; 典型题详解；典型题详解 例题 1｜章程 vs 管理计划 以下哪项是项目章程的内容？ A. 详细的 WBS B. 成本绩效基准 C. 任命项目经理并授权 D. 风险应对计划 A、B、D 都属于项目管理计划的内容（或子组件）。</div>
</div>",跨专题整合卡,A,3,跨域辨析,综合专题与跨域辨析,T-CROSS-001,高频跨域概念辨析与易错点,SRC-T-CROSS-001-0012,topic_learning_packages/topics/99_综合专题与跨域辨析/T-CROSS-001_专题学习包_高频跨域概念辨析与易错点.md,高频跨域概念辨析与易错点 > 典型题详解,典型题详解 例题 1｜章程 vs 管理计划 以下哪项是项目章程的内容？ A. 详细的 WBS B. 成本绩效基准 C. 任命项目经理并授权 D. 风险应对计划 A、B、D 都属于项目管理计划的内容（或子组件）。,,T-RISK-001;T-RISK-003,,,,,,,,sha256:2a2430cada748ae4340978cf,ruankao ruankao::anki_build::20260520_223914 ruankao::cross_topic ruankao::difficulty::3 ruankao::domain::综合专题与跨域辨析 ruankao::exam_use::跨域辨析 ruankao::importance::A ruankao::source_grounded ruankao::topic ruankao::topic::T-CROSS-001 ruankao::type::跨专题整合卡,92,final,通过内容、来源和工程门禁；跨专题整合卡，需结合真题反馈迭代
软考::系统集成项目管理工程师::跨专题辨析,RuankaoTopicCard,固定总价、成本补偿、工料合同的风险分配怎么记？,"<div class=""answer-block"">
<div class=""section-title"">【答案】</div>
<div>固定总价卖方风险高；成本补偿买方风险高；工料合同介于两者之间。</div>
</div>","<div class=""extra"">
<div class=""section-title"">【理解】</div>
<div>固定总价卖方风险高；成本补偿买方风险高；工料合同介于两者之间。。这张卡来自源材料中的具体段落，用于把讲义内容改写为可回忆判断。</div>
<div class=""section-title"">【记忆线索】</div>
<div>抓住题干中的对象、动作和输出，不背整段讲义。</div>
<div class=""section-title"">【易错点】</div>
<div>避免把相邻概念按字面相似性混用。</div>
<div class=""section-title"">【题干信号】</div>
<div>风险、合同</div>
<div class=""section-title"">【关联专题】</div>
<div>T-CROSS-001 高频跨域概念辨析与易错点；T-PROC-001</div>
<div class=""section-title"">【来源】</div>
<div>SRC-T-CROSS-001-0001：高频跨域概念辨析与易错点；T-CROSS-001｜高频跨域概念辨析与易错点 本专题用于集中辨析系统集成项目管理工程师考试中最容易在选择题和案例题中被混淆的高频概念对。这些概念对跨域出现，如果你只背了各自独立的定义，不知道它们在真题中怎么被&quot;调换着问&quot;，就很容易失分。</div>
</div>",跨专题整合卡,A,3,跨域辨析,综合专题与跨域辨析,T-CROSS-001,高频跨域概念辨析与易错点,SRC-T-CROSS-001-0001,topic_learning_packages/topics/99_综合专题与跨域辨析/T-CROSS-001_专题学习包_高频跨域概念辨析与易错点.md,高频跨域概念辨析与易错点,"T-CROSS-001｜高频跨域概念辨析与易错点 本专题用于集中辨析系统集成项目管理工程师考试中最容易在选择题和案例题中被混淆的高频概念对。这些概念对跨域出现，如果你只背了各自独立的定义，不知道它们在真题中怎么被""调换着问""，就很容易失分。",,T-PROC-001,,,,,,,,sha256:541d7793d0212e6fd745e6c2,ruankao ruankao::anki_build::20260520_223914 ruankao::cross_topic ruankao::difficulty::3 ruankao::domain::综合专题与跨域辨析 ruankao::exam_use::跨域辨析 ruankao::importance::A ruankao::source_grounded ruankao::topic ruankao::topic::T-CROSS-001 ruankao::type::跨专题整合卡,92,final,通过内容、来源和工程门禁；跨专题整合卡，需结合真题反馈迭代
软考::系统集成项目管理工程师::跨专题辨析,RuankaoTopicCard,项目章程、项目管理计划、范围基准如何区分？,"<div class=""answer-block"">
<div class=""section-title"">【答案】</div>
<div>章程授权项目；项目管理计划说明如何管理项目；范围基准是经批准的范围说明书、WBS 和 WBS 字典。</div>
</div>","<div class=""extra"">
<div class=""section-title"">【理解】</div>
<div>章程授权项目；项目管理计划说明如何管理项目；范围基准是经批准的范围说明书、WBS 和 WBS 字典。。这张卡来自源材料中的具体段落，用于把讲义内容改写为可回忆判断。</div>
<div class=""section-title"">【记忆线索】</div>
<div>抓住题干中的对象、动作和输出，不背整段讲义。</div>
<div class=""section-title"">【易错点】</div>
<div>避免把相邻概念按字面相似性混用。</div>
<div class=""section-title"">【题干信号】</div>
<div>WBS、章程</div>
<div class=""section-title"">【关联专题】</div>
<div>T-CROSS-001 高频跨域概念辨析与易错点；T-INT-002；T-SCOPE-002</div>
<div class=""section-title"">【来源】</div>
<div>SRC-T-CROSS-001-0003：高频跨域概念辨析与易错点 &gt; 辨析 1：项目章程 vs 项目管理计划；辨析 1：项目章程 vs 项目管理计划 [高 频] 选择题和案例题中最高频的调换对。 维度 项目章程 项目管理计划 --------- 谁发布 发起人（或项目以外的高层） 项目经理领导制定，团队参与 主要作用 正式批准项目存在，授权项目经理动用资源 说明项目将如何执行、监督和控制 内容层级 高层级：项目目标、总体范围、</div>
</div>",跨专题整合卡,A,3,跨域辨析,综合专题与跨域辨析,T-CROSS-001,高频跨域概念辨析与易错点,SRC-T-CROSS-001-0003,topic_learning_packages/topics/99_综合专题与跨域辨析/T-CROSS-001_专题学习包_高频跨域概念辨析与易错点.md,高频跨域概念辨析与易错点 > 辨析 1：项目章程 vs 项目管理计划,辨析 1：项目章程 vs 项目管理计划 [高 频] 选择题和案例题中最高频的调换对。 维度 项目章程 项目管理计划 --------- 谁发布 发起人（或项目以外的高层） 项目经理领导制定，团队参与 主要作用 正式批准项目存在，授权项目经理动用资源 说明项目将如何执行、监督和控制 内容层级 高层级：项目目标、总体范围、里程碑、关键干系人 详细：各子管理计划 + 三大基准（范围/进度/成本） 生成时间 项目最早，启动过程组 规划过程组，章,,T-INT-002;T-SCOPE-002,,,,,,,,sha256:08e0c98c471f127cd2083463,ruankao ruankao::anki_build::20260520_223914 ruankao::cross_topic ruankao::difficulty::3 ruankao::domain::综合专题与跨域辨析 ruankao::exam_use::跨域辨析 ruankao::importance::A ruankao::source_grounded ruankao::topic ruankao::topic::T-CROSS-001 ruankao::type::跨专题整合卡,92,final,通过内容、来源和工程门禁；跨专题整合卡，需结合真题反馈迭代
