Deck,NoteType,Front,Back,Extra,CardType,Importance,Difficulty,ExamUse,KnowledgeDomain,SourceTopicID,SourceTopicName,SourceFile,SourceLocator,RelatedQuestionIDs,QuestionYear,QuestionSession,QuestionPart,QuestionNumber,QuestionStem,Options,Answer,Explanation,WrongOptionAnalysis,ExamSignal,Checksum,TagsText,QualityScore,QualityStatus,ReviewNotes
软考::系统集成项目管理工程师::专题学习::信息化与系统集成基础::T-INFO-001_信息化、信息系统生命周期与系统集成基础,RuankaoTopicCard,信息系统集成项目的根本出发点是什么？,满足客户和用户的需求。,题干若把“技术堆叠”说成系统集成目标，要回到用户需求和业务目标。,概念卡,A,2,上午选择,信息化与系统集成基础,T-INFO-001,信息化、信息系统生命周期与系统集成基础,topic_learning_packages/topics/01_信息化与信息系统/T-INFO-001_专题学习包_信息化信息系统生命周期与系统集成基础.md,topic package,,,,,,,,,,,,sha256:bf97f4a56a42d8855822818c,ruankao ruankao::anki_build::20260520_221409 ruankao::difficulty::2 ruankao::domain::信息化与系统集成基础 ruankao::exam_use::上午选择 ruankao::importance::A ruankao::topic ruankao::topic::T-INFO-001 ruankao::type::概念卡,100,final,A：通过质量门禁
软考::系统集成项目管理工程师::专题学习::信息化与系统集成基础::T-INFO-001_信息化、信息系统生命周期与系统集成基础,RuankaoTopicCard,信息系统生命周期 vs 项目生命周期的核心区别是什么？,信息系统生命周期看系统从规划、建设到运行维护的全过程；项目生命周期看一次项目从启动到收尾的管理过程。,题干说系统长期运行维护，多半是信息系统生命周期；说项目阶段门、交付和收尾，多半是项目生命周期。,辨析卡,A,3,上午选择,信息化与系统集成基础,T-INFO-001,信息化、信息系统生命周期与系统集成基础,topic_learning_packages/topics/01_信息化与信息系统/T-INFO-001_专题学习包_信息化信息系统生命周期与系统集成基础.md,line 1,,,,,,,,,,,,sha256:bd21b5295dd7a9683abac718,ruankao ruankao::anki_build::20260520_221409 ruankao::difficulty::3 ruankao::domain::信息化与系统集成基础 ruankao::exam_use::上午选择 ruankao::importance::A ruankao::topic ruankao::topic::T-INFO-001 ruankao::type::辨析卡,100,final,A：通过质量门禁
软考::系统集成项目管理工程师::专题学习::信息化与系统集成基础::T-INFO-001_信息化、信息系统生命周期与系统集成基础,RuankaoTopicCard,题干出现哪些信号时，应想到“系统集成”？,多系统、多技术、多厂商、多接口，需要把软件、硬件、网络、数据和业务流程整合成可用系统。,不要只把系统集成理解为设备采购或布线。,关键词识别卡,A,2,上午选择,信息化与系统集成基础,T-INFO-001,信息化、信息系统生命周期与系统集成基础,topic_learning_packages/topics/01_信息化与信息系统/T-INFO-001_专题学习包_信息化信息系统生命周期与系统集成基础.md,topic package,,,,,,,,,,,,sha256:cb96ad0949d8154540f9658f,ruankao ruankao::anki_build::20260520_221409 ruankao::difficulty::2 ruankao::domain::信息化与系统集成基础 ruankao::exam_use::上午选择 ruankao::importance::A ruankao::topic ruankao::topic::T-INFO-001 ruankao::type::关键词识别卡,100,final,A：通过质量门禁
软考::系统集成项目管理工程师::专题学习::项目管理基础::T-PM-002_五大过程组、十大知识域与_PDCA,RuankaoTopicCard,项目阶段 vs 项目管理过程组的核心区别是什么？,阶段是项目生命周期中的时间段；过程组是管理活动的逻辑分类，可在每个阶段反复出现。,题干说“设计阶段、实施阶段”是阶段；说“启动、规划、执行、监控、收尾”是过程组。,辨析卡,A,2,上午选择,项目管理基础,T-PM-002,五大过程组、十大知识域与 PDCA,topic_learning_packages/topics/02_项目管理基础/T-PM-002_专题学习包_五大过程组十大知识域与PDCA.md,line 3,,,,,,,,,,,,sha256:c66524320042c81a7133b2b9,ruankao ruankao::anki_build::20260520_221409 ruankao::difficulty::2 ruankao::domain::项目管理基础 ruankao::exam_use::上午选择 ruankao::importance::A ruankao::topic ruankao::topic::T-PM-002 ruankao::type::辨析卡,100,final,A：通过质量门禁
软考::系统集成项目管理工程师::专题学习::项目管理基础::T-PM-002_五大过程组、十大知识域与_PDCA,RuankaoTopicCard,PDCA 的 Act 与项目收尾为什么不能简单等同？,Act 是根据检查结果采取改进措施；项目收尾是结束项目或阶段、验收、归档和释放资源。,收尾不是“纠偏动作”，不要把 PDCA 的 A 机械对应到收尾过程组。,辨析卡,A,3,上午选择,项目管理基础,T-PM-002,五大过程组、十大知识域与 PDCA,topic_learning_packages/topics/02_项目管理基础/T-PM-002_专题学习包_五大过程组十大知识域与PDCA.md,line 1,,,,,,,,,,,,sha256:a629e8c78b00aa5cc5527535,ruankao ruankao::anki_build::20260520_221409 ruankao::difficulty::3 ruankao::domain::项目管理基础 ruankao::exam_use::上午选择 ruankao::importance::A ruankao::topic ruankao::topic::T-PM-002 ruankao::type::辨析卡,100,final,A：通过质量门禁
软考::系统集成项目管理工程师::专题学习::项目管理基础::T-PM-002_五大过程组、十大知识域与_PDCA,RuankaoTopicCard,看到哪些管理动作，应优先想到监控过程组？,测量绩效、比较基准、发现偏差、提出纠正或预防措施、实施整体变更控制。,QA 属执行；QC、确认范围、控制范围和整体变更控制通常属于监控。,关键词识别卡,A,3,上午选择,项目管理基础,T-PM-002,五大过程组、十大知识域与 PDCA,topic_learning_packages/topics/02_项目管理基础/T-PM-002_专题学习包_五大过程组十大知识域与PDCA.md,topic package,,,,,,,,,,,,sha256:0268b83c422e4ef920c18c74,ruankao ruankao::anki_build::20260520_221409 ruankao::difficulty::3 ruankao::domain::项目管理基础 ruankao::exam_use::上午选择 ruankao::importance::A ruankao::topic ruankao::topic::T-PM-002 ruankao::type::关键词识别卡,100,final,A：通过质量门禁
软考::系统集成项目管理工程师::专题学习::立项管理::T-FEA-001_立项管理：项目建议书、可行性研究与项目论证,RuankaoTopicCard,项目建议书在立项管理中的核心作用是什么？,提出项目建设的必要性、初步目标和建设设想，为是否启动后续可行性研究提供依据。,它不是详细实施计划，也不是最终项目管理计划。,概念卡,A,2,上午选择,立项管理,T-FEA-001,立项管理：项目建议书、可行性研究与项目论证,topic_learning_packages/topics/03_立项管理/T-FEA-001_专题学习包_立项管理项目建议书可行性研究与项目论证.md,topic package,,,,,,,,,,,,sha256:955bd4a38dadc29e476a92b6,ruankao ruankao::anki_build::20260520_221409 ruankao::difficulty::2 ruankao::domain::立项管理 ruankao::exam_use::上午选择 ruankao::importance::A ruankao::topic ruankao::topic::T-FEA-001 ruankao::type::概念卡,100,final,A：通过质量门禁
软考::系统集成项目管理工程师::专题学习::立项管理::T-FEA-001_立项管理：项目建议书、可行性研究与项目论证,RuankaoTopicCard,可行性研究通常从哪些角度判断项目是否值得做？,技术可行、经济可行、社会/组织可行、运行维护可行等角度综合判断。,具体分类口径以教材为准；涉及数字和审批权限需核验。,流程卡,A,3,上午选择,立项管理,T-FEA-001,立项管理：项目建议书、可行性研究与项目论证,topic_learning_packages/topics/03_立项管理/T-FEA-001_专题学习包_立项管理项目建议书可行性研究与项目论证.md,topic package,,,,,,,,,,,,sha256:10939b5503f43fd5b2bd5d9d,ruankao ruankao::anki_build::20260520_221409 ruankao::difficulty::3 ruankao::domain::立项管理 ruankao::exam_use::上午选择 ruankao::importance::A ruankao::topic ruankao::topic::T-FEA-001 ruankao::type::流程卡,100,final,A：通过质量门禁
软考::系统集成项目管理工程师::专题学习::立项管理::T-FEA-001_立项管理：项目建议书、可行性研究与项目论证,RuankaoTopicCard,项目论证 vs 项目评估的核心区别是什么？,论证偏建设方或咨询方论证项目方案是否可行；评估偏决策方或第三方对论证结果进行审查评价。,关键词：先论证，后评估；论证重“方案可行”，评估重“决策把关”。,辨析卡,A,3,上午选择,立项管理,T-FEA-001,立项管理：项目建议书、可行性研究与项目论证,topic_learning_packages/topics/03_立项管理/T-FEA-001_专题学习包_立项管理项目建议书可行性研究与项目论证.md,line 1,,,,,,,,,,,,sha256:d3b81389ae42283e0389ca49,ruankao ruankao::anki_build::20260520_221409 ruankao::difficulty::3 ruankao::domain::立项管理 ruankao::exam_use::上午选择 ruankao::importance::A ruankao::topic ruankao::topic::T-FEA-001 ruankao::type::辨析卡,100,final,A：通过质量门禁
软考::系统集成项目管理工程师::专题学习::整体管理::T-CLOSE-001_项目收尾：管理收尾、合同收尾与验收,RuankaoTopicCard,项目收尾时，合同收尾和管理收尾的顺序通常是什么？,先完成合同收尾，再完成项目或阶段的管理收尾。,先确认合同义务、结算和合同记录，再做整体归档、经验教训和资源释放。,流程卡,A,2,上午选择,整体管理,T-CLOSE-001,项目收尾：管理收尾、合同收尾与验收,topic_learning_packages/topics/04_整体管理/T-CLOSE-001_专题学习包_项目收尾管理收尾合同收尾与验收.md,topic package,,,,,,,,,,,,sha256:314c650162652fcbe63b012a,ruankao ruankao::anki_build::20260520_221409 ruankao::difficulty::2 ruankao::domain::整体管理 ruankao::exam_use::上午选择 ruankao::importance::A ruankao::topic ruankao::topic::T-CLOSE-001 ruankao::type::流程卡,100,final,A：通过质量门禁
