deck,note_type,front,back,extra,card_family,card_type,concept_name,concept_aliases,importance,difficulty,exam_use,knowledge_domain,chapter_id,chapter_name,source_topic_ids,source_topic_names,source_ids,source_file,source_heading,related_question_ids,related_topic_ids,manual_review_status,manual_review_note,tags,checksum
软考::系统集成项目管理工程师::02_项目管理基础::章节概念卡::02_项目管理基础_概念卡,RuankaoTopicCard,项目是什么？,项目是为创造独特产品、服务或成果而进行的临时性工作。,<div>理解：临时性不等于时间短，独特性不等于完全没有历史经验。</div><div>题干信号：临时性、独特性、成果</div><div>来源：02_项目管理基础 专题包 / topic_build_full 相关小节</div>,chapter_concept,概念卡,项目,,A,2,章节概念,项目管理基础,02,项目管理基础,T-PM-002,五大过程组、十大知识域与 PDCA,SRC-CH-02-001,topic_learning_packages/topics/02_项目管理基础/T-PM-002_专题学习包_五大过程组十大知识域与PDCA.md,项目,,,keep,Front 聚焦“项目”这一章内概念，Back 一句话定边界，Extra 给出本概念的题干信号。,ruankao ruankao::build::20260520_235046 ruankao::chapter::02 ruankao::domain::项目管理基础 ruankao::type::概念卡 ruankao::importance::A ruankao::difficulty::2 ruankao::review::keep ruankao::chapter_concept,sha256:64e7e7a0aab72b87063b9696
软考::系统集成项目管理工程师::02_项目管理基础::章节概念卡::02_项目管理基础_概念卡,RuankaoTopicCard,项目目标约束是什么？,项目通常要在范围、时间、成本、质量、资源和风险等约束下达成目标。,<div>理解：案例题常考“只压工期导致成本或质量受影响”。</div><div>题干信号：多目标权衡、三重约束</div><div>来源：02_项目管理基础 专题包 / topic_build_full 相关小节</div>,chapter_concept,概念卡,项目目标约束,,A,2,章节概念,项目管理基础,02,项目管理基础,T-PM-002,五大过程组、十大知识域与 PDCA,SRC-CH-02-002,topic_learning_packages/topics/02_项目管理基础/T-PM-002_专题学习包_五大过程组十大知识域与PDCA.md,项目目标约束,,,keep,Front 聚焦“项目目标约束”这一章内概念，Back 一句话定边界，Extra 给出本概念的题干信号。,ruankao ruankao::build::20260520_235046 ruankao::chapter::02 ruankao::domain::项目管理基础 ruankao::type::概念卡 ruankao::importance::A ruankao::difficulty::2 ruankao::review::keep ruankao::chapter_concept,sha256:a6c3c6f900ace05be1337a3a
软考::系统集成项目管理工程师::02_项目管理基础::章节概念卡::02_项目管理基础_概念卡,RuankaoTopicCard,项目生命周期是什么？,项目生命周期是项目从启动到收尾经历的一系列阶段。,<div>理解：它与产品生命周期、信息系统生命周期不同，项目结束后产品或系统仍可继续存在。</div><div>题干信号：启动、阶段、收尾</div><div>来源：02_项目管理基础 专题包 / topic_build_full 相关小节</div>,chapter_concept,概念卡,项目生命周期,,A,2,章节概念,项目管理基础,02,项目管理基础,T-PM-002,五大过程组、十大知识域与 PDCA,SRC-CH-02-003,topic_learning_packages/topics/02_项目管理基础/T-PM-002_专题学习包_五大过程组十大知识域与PDCA.md,项目生命周期,,,keep,Front 聚焦“项目生命周期”这一章内概念，Back 一句话定边界，Extra 给出本概念的题干信号。,ruankao ruankao::build::20260520_235046 ruankao::chapter::02 ruankao::domain::项目管理基础 ruankao::type::概念卡 ruankao::importance::A ruankao::difficulty::2 ruankao::review::keep ruankao::chapter_concept,sha256:93be6ac8921794dfc4c35f30
软考::系统集成项目管理工程师::02_项目管理基础::章节概念卡::02_项目管理基础_概念卡,RuankaoTopicCard,阶段门是什么？,阶段门是在阶段结束处进行评审和决策的控制点。,<div>理解：题干出现“是否进入下一阶段、评审通过后继续”，优先想到阶段门。</div><div>题干信号：阶段评审、继续/终止</div><div>来源：02_项目管理基础 专题包 / topic_build_full 相关小节</div>,chapter_concept,概念卡,阶段门,,B,3,章节概念,项目管理基础,02,项目管理基础,T-PM-002,五大过程组、十大知识域与 PDCA,SRC-CH-02-004,topic_learning_packages/topics/02_项目管理基础/T-PM-002_专题学习包_五大过程组十大知识域与PDCA.md,阶段门,,,keep,Front 聚焦“阶段门”这一章内概念，Back 一句话定边界，Extra 给出本概念的题干信号。,ruankao ruankao::build::20260520_235046 ruankao::chapter::02 ruankao::domain::项目管理基础 ruankao::type::概念卡 ruankao::importance::B ruankao::difficulty::3 ruankao::review::keep ruankao::chapter_concept,sha256:d1178a85f72075c02646e98c
软考::系统集成项目管理工程师::02_项目管理基础::章节概念卡::02_项目管理基础_概念卡,RuankaoTopicCard,五大过程组是什么？,五大过程组是启动、规划、执行、监控、收尾，描述项目管理活动的时间逻辑。,<div>理解：过程组不是项目生命周期阶段，但常与阶段交织出现。</div><div>题干信号：启动规划执行监控收尾</div><div>来源：02_项目管理基础 专题包 / topic_build_full 相关小节</div>,chapter_concept,概念卡,五大过程组,,A,2,章节概念,项目管理基础,02,项目管理基础,T-PM-002,五大过程组、十大知识域与 PDCA,SRC-CH-02-005,topic_learning_packages/topics/02_项目管理基础/T-PM-002_专题学习包_五大过程组十大知识域与PDCA.md,五大过程组,,,keep,Front 聚焦“五大过程组”这一章内概念，Back 一句话定边界，Extra 给出本概念的题干信号。,ruankao ruankao::build::20260520_235046 ruankao::chapter::02 ruankao::domain::项目管理基础 ruankao::type::概念卡 ruankao::importance::A ruankao::difficulty::2 ruankao::review::keep ruankao::chapter_concept,sha256:01f69ff3e1a1dc50c05d1633
软考::系统集成项目管理工程师::02_项目管理基础::章节概念卡::02_项目管理基础_概念卡,RuankaoTopicCard,十大知识域是什么？,十大知识域按管理内容划分项目管理工作，如范围、进度、成本、质量、风险等。,<div>理解：知识域回答管什么，过程组回答什么时候管。</div><div>题干信号：范围、进度、成本、质量</div><div>来源：02_项目管理基础 专题包 / topic_build_full 相关小节</div>,chapter_concept,概念卡,十大知识域,,A,2,章节概念,项目管理基础,02,项目管理基础,T-PM-002,五大过程组、十大知识域与 PDCA,SRC-CH-02-006,topic_learning_packages/topics/02_项目管理基础/T-PM-002_专题学习包_五大过程组十大知识域与PDCA.md,十大知识域,,,keep,Front 聚焦“十大知识域”这一章内概念，Back 一句话定边界，Extra 给出本概念的题干信号。,ruankao ruankao::build::20260520_235046 ruankao::chapter::02 ruankao::domain::项目管理基础 ruankao::type::概念卡 ruankao::importance::A ruankao::difficulty::2 ruankao::review::keep ruankao::chapter_concept,sha256:2d7e0c23a1b7612dae1641aa
软考::系统集成项目管理工程师::02_项目管理基础::章节概念卡::02_项目管理基础_概念卡,RuankaoTopicCard,PDCA是什么？,PDCA 是计划、执行、检查、处理的持续改进循环。,<div>理解：软考常把 PDCA 与规划、执行、监控和纠偏联系起来。</div><div>题干信号：计划执行检查处理</div><div>来源：02_项目管理基础 专题包 / topic_build_full 相关小节</div>,chapter_concept,概念卡,PDCA,,B,3,章节概念,项目管理基础,02,项目管理基础,T-PM-002,五大过程组、十大知识域与 PDCA,SRC-CH-02-007,topic_learning_packages/topics/02_项目管理基础/T-PM-002_专题学习包_五大过程组十大知识域与PDCA.md,PDCA,,,keep,Front 聚焦“PDCA”这一章内概念，Back 一句话定边界，Extra 给出本概念的题干信号。,ruankao ruankao::build::20260520_235046 ruankao::chapter::02 ruankao::domain::项目管理基础 ruankao::type::概念卡 ruankao::importance::B ruankao::difficulty::3 ruankao::review::keep ruankao::chapter_concept,sha256:70ceb7929baa1a42bfc65b70
软考::系统集成项目管理工程师::02_项目管理基础::章节概念卡::02_项目管理基础_概念卡,RuankaoTopicCard,项目经理是什么？,项目经理负责整合项目资源并对项目目标实现承担管理责任。,<div>理解：项目经理不是万能批准者，权限受组织结构和章程授权影响。</div><div>题干信号：整合、授权、责任</div><div>来源：02_项目管理基础 专题包 / topic_build_full 相关小节</div>,chapter_concept,概念卡,项目经理,,A,2,章节概念,项目管理基础,02,项目管理基础,T-PM-002,五大过程组、十大知识域与 PDCA,SRC-CH-02-008,topic_learning_packages/topics/02_项目管理基础/T-PM-002_专题学习包_五大过程组十大知识域与PDCA.md,项目经理,,,keep,Front 聚焦“项目经理”这一章内概念，Back 一句话定边界，Extra 给出本概念的题干信号。,ruankao ruankao::build::20260520_235046 ruankao::chapter::02 ruankao::domain::项目管理基础 ruankao::type::概念卡 ruankao::importance::A ruankao::difficulty::2 ruankao::review::keep ruankao::chapter_concept,sha256:b8c8b0c5917ccb954c7499c4
软考::系统集成项目管理工程师::02_项目管理基础::章节概念卡::02_项目管理基础_概念卡,RuankaoTopicCard,PMO是什么？,PMO 是对项目、项目集或项目组合提供支持、控制或指令的组织单元。,<div>理解：支持型、控制型、指令型 PMO 的权力逐渐增强。</div><div>题干信号：支持、控制、指令</div><div>来源：02_项目管理基础 专题包 / topic_build_full 相关小节</div>,chapter_concept,概念卡,PMO,,B,3,章节概念,项目管理基础,02,项目管理基础,T-PM-002,五大过程组、十大知识域与 PDCA,SRC-CH-02-009,topic_learning_packages/topics/02_项目管理基础/T-PM-002_专题学习包_五大过程组十大知识域与PDCA.md,PMO,,,keep,Front 聚焦“PMO”这一章内概念，Back 一句话定边界，Extra 给出本概念的题干信号。,ruankao ruankao::build::20260520_235046 ruankao::chapter::02 ruankao::domain::项目管理基础 ruankao::type::概念卡 ruankao::importance::B ruankao::difficulty::3 ruankao::review::keep ruankao::chapter_concept,sha256:c59df25cb1752d607135ddda
软考::系统集成项目管理工程师::待核验与复查,RuankaoTopicCard,项目管理基础中哪些概念不应直接按数字或版本背诵？,涉及法规数字、标准编号、过程名称版本差异或教材译名的内容，应先核验教材或现行法规。,<div>理解：这类卡只提醒隔离风险，不把不稳定数字塞进主复习。</div><div>来源：pending_verification_register.md</div>,chapter_concept,待核验卡,教材口径待核验项,,C,3,待核验,项目管理基础,02,项目管理基础,T-PM-002,五大过程组、十大知识域与 PDCA,SRC-PV-02,topic_learning_packages/reports/pending_verification_register.md,相关 PV 条目,,,needs_human_review,涉及法规、标准或教材口径差异，方向可复习但具体数字和版本必须人工核验。,ruankao ruankao::build::20260520_235046 ruankao::chapter::02 ruankao::domain::项目管理基础 ruankao::type::待核验卡 ruankao::importance::C ruankao::difficulty::3 ruankao::review::needs_human_review ruankao::chapter_concept ruankao::needs_review ruankao::not_for_main_review,sha256:edbf0d51b1060ff6beadfecb
