deck,note_type,front,back,extra,card_family,card_type,concept_name,concept_aliases,importance,difficulty,exam_use,knowledge_domain,chapter_id,chapter_name,source_topic_ids,source_topic_names,source_ids,source_file,source_heading,related_question_ids,related_topic_ids,manual_review_status,manual_review_note,tags,checksum
软考::系统集成项目管理工程师::01_信息化与信息系统::专题问答卡::T-INFO-001_信息化_信息系统生命周期与系统集成基础,RuankaoTopicCard,信息系统生命周期 vs 项目生命周期的核心区别是什么？,信息系统生命周期覆盖系统规划、开发、运维和退役；项目生命周期只覆盖某个建设项目从启动到收尾。,<div>理解：本卡只围绕“生命周期边界”做判断，避免把整个专题压成目录卡。</div><div>题干信号：生命周期边界</div><div>来源：T-INFO-001 / 生命周期边界</div>,topic_qa,辨析卡,,,A,2,跨域辨析,信息化与系统集成基础,01,信息化与信息系统,T-INFO-001,信息化、信息系统生命周期与系统集成基础,SRC-T-INFO-001-001,topic_learning_packages/topics/01_信息化与信息系统/T-INFO-001_专题学习包_信息化信息系统生命周期与系统集成基础.md,生命周期边界,,,keep,Front 聚焦“生命周期边界”，Back 短句给出可判分答案，Extra 提供本卡专属题干信号。,ruankao ruankao::build::20260520_235046 ruankao::chapter::01 ruankao::domain::信息化与系统集成基础 ruankao::type::辨析卡 ruankao::importance::A ruankao::difficulty::2 ruankao::review::keep ruankao::topic_qa ruankao::topic::T-INFO-001,sha256:6a9a8f2ce524fc08d93558dd
软考::系统集成项目管理工程师::01_信息化与信息系统::专题问答卡::T-INFO-001_信息化_信息系统生命周期与系统集成基础,RuankaoTopicCard,为什么系统集成项目不能只按软件开发项目理解？,系统集成同时涉及软件、硬件、网络、数据、业务流程和多方协同。,<div>理解：本卡只围绕“系统集成特点”做判断，避免把整个专题压成目录卡。</div><div>题干信号：系统集成特点</div><div>来源：T-INFO-001 / 系统集成特点</div>,topic_qa,陷阱卡,,,A,2,上午选择,信息化与系统集成基础,01,信息化与信息系统,T-INFO-001,信息化、信息系统生命周期与系统集成基础,SRC-T-INFO-001-002,topic_learning_packages/topics/01_信息化与信息系统/T-INFO-001_专题学习包_信息化信息系统生命周期与系统集成基础.md,系统集成特点,,,keep,Front 聚焦“系统集成特点”，Back 短句给出可判分答案，Extra 提供本卡专属题干信号。,ruankao ruankao::build::20260520_235046 ruankao::chapter::01 ruankao::domain::信息化与系统集成基础 ruankao::type::陷阱卡 ruankao::importance::A ruankao::difficulty::2 ruankao::review::keep ruankao::topic_qa ruankao::topic::T-INFO-001,sha256:fb3818c432f7577ad3ff66b0
软考::系统集成项目管理工程师::01_信息化与信息系统::专题问答卡::T-INFO-001_信息化_信息系统生命周期与系统集成基础,RuankaoTopicCard,题干出现“满足用户特定需求的信息系统整体交付”时，应想到什么？,应想到信息系统集成，核心是把多种技术和产品整合成可运行系统。,<div>理解：本卡只围绕“系统集成信号”做判断，避免把整个专题压成目录卡。</div><div>题干信号：系统集成信号</div><div>来源：T-INFO-001 / 系统集成信号</div>,topic_qa,关键词识别卡,,,A,2,上午选择,信息化与系统集成基础,01,信息化与信息系统,T-INFO-001,信息化、信息系统生命周期与系统集成基础,SRC-T-INFO-001-003,topic_learning_packages/topics/01_信息化与信息系统/T-INFO-001_专题学习包_信息化信息系统生命周期与系统集成基础.md,系统集成信号,,,keep,Front 聚焦“系统集成信号”，Back 短句给出可判分答案，Extra 提供本卡专属题干信号。,ruankao ruankao::build::20260520_235046 ruankao::chapter::01 ruankao::domain::信息化与系统集成基础 ruankao::type::关键词识别卡 ruankao::importance::A ruankao::difficulty::2 ruankao::review::keep ruankao::topic_qa ruankao::topic::T-INFO-001,sha256:da6f707d4fcbc53edb1d6964
软考::系统集成项目管理工程师::01_信息化与信息系统::专题问答卡::T-INFO-001_信息化_信息系统生命周期与系统集成基础,RuankaoTopicCard,需求分析阶段主要回答什么问题？,回答系统必须做什么、具备哪些功能和性能。,<div>理解：本卡只围绕“需求分析”做判断，避免把整个专题压成目录卡。</div><div>题干信号：需求分析</div><div>来源：T-INFO-001 / 需求分析</div>,topic_qa,概念卡,,,A,2,上午选择,信息化与系统集成基础,01,信息化与信息系统,T-INFO-001,信息化、信息系统生命周期与系统集成基础,SRC-T-INFO-001-004,topic_learning_packages/topics/01_信息化与信息系统/T-INFO-001_专题学习包_信息化信息系统生命周期与系统集成基础.md,需求分析,,,keep,Front 聚焦“需求分析”，Back 短句给出可判分答案，Extra 提供本卡专属题干信号。,ruankao ruankao::build::20260520_235046 ruankao::chapter::01 ruankao::domain::信息化与系统集成基础 ruankao::type::概念卡 ruankao::importance::A ruankao::difficulty::2 ruankao::review::keep ruankao::topic_qa ruankao::topic::T-INFO-001,sha256:db0395fd83358f8aab2a6564
软考::系统集成项目管理工程师::01_信息化与信息系统::专题问答卡::T-INFO-001_信息化_信息系统生命周期与系统集成基础,RuankaoTopicCard,UML 被说成“可视化程序设计语言”为什么不准确？,UML 是可视化建模语言，用于分析和设计表达，不是编程语言。,<div>理解：本卡只围绕“UML”做判断，避免把整个专题压成目录卡。</div><div>题干信号：UML</div><div>来源：T-INFO-001 / UML</div>,topic_qa,陷阱卡,,,B,3,上午选择,信息化与系统集成基础,01,信息化与信息系统,T-INFO-001,信息化、信息系统生命周期与系统集成基础,SRC-T-INFO-001-005,topic_learning_packages/topics/01_信息化与信息系统/T-INFO-001_专题学习包_信息化信息系统生命周期与系统集成基础.md,UML,,,keep,Front 聚焦“UML”，Back 短句给出可判分答案，Extra 提供本卡专属题干信号。,ruankao ruankao::build::20260520_235046 ruankao::chapter::01 ruankao::domain::信息化与系统集成基础 ruankao::type::陷阱卡 ruankao::importance::B ruankao::difficulty::3 ruankao::review::keep ruankao::topic_qa ruankao::topic::T-INFO-001,sha256:53661e27c232b65b457fe452
软考::系统集成项目管理工程师::01_信息化与信息系统::专题问答卡::T-INFO-001_信息化_信息系统生命周期与系统集成基础,RuankaoTopicCard,信息化建设为什么不能只理解为采购设备？,信息化还包括信息资源开发、业务流程改造、人才、标准和管理机制建设。,<div>理解：本卡只围绕“信息化边界”做判断，避免把整个专题压成目录卡。</div><div>题干信号：信息化边界</div><div>来源：T-INFO-001 / 信息化边界</div>,topic_qa,辨析卡,,,B,3,上午选择,信息化与系统集成基础,01,信息化与信息系统,T-INFO-001,信息化、信息系统生命周期与系统集成基础,SRC-T-INFO-001-006,topic_learning_packages/topics/01_信息化与信息系统/T-INFO-001_专题学习包_信息化信息系统生命周期与系统集成基础.md,信息化边界,,,keep,Front 聚焦“信息化边界”，Back 短句给出可判分答案，Extra 提供本卡专属题干信号。,ruankao ruankao::build::20260520_235046 ruankao::chapter::01 ruankao::domain::信息化与系统集成基础 ruankao::type::辨析卡 ruankao::importance::B ruankao::difficulty::3 ruankao::review::keep ruankao::topic_qa ruankao::topic::T-INFO-001,sha256:5ce17ab86a0268ee21391b0b
软考::系统集成项目管理工程师::02_项目管理基础::专题问答卡::T-PM-002_五大过程组_十大知识域与PDCA,RuankaoTopicCard,过程组和知识域的核心区别是什么？,过程组按项目管理活动的时间逻辑划分；知识域按管理内容划分。,<div>理解：本卡只围绕“过程组 vs 知识域”做判断，避免把整个专题压成目录卡。</div><div>题干信号：过程组 vs 知识域</div><div>来源：T-PM-002 / 过程组 vs 知识域</div>,topic_qa,辨析卡,,,A,2,跨域辨析,项目管理基础,02,项目管理基础,T-PM-002,五大过程组、十大知识域与 PDCA,SRC-T-PM-002-001,topic_learning_packages/topics/02_项目管理基础/T-PM-002_专题学习包_五大过程组十大知识域与PDCA.md,过程组 vs 知识域,,,keep,Front 聚焦“过程组 vs 知识域”，Back 短句给出可判分答案，Extra 提供本卡专属题干信号。,ruankao ruankao::build::20260520_235046 ruankao::chapter::02 ruankao::domain::项目管理基础 ruankao::type::辨析卡 ruankao::importance::A ruankao::difficulty::2 ruankao::review::keep ruankao::topic_qa ruankao::topic::T-PM-002,sha256:91117658530d3056f97d10da
软考::系统集成项目管理工程师::02_项目管理基础::专题问答卡::T-PM-002_五大过程组_十大知识域与PDCA,RuankaoTopicCard,五大过程组分别回答项目管理中的什么时间问题？,启动定边界，规划定方案，执行做工作，监控查偏差，收尾正式结束。,<div>理解：本卡只围绕“过程组”做判断，避免把整个专题压成目录卡。</div><div>题干信号：过程组</div><div>来源：T-PM-002 / 过程组</div>,topic_qa,流程卡,,,A,2,上午选择,项目管理基础,02,项目管理基础,T-PM-002,五大过程组、十大知识域与 PDCA,SRC-T-PM-002-002,topic_learning_packages/topics/02_项目管理基础/T-PM-002_专题学习包_五大过程组十大知识域与PDCA.md,过程组,,,keep,Front 聚焦“过程组”，Back 短句给出可判分答案，Extra 提供本卡专属题干信号。,ruankao ruankao::build::20260520_235046 ruankao::chapter::02 ruankao::domain::项目管理基础 ruankao::type::流程卡 ruankao::importance::A ruankao::difficulty::2 ruankao::review::keep ruankao::topic_qa ruankao::topic::T-PM-002,sha256:59141e002282174e535248cc
软考::系统集成项目管理工程师::02_项目管理基础::专题问答卡::T-PM-002_五大过程组_十大知识域与PDCA,RuankaoTopicCard,为什么不能只按知识域学习项目管理？,考试常用过程组定位“当前处于什么时候”，再用知识域定位“管什么”。,<div>理解：本卡只围绕“定位方法”做判断，避免把整个专题压成目录卡。</div><div>题干信号：定位方法</div><div>来源：T-PM-002 / 定位方法</div>,topic_qa,陷阱卡,,,A,2,上午选择,项目管理基础,02,项目管理基础,T-PM-002,五大过程组、十大知识域与 PDCA,SRC-T-PM-002-003,topic_learning_packages/topics/02_项目管理基础/T-PM-002_专题学习包_五大过程组十大知识域与PDCA.md,定位方法,,,keep,Front 聚焦“定位方法”，Back 短句给出可判分答案，Extra 提供本卡专属题干信号。,ruankao ruankao::build::20260520_235046 ruankao::chapter::02 ruankao::domain::项目管理基础 ruankao::type::陷阱卡 ruankao::importance::A ruankao::difficulty::2 ruankao::review::keep ruankao::topic_qa ruankao::topic::T-PM-002,sha256:ee6eb66bc831daec07506385
软考::系统集成项目管理工程师::02_项目管理基础::专题问答卡::T-PM-002_五大过程组_十大知识域与PDCA,RuankaoTopicCard,PDCA 与项目管理过程组如何对应理解？,规划对应 Plan，执行对应 Do，监控对应 Check，纠偏和收尾体现 Act 的改进闭环。,<div>理解：本卡只围绕“PDCA”做判断，避免把整个专题压成目录卡。</div><div>题干信号：PDCA</div><div>来源：T-PM-002 / PDCA</div>,topic_qa,辨析卡,,,B,3,上午选择,项目管理基础,02,项目管理基础,T-PM-002,五大过程组、十大知识域与 PDCA,SRC-T-PM-002-004,topic_learning_packages/topics/02_项目管理基础/T-PM-002_专题学习包_五大过程组十大知识域与PDCA.md,PDCA,,,keep,Front 聚焦“PDCA”，Back 短句给出可判分答案，Extra 提供本卡专属题干信号。,ruankao ruankao::build::20260520_235046 ruankao::chapter::02 ruankao::domain::项目管理基础 ruankao::type::辨析卡 ruankao::importance::B ruankao::difficulty::3 ruankao::review::keep ruankao::topic_qa ruankao::topic::T-PM-002,sha256:486ce8c7677a8d8fd96e1848
