deck,note_type,front,back,extra,card_family,card_type,concept_name,concept_aliases,importance,difficulty,exam_use,knowledge_domain,chapter_id,chapter_name,source_topic_ids,source_topic_names,source_ids,source_file,source_heading,related_question_ids,related_topic_ids,manual_review_status,manual_review_note,tags,checksum
软考::系统集成项目管理工程师::01_信息化与信息系统::章节概念卡::01_信息化与信息系统_概念卡,RuankaoTopicCard,信息是什么？,信息是经过加工、具有意义并能支持决策的数据。,<div>理解：数据偏事实记录，信息偏可理解和可用于决策的内容。</div><div>题干信号：数据、加工、意义、决策</div><div>来源：01_信息化与信息系统 专题包 / topic_build_full 相关小节</div>,chapter_concept,概念卡,信息,,A,2,章节概念,信息化与信息系统,01,信息化与信息系统,T-INFO-001,信息化、信息系统生命周期与系统集成基础,SRC-CH-01-001,topic_learning_packages/topics/01_信息化与信息系统/T-INFO-001_专题学习包_信息化信息系统生命周期与系统集成基础.md,信息,,,keep,Front 聚焦“信息”这一章内概念，Back 一句话定边界，Extra 给出本概念的题干信号。,ruankao ruankao::build::20260520_235046 ruankao::chapter::01 ruankao::domain::信息化与信息系统 ruankao::type::概念卡 ruankao::importance::A ruankao::difficulty::2 ruankao::review::keep ruankao::chapter_concept,sha256:ec33098ead580813c2dedb26
软考::系统集成项目管理工程师::01_信息化与信息系统::章节概念卡::01_信息化与信息系统_概念卡,RuankaoTopicCard,信息化是什么？,信息化是利用信息技术开发和利用信息资源，推动业务、组织和社会运行方式改变的过程。,<div>理解：它不是单纯买设备，而是技术、数据、流程和管理共同变化。</div><div>题干信号：信息技术应用、信息资源、业务改造</div><div>来源：01_信息化与信息系统 专题包 / topic_build_full 相关小节</div>,chapter_concept,概念卡,信息化,,A,2,章节概念,信息化与信息系统,01,信息化与信息系统,T-INFO-001,信息化、信息系统生命周期与系统集成基础,SRC-CH-01-002,topic_learning_packages/topics/01_信息化与信息系统/T-INFO-001_专题学习包_信息化信息系统生命周期与系统集成基础.md,信息化,,,keep,Front 聚焦“信息化”这一章内概念，Back 一句话定边界，Extra 给出本概念的题干信号。,ruankao ruankao::build::20260520_235046 ruankao::chapter::01 ruankao::domain::信息化与信息系统 ruankao::type::概念卡 ruankao::importance::A ruankao::difficulty::2 ruankao::review::keep ruankao::chapter_concept,sha256:cf1fba79c9c3f8905e4d91be
软考::系统集成项目管理工程师::01_信息化与信息系统::章节概念卡::01_信息化与信息系统_概念卡,RuankaoTopicCard,国家信息化体系是什么？,国家信息化体系通常从信息资源、网络、技术应用、产业、人才、政策法规和标准等要素理解。,<div>理解：具体要素表述有教材口径风险，涉及完整枚举时应核验。</div><div>题干信号：六要素、政策法规、信息化人才</div><div>来源：01_信息化与信息系统 专题包 / topic_build_full 相关小节</div>,chapter_concept,概念卡,国家信息化体系,,B,3,章节概念,信息化与信息系统,01,信息化与信息系统,T-INFO-001,信息化、信息系统生命周期与系统集成基础,SRC-CH-01-003,topic_learning_packages/topics/01_信息化与信息系统/T-INFO-001_专题学习包_信息化信息系统生命周期与系统集成基础.md,国家信息化体系,,,keep,Front 聚焦“国家信息化体系”这一章内概念，Back 一句话定边界，Extra 给出本概念的题干信号。,ruankao ruankao::build::20260520_235046 ruankao::chapter::01 ruankao::domain::信息化与信息系统 ruankao::type::概念卡 ruankao::importance::B ruankao::difficulty::3 ruankao::review::keep ruankao::chapter_concept,sha256:e177d3dfeda457cd6f49733c
软考::系统集成项目管理工程师::01_信息化与信息系统::章节概念卡::01_信息化与信息系统_概念卡,RuankaoTopicCard,信息系统是什么？,信息系统是由人、硬件、软件、网络、数据和规程组成，用于处理信息并支持组织活动的系统。,<div>理解：不要把信息系统等同于软件；系统集成题常强调软硬件、网络和管理的整体。</div><div>题干信号：人机系统、数据处理、组织支持</div><div>来源：01_信息化与信息系统 专题包 / topic_build_full 相关小节</div>,chapter_concept,概念卡,信息系统,,A,2,章节概念,信息化与信息系统,01,信息化与信息系统,T-INFO-001,信息化、信息系统生命周期与系统集成基础,SRC-CH-01-004,topic_learning_packages/topics/01_信息化与信息系统/T-INFO-001_专题学习包_信息化信息系统生命周期与系统集成基础.md,信息系统,,,keep,Front 聚焦“信息系统”这一章内概念，Back 一句话定边界，Extra 给出本概念的题干信号。,ruankao ruankao::build::20260520_235046 ruankao::chapter::01 ruankao::domain::信息化与信息系统 ruankao::type::概念卡 ruankao::importance::A ruankao::difficulty::2 ruankao::review::keep ruankao::chapter_concept,sha256:c876c8b54cd6a3c37a634e6c
软考::系统集成项目管理工程师::01_信息化与信息系统::章节概念卡::01_信息化与信息系统_概念卡,RuankaoTopicCard,信息系统生命周期是什么？,信息系统生命周期描述系统从规划、开发、运行维护到更新或退役的全过程。,<div>理解：它比单个项目生命周期更长，系统上线后仍进入运维和演化。</div><div>题干信号：规划、开发、运维、退役</div><div>来源：01_信息化与信息系统 专题包 / topic_build_full 相关小节</div>,chapter_concept,概念卡,信息系统生命周期,,A,2,章节概念,信息化与信息系统,01,信息化与信息系统,T-INFO-001,信息化、信息系统生命周期与系统集成基础,SRC-CH-01-005,topic_learning_packages/topics/01_信息化与信息系统/T-INFO-001_专题学习包_信息化信息系统生命周期与系统集成基础.md,信息系统生命周期,,,keep,Front 聚焦“信息系统生命周期”这一章内概念，Back 一句话定边界，Extra 给出本概念的题干信号。,ruankao ruankao::build::20260520_235046 ruankao::chapter::01 ruankao::domain::信息化与信息系统 ruankao::type::概念卡 ruankao::importance::A ruankao::difficulty::2 ruankao::review::keep ruankao::chapter_concept,sha256:a8d5ee394d703621cfdd6df6
软考::系统集成项目管理工程师::01_信息化与信息系统::章节概念卡::01_信息化与信息系统_概念卡,RuankaoTopicCard,系统集成是什么？,系统集成是把硬件、软件、网络、数据和业务流程组合成满足用户需求的信息系统。,<div>理解：核心不是拼设备，而是满足用户需求并形成可运行整体。</div><div>题干信号：软硬件网络集成、满足需求</div><div>来源：01_信息化与信息系统 专题包 / topic_build_full 相关小节</div>,chapter_concept,概念卡,系统集成,,A,2,章节概念,信息化与信息系统,01,信息化与信息系统,T-INFO-001,信息化、信息系统生命周期与系统集成基础,SRC-CH-01-006,topic_learning_packages/topics/01_信息化与信息系统/T-INFO-001_专题学习包_信息化信息系统生命周期与系统集成基础.md,系统集成,,,keep,Front 聚焦“系统集成”这一章内概念，Back 一句话定边界，Extra 给出本概念的题干信号。,ruankao ruankao::build::20260520_235046 ruankao::chapter::01 ruankao::domain::信息化与信息系统 ruankao::type::概念卡 ruankao::importance::A ruankao::difficulty::2 ruankao::review::keep ruankao::chapter_concept,sha256:e2f884cd62aeba97325359c2
软考::系统集成项目管理工程师::01_信息化与信息系统::章节概念卡::01_信息化与信息系统_概念卡,RuankaoTopicCard,需求分析是什么？,需求分析明确待建系统必须做什么以及应具备哪些功能和性能。,<div>理解：需求分析问 What to do，设计阶段才问 How to do。</div><div>题干信号：目标、范围、用户需求、What</div><div>来源：01_信息化与信息系统 专题包 / topic_build_full 相关小节</div>,chapter_concept,概念卡,需求分析,,A,2,章节概念,信息化与信息系统,01,信息化与信息系统,T-INFO-001,信息化、信息系统生命周期与系统集成基础,SRC-CH-01-007,topic_learning_packages/topics/01_信息化与信息系统/T-INFO-001_专题学习包_信息化信息系统生命周期与系统集成基础.md,需求分析,,,keep,Front 聚焦“需求分析”这一章内概念，Back 一句话定边界，Extra 给出本概念的题干信号。,ruankao ruankao::build::20260520_235046 ruankao::chapter::01 ruankao::domain::信息化与信息系统 ruankao::type::概念卡 ruankao::importance::A ruankao::difficulty::2 ruankao::review::keep ruankao::chapter_concept,sha256:e9c003cb2abed414904e8fc3
软考::系统集成项目管理工程师::01_信息化与信息系统::章节概念卡::01_信息化与信息系统_概念卡,RuankaoTopicCard,瀑布模型是什么？,瀑布模型按需求、设计、编码、测试等阶段顺序推进，适合需求较稳定的项目。,<div>理解：需求不清或风险高时，瀑布模型容易在后期暴露问题。</div><div>题干信号：阶段顺序、需求稳定</div><div>来源：01_信息化与信息系统 专题包 / topic_build_full 相关小节</div>,chapter_concept,概念卡,瀑布模型,,B,3,章节概念,信息化与信息系统,01,信息化与信息系统,T-INFO-001,信息化、信息系统生命周期与系统集成基础,SRC-CH-01-008,topic_learning_packages/topics/01_信息化与信息系统/T-INFO-001_专题学习包_信息化信息系统生命周期与系统集成基础.md,瀑布模型,,,keep,Front 聚焦“瀑布模型”这一章内概念，Back 一句话定边界，Extra 给出本概念的题干信号。,ruankao ruankao::build::20260520_235046 ruankao::chapter::01 ruankao::domain::信息化与信息系统 ruankao::type::概念卡 ruankao::importance::B ruankao::difficulty::3 ruankao::review::keep ruankao::chapter_concept,sha256:dba7e7ea4a3910f781deb176
软考::系统集成项目管理工程师::01_信息化与信息系统::章节概念卡::01_信息化与信息系统_概念卡,RuankaoTopicCard,V 模型是什么？,V 模型强调开发阶段与测试阶段的对应关系，突出验证和确认。,<div>理解：看到需求、设计与验收测试、系统测试配对时，要想到 V 模型。</div><div>题干信号：测试对应、验证确认</div><div>来源：01_信息化与信息系统 专题包 / topic_build_full 相关小节</div>,chapter_concept,概念卡,V 模型,,B,3,章节概念,信息化与信息系统,01,信息化与信息系统,T-INFO-001,信息化、信息系统生命周期与系统集成基础,SRC-CH-01-009,topic_learning_packages/topics/01_信息化与信息系统/T-INFO-001_专题学习包_信息化信息系统生命周期与系统集成基础.md,V 模型,,,keep,Front 聚焦“V 模型”这一章内概念，Back 一句话定边界，Extra 给出本概念的题干信号。,ruankao ruankao::build::20260520_235046 ruankao::chapter::01 ruankao::domain::信息化与信息系统 ruankao::type::概念卡 ruankao::importance::B ruankao::difficulty::3 ruankao::review::keep ruankao::chapter_concept,sha256:dada2e87a59a3cc0ec098d40
软考::系统集成项目管理工程师::01_信息化与信息系统::章节概念卡::01_信息化与信息系统_概念卡,RuankaoTopicCard,UML是什么？,UML 是面向对象分析与设计的可视化建模语言，不是程序设计语言。,<div>理解：题干说“可视化程序设计语言”通常是陷阱。</div><div>题干信号：建模语言、类图、用例图</div><div>来源：01_信息化与信息系统 专题包 / topic_build_full 相关小节</div>,chapter_concept,概念卡,UML,,B,3,章节概念,信息化与信息系统,01,信息化与信息系统,T-INFO-001,信息化、信息系统生命周期与系统集成基础,SRC-CH-01-010,topic_learning_packages/topics/01_信息化与信息系统/T-INFO-001_专题学习包_信息化信息系统生命周期与系统集成基础.md,UML,,,keep,Front 聚焦“UML”这一章内概念，Back 一句话定边界，Extra 给出本概念的题干信号。,ruankao ruankao::build::20260520_235046 ruankao::chapter::01 ruankao::domain::信息化与信息系统 ruankao::type::概念卡 ruankao::importance::B ruankao::difficulty::3 ruankao::review::keep ruankao::chapter_concept,sha256:62a4cb9f171c1ded2e3096eb
