Deck,NoteType,Front,Back,Extra,CardType,Importance,Difficulty,ExamUse,KnowledgeDomain,SourceTopicID,SourceTopicName,SourceFile,SourceLocator,RelatedQuestionIDs,QuestionYear,QuestionSession,QuestionPart,QuestionNumber,QuestionStem,Options,Answer,Explanation,WrongOptionAnalysis,ExamSignal,Checksum,TagsText,QualityScore,QualityStatus,ReviewNotes
软考::系统集成项目管理工程师::专题学习::范围管理::T-SCOPE-002_WBS、工作包、WBS_字典与范围基准,RuankaoTopicCard,WBS 的核心特征是什么？,以可交付成果为导向，把项目范围逐层分解到可管理的工作包。,WBS 不是活动清单，也不是组织结构图。,概念卡,A,2,上午选择,范围管理,T-SCOPE-002,WBS、工作包、WBS 字典与范围基准,topic_learning_packages/topics/05_范围管理/T-SCOPE-002_专题学习包_WBS工作包WBS字典与范围基准.md,line 1,,,,,,,,,,,,sha256:6a426284c7efa1b8477bf448,ruankao ruankao::anki_build::20260520_221409 ruankao::difficulty::2 ruankao::domain::范围管理 ruankao::exam_use::上午选择 ruankao::importance::A ruankao::topic ruankao::topic::T-SCOPE-002 ruankao::type::概念卡,100,final,A：通过质量门禁
软考::系统集成项目管理工程师::专题学习::范围管理::T-SCOPE-002_WBS、工作包、WBS_字典与范围基准,RuankaoTopicCard,范围基准由哪三部分组成？,项目范围说明书、WBS、WBS 字典。,题干问“批准的范围基准”时，不要只答 WBS。,概念卡,A,2,上午选择,范围管理,T-SCOPE-002,WBS、工作包、WBS 字典与范围基准,topic_learning_packages/topics/05_范围管理/T-SCOPE-002_专题学习包_WBS工作包WBS字典与范围基准.md,topic package,,,,,,,,,,,,sha256:58e17633482f492dd691d7f5,ruankao ruankao::anki_build::20260520_221409 ruankao::difficulty::2 ruankao::domain::范围管理 ruankao::exam_use::上午选择 ruankao::importance::A ruankao::topic ruankao::topic::T-SCOPE-002 ruankao::type::概念卡,100,final,A：通过质量门禁
软考::系统集成项目管理工程师::专题学习::范围管理::T-SCOPE-002_WBS、工作包、WBS_字典与范围基准,RuankaoTopicCard,WBS vs 活动清单的核心区别是什么？,WBS 说明要交付什么；活动清单说明为完成交付物要做哪些活动。,可交付成果导向是 WBS；动词化任务更像活动清单。,辨析卡,A,3,上午选择,范围管理,T-SCOPE-002,WBS、工作包、WBS 字典与范围基准,topic_learning_packages/topics/05_范围管理/T-SCOPE-002_专题学习包_WBS工作包WBS字典与范围基准.md,line 1,,,,,,,,,,,,sha256:b175b1f82df9358d439e02ad,ruankao ruankao::anki_build::20260520_221409 ruankao::difficulty::3 ruankao::domain::范围管理 ruankao::exam_use::上午选择 ruankao::importance::A ruankao::topic ruankao::topic::T-SCOPE-002 ruankao::type::辨析卡,100,final,A：通过质量门禁
软考::系统集成项目管理工程师::真题刷题::上午选择题,RuankaoTopicCard,"【未知未知上午 第 42 题】下面关于项目范围确认描述，(42)是正确的。
A. 范围确认是一项对项目范围说明书进行评审的活动
B. 范围确认活动通常由项目组和质量管理员参与执行即可
C. 范围确认过程中可能会产生变更申请
D. 范围确认属于一项质量控制活动",答案：C,"解析：范围确认是客户等项目干系人正式验收并接受已完成的项目可交付物的过程，范围确认过程中可能产生的变更申请，例如对缺陷的修复要求。 该题正确选项为""C.范围确认过程中可能会产生变更申请""。 下列关于资源平衡的描述中，(43)是正确的
错项分析：按选项关键词逐项排除；本轮自动解析不扩写未能稳定定位的错项。
题干信号：变更
关联专题：T-SCOPE-002 WBS、工作包、WBS 字典与范围基准
可迁移考点：把题干关键词映射回专题判断规则。",真题刷题卡,B,3,上午选择,范围管理,T-SCOPE-002,WBS、工作包、WBS 字典与范围基准,questions.full.clean.md,未知未知上午 第 42 题 / line 1883,未知-未知-上午-42,未知,未知,上午,42,下面关于项目范围确认描述，(42)是正确的。,"A. 范围确认是一项对项目范围说明书进行评审的活动
B. 范围确认活动通常由项目组和质量管理员参与执行即可
C. 范围确认过程中可能会产生变更申请
D. 范围确认属于一项质量控制活动",C,"范围确认是客户等项目干系人正式验收并接受已完成的项目可交付物的过程，范围确认过程中可能产生的变更申请，例如对缺陷的修复要求。 该题正确选项为""C.范围确认过程中可能会产生变更申请""。 下列关于资源平衡的描述中，(43)是正确的",自动解析未逐项展开；保留原选项供刷题排除。,变更,sha256:5a578f903f1eea3f8336155c,ruankao ruankao::anki_build::20260520_221409 ruankao::difficulty::3 ruankao::domain::范围管理 ruankao::exam_use::上午选择 ruankao::importance::B ruankao::question ruankao::source::past_exam ruankao::topic::T-SCOPE-002 ruankao::type::真题刷题卡,100,final,A：通过质量门禁
软考::系统集成项目管理工程师::真题刷题::上午选择题,RuankaoTopicCard,"【未知未知上午 第 38 题】在某信息系统建设项目中，以下做法不正确的是(38)。
A. 项目经理没有制定单独的范围管理计划，而是在项目管理计划中进行了说明
B. 进行范围定义的主要工作是确定产生所交付信息系统的过程并把结果记录下来
C. 范围定义完成后，项目经理就开始进行WBS分解
D. WBS分解完成后，所有的项目活动被直接分解到工作包，项目组成员马上按照WBS的活动开展自己的工作",答案：D,"解析：选项D中的""所有的项目活动被直接分解到工作包，项目组成员马上按照WBS的活动开展自己的工作""是不正确的，得到WBS后，至少还得活动定义、排序、资源估算、历时估算、制定进度计划，然后还有考虑分工等，才能开展自己的工作。 以下关于范围变更的说法错误的是(39)
错项分析：按选项关键词逐项排除；本轮自动解析不扩写未能稳定定位的错项。
题干信号：WBS
关联专题：T-SCOPE-002 WBS、工作包、WBS 字典与范围基准
可迁移考点：把题干关键词映射回专题判断规则。",真题刷题卡,B,3,上午选择,范围管理,T-SCOPE-002,WBS、工作包、WBS 字典与范围基准,questions.full.clean.md,未知未知上午 第 38 题 / line 5240,未知-未知-上午-38,未知,未知,上午,38,在某信息系统建设项目中，以下做法不正确的是(38)。,"A. 项目经理没有制定单独的范围管理计划，而是在项目管理计划中进行了说明
B. 进行范围定义的主要工作是确定产生所交付信息系统的过程并把结果记录下来
C. 范围定义完成后，项目经理就开始进行WBS分解
D. WBS分解完成后，所有的项目活动被直接分解到工作包，项目组成员马上按照WBS的活动开展自己的工作",D,"选项D中的""所有的项目活动被直接分解到工作包，项目组成员马上按照WBS的活动开展自己的工作""是不正确的，得到WBS后，至少还得活动定义、排序、资源估算、历时估算、制定进度计划，然后还有考虑分工等，才能开展自己的工作。 以下关于范围变更的说法错误的是(39)",自动解析未逐项展开；保留原选项供刷题排除。,WBS,sha256:75f44718471c8b602a3258c1,ruankao ruankao::anki_build::20260520_221409 ruankao::difficulty::3 ruankao::domain::范围管理 ruankao::exam_use::上午选择 ruankao::importance::B ruankao::question ruankao::source::past_exam ruankao::topic::T-SCOPE-002 ruankao::type::真题刷题卡,100,final,A：通过质量门禁
软考::系统集成项目管理工程师::真题刷题::上午选择题,RuankaoTopicCard,"【未知未知上午 第 39 题】以下关于范围变更的说法错误的是(39)。
A. 范围变更是不可避免的，范围变更如果不加以控制可能引起范围蔓延。
B. 客户对产品的需求发生变化其实就是一种范围变更
C. 范围变更过程中应多让客户参与，以免后期进行范围确认时发生问题
D. 范围变更控制流程与整体变更控制流程应分开设计，确保项目发生范围变更时遵从范围变更控制流程，由于范围变更引起了其他变更时遵从整体变更流程",答案：D,"解析：C. 风险因素及对策""和"""" D. 经济可行性""。 但没有提到""B.运行环境可行性"" 。 关于项目的可行性研究，以下论述中不正确的是(41)
错项分析：按选项关键词逐项排除；本轮自动解析不扩写未能稳定定位的错项。
题干信号：变更
关联专题：T-SCOPE-002 WBS、工作包、WBS 字典与范围基准
可迁移考点：把题干关键词映射回专题判断规则。",真题刷题卡,B,3,上午选择,范围管理,T-SCOPE-002,WBS、工作包、WBS 字典与范围基准,questions.full.clean.md,未知未知上午 第 39 题 / line 5253,未知-未知-上午-39,未知,未知,上午,39,以下关于范围变更的说法错误的是(39)。,"A. 范围变更是不可避免的，范围变更如果不加以控制可能引起范围蔓延。
B. 客户对产品的需求发生变化其实就是一种范围变更
C. 范围变更过程中应多让客户参与，以免后期进行范围确认时发生问题
D. 范围变更控制流程与整体变更控制流程应分开设计，确保项目发生范围变更时遵从范围变更控制流程，由于范围变更引起了其他变更时遵从整体变更流程",D,"C. 风险因素及对策""和"""" D. 经济可行性""。 但没有提到""B.运行环境可行性"" 。 关于项目的可行性研究，以下论述中不正确的是(41)",自动解析未逐项展开；保留原选项供刷题排除。,变更,sha256:0971b31beeea44cc4cb6ff66,ruankao ruankao::anki_build::20260520_221409 ruankao::difficulty::3 ruankao::domain::范围管理 ruankao::exam_use::上午选择 ruankao::importance::B ruankao::question ruankao::source::past_exam ruankao::topic::T-SCOPE-002 ruankao::type::真题刷题卡,100,final,A：通过质量门禁
软考::系统集成项目管理工程师::真题刷题::上午选择题,RuankaoTopicCard,"【未知未知上午 第 51 题】大型项目的计划管理过程有其自身的特点。围绕大型项目计划管理过程，下列说法中不正确的是(51)。
A. 企业可自行定义不同级别的大型项目，并采用不同的计划管理过程
B. 项目计划在需求定义完成后一般要进行修订，确保计划与实际的一致性
C. 大型项目的WBS可以按照组织结构、产品结构、生命周期进行分解
D. 为了保持管理的一致性，每个大型项目的计划制定都要采用统一的模板",答案：D,"解析：每个企业一般都存在自己的通用过程，但是项目的特征又使得每个项目都有其各自不同的要求。对于一个大型及复杂项目来说，为项目单独建立一套适合的过程规范无疑是有益的。 本题论述中不正确的选项是D。 围绕大型项目的目标管理，下列说法不正确的是(52)
错项分析：按选项关键词逐项排除；本轮自动解析不扩写未能稳定定位的错项。
题干信号：WBS
关联专题：T-SCOPE-002 WBS、工作包、WBS 字典与范围基准
可迁移考点：把题干关键词映射回专题判断规则。",真题刷题卡,B,3,上午选择,范围管理,T-SCOPE-002,WBS、工作包、WBS 字典与范围基准,questions.full.clean.md,未知未知上午 第 51 题 / line 5440,未知-未知-上午-51,未知,未知,上午,51,大型项目的计划管理过程有其自身的特点。围绕大型项目计划管理过程，下列说法中不正确的是(51)。,"A. 企业可自行定义不同级别的大型项目，并采用不同的计划管理过程
B. 项目计划在需求定义完成后一般要进行修订，确保计划与实际的一致性
C. 大型项目的WBS可以按照组织结构、产品结构、生命周期进行分解
D. 为了保持管理的一致性，每个大型项目的计划制定都要采用统一的模板",D,每个企业一般都存在自己的通用过程，但是项目的特征又使得每个项目都有其各自不同的要求。对于一个大型及复杂项目来说，为项目单独建立一套适合的过程规范无疑是有益的。 本题论述中不正确的选项是D。 围绕大型项目的目标管理，下列说法不正确的是(52),自动解析未逐项展开；保留原选项供刷题排除。,WBS,sha256:b25b8ae64964d3db4eadc034,ruankao ruankao::anki_build::20260520_221409 ruankao::difficulty::3 ruankao::domain::范围管理 ruankao::exam_use::上午选择 ruankao::importance::B ruankao::question ruankao::source::past_exam ruankao::topic::T-SCOPE-002 ruankao::type::真题刷题卡,100,final,A：通过质量门禁
软考::系统集成项目管理工程师::真题刷题::上午选择题,RuankaoTopicCard,"【未知未知上午 第 41 题】在对一项任务的检查中，项目经理发现一个团队成员正在用与WBS词典规定不符的方法来完成这项工作。项目经理应首先(41)。
A. 告诉这名团队成员采取纠正措施。
B. 确定这种方法对职能经理而言是否尚可接受的
C. 问这名团队成员，这种变化是否必要
D. 确定这种变化是否改变了工作包的范围",答案：D,"解析：考查范围确认知识 范围确认是客户等项目干系人正式验收并接受已完成的项目可交付物的过程。也称范围确认过程为范围核实过程。项目范围确认包括审查项目可交付物以保证每一交付物令人满意地完成。如果项目在早期被终止，项目范围确认过程将记录其完成的情况。 项目范围确认应该贯穿项目的始终。范围确认与质量控制不同，范围确认是有关工作结果的接受问题，而质量控制是有关工作结果正确与否，质量控制一般在范围确认之前完成，当然也可并行进行。 范围确认又叫移交或验收。项目或项目阶段结束时，项目班子在将项目最终交付成果交给使用者或接受者之前，接
错项分析：按选项关键词逐项排除；本轮自动解析不扩写未能稳定定位的错项。
题干信号：WBS
关联专题：T-SCOPE-002 WBS、工作包、WBS 字典与范围基准
可迁移考点：把题干关键词映射回专题判断规则。",真题刷题卡,B,3,上午选择,范围管理,T-SCOPE-002,WBS、工作包、WBS 字典与范围基准,questions.full.clean.md,未知未知上午 第 41 题 / line 7213,未知-未知-上午-41,未知,未知,上午,41,在对一项任务的检查中，项目经理发现一个团队成员正在用与WBS词典规定不符的方法来完成这项工作。项目经理应首先(41)。,"A. 告诉这名团队成员采取纠正措施。
B. 确定这种方法对职能经理而言是否尚可接受的
C. 问这名团队成员，这种变化是否必要
D. 确定这种变化是否改变了工作包的范围",D,考查范围确认知识 范围确认是客户等项目干系人正式验收并接受已完成的项目可交付物的过程。也称范围确认过程为范围核实过程。项目范围确认包括审查项目可交付物以保证每一交付物令人满意地完成。如果项目在早期被终止，项目范围确认过程将记录其完成的情况。 项目范围确认应该贯穿项目的始终。范围确认与质量控制不同，范围确认是有关工作结果的接受问题，而质量控制是有关工作结果正确与否，质量控制一般在范围确认之前完成，当然也可并行进行。 范围确认又叫移交或验收。项目或项目阶段结束时，项目班子在将项目最终交付成果交给使用者或接受者之前，接,自动解析未逐项展开；保留原选项供刷题排除。,WBS,sha256:0aea6625f975df813e562195,ruankao ruankao::anki_build::20260520_221409 ruankao::difficulty::3 ruankao::domain::范围管理 ruankao::exam_use::上午选择 ruankao::importance::B ruankao::question ruankao::source::past_exam ruankao::topic::T-SCOPE-002 ruankao::type::真题刷题卡,100,final,A：通过质量门禁
软考::系统集成项目管理工程师::真题刷题::上午选择题,RuankaoTopicCard,"【未知未知上午 第 45 题】某项目经理已经完成了WBS和每个工作包的成本估算。要根据这些数据编制项目成本估算，该项目经理要(45)。
A. 使用WBS的最高层次进行类比估算
B. 计算工作包和风险储备估算的总和
C. 把工作包估算累计成为项目估算总和
D. 获得专家对项目成本总计划意见 答案：""B，计算工作包估算和风险储备的总和。 "" 估算必须包括用于风险的储备。这种储备可以是时间或成本的储备。 某ERP软件开发项目共有12个模块，项目经理对较件进行了成本预算，预算每个模块的开发成本为5万元，按照项目管理计划，每月开发一个模块，12个月完成开发工作。在项目进行到第3个月底的时候，项目经理对照计划，发现刚完成了2个模块的开发工作，经统计，实际花费的成本为15万元。若按照目前的绩效情况，到所有模块开发完成时预计托费的总成本为(46)。",答案：B,"解析：15*12/2=90参考答案：A 人员配备管理计划描述何时以及怎样满足人力资源需求。关于人员配备管理计划的叙述中，(47)是正确的
错项分析：按选项关键词逐项排除；本轮自动解析不扩写未能稳定定位的错项。
题干信号：风险、WBS、ERP
关联专题：T-SCOPE-002 WBS、工作包、WBS 字典与范围基准
可迁移考点：把题干关键词映射回专题判断规则。",真题刷题卡,B,3,上午选择,范围管理,T-SCOPE-002,WBS、工作包、WBS 字典与范围基准,questions.full.clean.md,未知未知上午 第 45 题 / line 7316,未知-未知-上午-45,未知,未知,上午,45,某项目经理已经完成了WBS和每个工作包的成本估算。要根据这些数据编制项目成本估算，该项目经理要(45)。,"A. 使用WBS的最高层次进行类比估算
B. 计算工作包和风险储备估算的总和
C. 把工作包估算累计成为项目估算总和
D. 获得专家对项目成本总计划意见 答案：""B，计算工作包估算和风险储备的总和。 "" 估算必须包括用于风险的储备。这种储备可以是时间或成本的储备。 某ERP软件开发项目共有12个模块，项目经理对较件进行了成本预算，预算每个模块的开发成本为5万元，按照项目管理计划，每月开发一个模块，12个月完成开发工作。在项目进行到第3个月底的时候，项目经理对照计划，发现刚完成了2个模块的开发工作，经统计，实际花费的成本为15万元。若按照目前的绩效情况，到所有模块开发完成时预计托费的总成本为(46)。",B,15*12/2=90参考答案：A 人员配备管理计划描述何时以及怎样满足人力资源需求。关于人员配备管理计划的叙述中，(47)是正确的,自动解析未逐项展开；保留原选项供刷题排除。,风险、WBS、ERP,sha256:517450d11fd7b1e1d4b7f048,ruankao ruankao::anki_build::20260520_221409 ruankao::difficulty::3 ruankao::domain::范围管理 ruankao::exam_use::上午选择 ruankao::importance::B ruankao::question ruankao::source::past_exam ruankao::topic::T-SCOPE-002 ruankao::type::真题刷题卡,100,final,A：通过质量门禁
软考::系统集成项目管理工程师::真题刷题::上午选择题,RuankaoTopicCard,"【未知未知上午 第 47 题】人员配备管理计划描述何时以及怎样满足人力资源需求。关于人员配备管理计划的叙述中，(47)是正确的。
A. 制定人员配备管理计划可采用工作分解结构、组织分解结构和资源分解结构等描述工具
B. 项目人力资源计划可以是正式或非正式的，但人员配备管理管理计划是不能省略的正式计划
C. 人员配备管理计划通过通常制定人员需求和人力资源时间安排，不涉及人员培训和奖惩措施
D. 项目人力资源计划是项目人员配备管理计划的一个分计划",答案：B,"解析：项目团队建设对项目的成功至关重要，在项目经理的下述做法中，有可能不利于团队建设的是奖励加班的成员。而计划不周、方法不当、效率不高而导致的加班便不在奖励之列，否则会破坏团队建设。参考答案：B 关于项目管理环境中的冲突管理的叙述中，(49)是正确的
错项分析：按选项关键词逐项排除；本轮自动解析不扩写未能稳定定位的错项。
题干信号：概念定义/场景判断
关联专题：T-SCOPE-002 WBS、工作包、WBS 字典与范围基准
可迁移考点：把题干关键词映射回专题判断规则。",真题刷题卡,B,3,上午选择,范围管理,T-SCOPE-002,WBS、工作包、WBS 字典与范围基准,questions.full.clean.md,未知未知上午 第 47 题 / line 7339,未知-未知-上午-47,未知,未知,上午,47,人员配备管理计划描述何时以及怎样满足人力资源需求。关于人员配备管理计划的叙述中，(47)是正确的。,"A. 制定人员配备管理计划可采用工作分解结构、组织分解结构和资源分解结构等描述工具
B. 项目人力资源计划可以是正式或非正式的，但人员配备管理管理计划是不能省略的正式计划
C. 人员配备管理计划通过通常制定人员需求和人力资源时间安排，不涉及人员培训和奖惩措施
D. 项目人力资源计划是项目人员配备管理计划的一个分计划",B,项目团队建设对项目的成功至关重要，在项目经理的下述做法中，有可能不利于团队建设的是奖励加班的成员。而计划不周、方法不当、效率不高而导致的加班便不在奖励之列，否则会破坏团队建设。参考答案：B 关于项目管理环境中的冲突管理的叙述中，(49)是正确的,自动解析未逐项展开；保留原选项供刷题排除。,概念定义/场景判断,sha256:e9923e206b2224de536d3795,ruankao ruankao::anki_build::20260520_221409 ruankao::difficulty::3 ruankao::domain::范围管理 ruankao::exam_use::上午选择 ruankao::importance::B ruankao::question ruankao::source::past_exam ruankao::topic::T-SCOPE-002 ruankao::type::真题刷题卡,100,final,A：通过质量门禁
