deck,note_type,front,back,extra,card_family,card_type,concept_name,concept_aliases,importance,difficulty,exam_use,knowledge_domain,chapter_id,chapter_name,source_topic_ids,source_topic_names,source_ids,source_file,source_heading,related_question_ids,related_topic_ids,manual_review_status,manual_review_note,tags,checksum
软考::系统集成项目管理工程师::09_人力资源与沟通管理::章节概念卡::09_人力资源与沟通管理_概念卡,RuankaoTopicCard,人力资源管理计划是什么？,人力资源管理计划说明角色、职责、汇报关系和人员管理安排。,<div>理解：它回答人怎么来、怎么管、何时释放。</div><div>题干信号：角色职责、人员安排</div><div>来源：09_人力资源与沟通管理 专题包 / topic_build_full 相关小节</div>,chapter_concept,概念卡,人力资源管理计划,,A,2,章节概念,人力资源与沟通管理,09,人力资源与沟通管理,T-COM-001;T-HR-001,沟通渠道计算与干系人参与管理;项目人力资源管理：组织计划、团队建设与团队管理,SRC-CH-09-001,topic_learning_packages/topics/09_人力资源与沟通管理/T-COM-001_专题学习包_沟通渠道计算与干系人参与管理.md;topic_learning_packages/topics/09_人力资源与沟通管理/T-HR-001_专题学习包_项目人力资源管理组织计划团队建设与团队管理.md,人力资源管理计划,,,keep,Front 聚焦“人力资源管理计划”这一章内概念，Back 一句话定边界，Extra 给出本概念的题干信号。,ruankao ruankao::build::20260520_235046 ruankao::chapter::09 ruankao::domain::人力资源与沟通管理 ruankao::type::概念卡 ruankao::importance::A ruankao::difficulty::2 ruankao::review::keep ruankao::chapter_concept,sha256:e9c69d50f2b2ae072e7be148
软考::系统集成项目管理工程师::09_人力资源与沟通管理::章节概念卡::09_人力资源与沟通管理_概念卡,RuankaoTopicCard,RAM是什么？,责任分配矩阵 RAM 把工作包与项目成员或组织单元对应起来。,<div>理解：用于看谁负责什么，RACI 是常见形式。</div><div>题干信号：工作包、责任</div><div>来源：09_人力资源与沟通管理 专题包 / topic_build_full 相关小节</div>,chapter_concept,概念卡,RAM,,A,2,章节概念,人力资源与沟通管理,09,人力资源与沟通管理,T-COM-001;T-HR-001,沟通渠道计算与干系人参与管理;项目人力资源管理：组织计划、团队建设与团队管理,SRC-CH-09-002,topic_learning_packages/topics/09_人力资源与沟通管理/T-COM-001_专题学习包_沟通渠道计算与干系人参与管理.md;topic_learning_packages/topics/09_人力资源与沟通管理/T-HR-001_专题学习包_项目人力资源管理组织计划团队建设与团队管理.md,RAM,,,keep,Front 聚焦“RAM”这一章内概念，Back 一句话定边界，Extra 给出本概念的题干信号。,ruankao ruankao::build::20260520_235046 ruankao::chapter::09 ruankao::domain::人力资源与沟通管理 ruankao::type::概念卡 ruankao::importance::A ruankao::difficulty::2 ruankao::review::keep ruankao::chapter_concept,sha256:aba647d5264b53fb0d3ef907
软考::系统集成项目管理工程师::09_人力资源与沟通管理::章节概念卡::09_人力资源与沟通管理_概念卡,RuankaoTopicCard,RACI是什么？,RACI 用负责、批准、咨询、知会表示责任角色。,<div>理解：一个活动最好有明确批准者，避免责任不清。</div><div>题干信号：负责批准咨询知会</div><div>来源：09_人力资源与沟通管理 专题包 / topic_build_full 相关小节</div>,chapter_concept,概念卡,RACI,,B,3,章节概念,人力资源与沟通管理,09,人力资源与沟通管理,T-COM-001;T-HR-001,沟通渠道计算与干系人参与管理;项目人力资源管理：组织计划、团队建设与团队管理,SRC-CH-09-003,topic_learning_packages/topics/09_人力资源与沟通管理/T-COM-001_专题学习包_沟通渠道计算与干系人参与管理.md;topic_learning_packages/topics/09_人力资源与沟通管理/T-HR-001_专题学习包_项目人力资源管理组织计划团队建设与团队管理.md,RACI,,,keep,Front 聚焦“RACI”这一章内概念，Back 一句话定边界，Extra 给出本概念的题干信号。,ruankao ruankao::build::20260520_235046 ruankao::chapter::09 ruankao::domain::人力资源与沟通管理 ruankao::type::概念卡 ruankao::importance::B ruankao::difficulty::3 ruankao::review::keep ruankao::chapter_concept,sha256:d3e91f7cf3745297a849f175
软考::系统集成项目管理工程师::09_人力资源与沟通管理::章节概念卡::09_人力资源与沟通管理_概念卡,RuankaoTopicCard,OBS是什么？,组织分解结构 OBS 按组织层级分解项目责任。,<div>理解：WBS 看成果，OBS 看组织。</div><div>题干信号：组织层级</div><div>来源：09_人力资源与沟通管理 专题包 / topic_build_full 相关小节</div>,chapter_concept,概念卡,OBS,,B,3,章节概念,人力资源与沟通管理,09,人力资源与沟通管理,T-COM-001;T-HR-001,沟通渠道计算与干系人参与管理;项目人力资源管理：组织计划、团队建设与团队管理,SRC-CH-09-004,topic_learning_packages/topics/09_人力资源与沟通管理/T-COM-001_专题学习包_沟通渠道计算与干系人参与管理.md;topic_learning_packages/topics/09_人力资源与沟通管理/T-HR-001_专题学习包_项目人力资源管理组织计划团队建设与团队管理.md,OBS,,,keep,Front 聚焦“OBS”这一章内概念，Back 一句话定边界，Extra 给出本概念的题干信号。,ruankao ruankao::build::20260520_235046 ruankao::chapter::09 ruankao::domain::人力资源与沟通管理 ruankao::type::概念卡 ruankao::importance::B ruankao::difficulty::3 ruankao::review::keep ruankao::chapter_concept,sha256:7cc70a2139c51632ffb6befb
软考::系统集成项目管理工程师::09_人力资源与沟通管理::章节概念卡::09_人力资源与沟通管理_概念卡,RuankaoTopicCard,团队建设是什么？,团队建设通过培训、规则、激励和协作提升团队绩效。,<div>理解：奖励加班不一定利于团队建设，尤其当加班源于计划不当。</div><div>题干信号：协作、绩效、规则</div><div>来源：09_人力资源与沟通管理 专题包 / topic_build_full 相关小节</div>,chapter_concept,概念卡,团队建设,,A,2,章节概念,人力资源与沟通管理,09,人力资源与沟通管理,T-COM-001;T-HR-001,沟通渠道计算与干系人参与管理;项目人力资源管理：组织计划、团队建设与团队管理,SRC-CH-09-005,topic_learning_packages/topics/09_人力资源与沟通管理/T-COM-001_专题学习包_沟通渠道计算与干系人参与管理.md;topic_learning_packages/topics/09_人力资源与沟通管理/T-HR-001_专题学习包_项目人力资源管理组织计划团队建设与团队管理.md,团队建设,,,keep,Front 聚焦“团队建设”这一章内概念，Back 一句话定边界，Extra 给出本概念的题干信号。,ruankao ruankao::build::20260520_235046 ruankao::chapter::09 ruankao::domain::人力资源与沟通管理 ruankao::type::概念卡 ruankao::importance::A ruankao::difficulty::2 ruankao::review::keep ruankao::chapter_concept,sha256:6a76771d78b64038516c4fcc
软考::系统集成项目管理工程师::09_人力资源与沟通管理::章节概念卡::09_人力资源与沟通管理_概念卡,RuankaoTopicCard,塔克曼模型是什么？,塔克曼模型描述团队形成、震荡、规范、成熟和解散的发展阶段。,<div>理解：译名有教材口径风险，完整背诵需核验。</div><div>题干信号：形成震荡规范成熟</div><div>来源：09_人力资源与沟通管理 专题包 / topic_build_full 相关小节</div>,chapter_concept,概念卡,塔克曼模型,,B,3,章节概念,人力资源与沟通管理,09,人力资源与沟通管理,T-COM-001;T-HR-001,沟通渠道计算与干系人参与管理;项目人力资源管理：组织计划、团队建设与团队管理,SRC-CH-09-006,topic_learning_packages/topics/09_人力资源与沟通管理/T-COM-001_专题学习包_沟通渠道计算与干系人参与管理.md;topic_learning_packages/topics/09_人力资源与沟通管理/T-HR-001_专题学习包_项目人力资源管理组织计划团队建设与团队管理.md,塔克曼模型,,,keep,Front 聚焦“塔克曼模型”这一章内概念，Back 一句话定边界，Extra 给出本概念的题干信号。,ruankao ruankao::build::20260520_235046 ruankao::chapter::09 ruankao::domain::人力资源与沟通管理 ruankao::type::概念卡 ruankao::importance::B ruankao::difficulty::3 ruankao::review::keep ruankao::chapter_concept,sha256:5c2c4dc8b3facb2f1484ec8a
软考::系统集成项目管理工程师::09_人力资源与沟通管理::章节概念卡::09_人力资源与沟通管理_概念卡,RuankaoTopicCard,冲突管理是什么？,冲突管理通过合作、妥协、缓和、强制、撤退等方式处理分歧。,<div>理解：问题解决/合作通常是更积极的方式。</div><div>题干信号：合作、妥协、撤退</div><div>来源：09_人力资源与沟通管理 专题包 / topic_build_full 相关小节</div>,chapter_concept,概念卡,冲突管理,,A,2,章节概念,人力资源与沟通管理,09,人力资源与沟通管理,T-COM-001;T-HR-001,沟通渠道计算与干系人参与管理;项目人力资源管理：组织计划、团队建设与团队管理,SRC-CH-09-007,topic_learning_packages/topics/09_人力资源与沟通管理/T-COM-001_专题学习包_沟通渠道计算与干系人参与管理.md;topic_learning_packages/topics/09_人力资源与沟通管理/T-HR-001_专题学习包_项目人力资源管理组织计划团队建设与团队管理.md,冲突管理,,,keep,Front 聚焦“冲突管理”这一章内概念，Back 一句话定边界，Extra 给出本概念的题干信号。,ruankao ruankao::build::20260520_235046 ruankao::chapter::09 ruankao::domain::人力资源与沟通管理 ruankao::type::概念卡 ruankao::importance::A ruankao::difficulty::2 ruankao::review::keep ruankao::chapter_concept,sha256:0bc27ede96b6642b57fe6b56
软考::系统集成项目管理工程师::09_人力资源与沟通管理::章节概念卡::09_人力资源与沟通管理_概念卡,RuankaoTopicCard,沟通渠道数是什么？,沟通渠道数表示 n 个成员之间潜在沟通路径，常用 n(n-1)/2。,<div>理解：新增人员会显著增加沟通复杂度。</div><div>题干信号：n(n-1)/2</div><div>来源：09_人力资源与沟通管理 专题包 / topic_build_full 相关小节</div>,chapter_concept,概念卡,沟通渠道数,,A,2,章节概念,人力资源与沟通管理,09,人力资源与沟通管理,T-COM-001;T-HR-001,沟通渠道计算与干系人参与管理;项目人力资源管理：组织计划、团队建设与团队管理,SRC-CH-09-008,topic_learning_packages/topics/09_人力资源与沟通管理/T-COM-001_专题学习包_沟通渠道计算与干系人参与管理.md;topic_learning_packages/topics/09_人力资源与沟通管理/T-HR-001_专题学习包_项目人力资源管理组织计划团队建设与团队管理.md,沟通渠道数,,,keep,Front 聚焦“沟通渠道数”这一章内概念，Back 一句话定边界，Extra 给出本概念的题干信号。,ruankao ruankao::build::20260520_235046 ruankao::chapter::09 ruankao::domain::人力资源与沟通管理 ruankao::type::概念卡 ruankao::importance::A ruankao::difficulty::2 ruankao::review::keep ruankao::chapter_concept,sha256:020f3321b0c58575d3f0c232
软考::系统集成项目管理工程师::09_人力资源与沟通管理::章节概念卡::09_人力资源与沟通管理_概念卡,RuankaoTopicCard,推式沟通是什么？,推式沟通把信息发送给特定接收者，但不保证对方理解。,<div>理解：邮件、备忘录常是推式。</div><div>题干信号：发送给特定对象</div><div>来源：09_人力资源与沟通管理 专题包 / topic_build_full 相关小节</div>,chapter_concept,概念卡,推式沟通,,B,3,章节概念,人力资源与沟通管理,09,人力资源与沟通管理,T-COM-001;T-HR-001,沟通渠道计算与干系人参与管理;项目人力资源管理：组织计划、团队建设与团队管理,SRC-CH-09-009,topic_learning_packages/topics/09_人力资源与沟通管理/T-COM-001_专题学习包_沟通渠道计算与干系人参与管理.md;topic_learning_packages/topics/09_人力资源与沟通管理/T-HR-001_专题学习包_项目人力资源管理组织计划团队建设与团队管理.md,推式沟通,,,keep,Front 聚焦“推式沟通”这一章内概念，Back 一句话定边界，Extra 给出本概念的题干信号。,ruankao ruankao::build::20260520_235046 ruankao::chapter::09 ruankao::domain::人力资源与沟通管理 ruankao::type::概念卡 ruankao::importance::B ruankao::difficulty::3 ruankao::review::keep ruankao::chapter_concept,sha256:e1427d9cc589d9914aa816b7
软考::系统集成项目管理工程师::09_人力资源与沟通管理::章节概念卡::09_人力资源与沟通管理_概念卡,RuankaoTopicCard,拉式沟通是什么？,拉式沟通让接收者按需获取信息，适合大量信息和大受众。,<div>理解：知识库、网站、公告库常是拉式。</div><div>题干信号：按需获取、大量信息</div><div>来源：09_人力资源与沟通管理 专题包 / topic_build_full 相关小节</div>,chapter_concept,概念卡,拉式沟通,,B,3,章节概念,人力资源与沟通管理,09,人力资源与沟通管理,T-COM-001;T-HR-001,沟通渠道计算与干系人参与管理;项目人力资源管理：组织计划、团队建设与团队管理,SRC-CH-09-010,topic_learning_packages/topics/09_人力资源与沟通管理/T-COM-001_专题学习包_沟通渠道计算与干系人参与管理.md;topic_learning_packages/topics/09_人力资源与沟通管理/T-HR-001_专题学习包_项目人力资源管理组织计划团队建设与团队管理.md,拉式沟通,,,keep,Front 聚焦“拉式沟通”这一章内概念，Back 一句话定边界，Extra 给出本概念的题干信号。,ruankao ruankao::build::20260520_235046 ruankao::chapter::09 ruankao::domain::人力资源与沟通管理 ruankao::type::概念卡 ruankao::importance::B ruankao::difficulty::3 ruankao::review::keep ruankao::chapter_concept,sha256:6bbc159ecf6e04d5cabe1cad
