deck,note_type,front,back,extra,card_family,card_type,concept_name,concept_aliases,importance,difficulty,exam_use,knowledge_domain,chapter_id,chapter_name,source_topic_ids,source_topic_names,source_ids,source_file,source_heading,related_question_ids,related_topic_ids,manual_review_status,manual_review_note,tags,checksum
软考::系统集成项目管理工程师::待核验与复查,RuankaoTopicCard,信息化与信息系统中哪些概念不应直接按数字或版本背诵？,涉及法规数字、标准编号、过程名称版本差异或教材译名的内容，应先核验教材或现行法规。,<div>理解：这类卡只提醒隔离风险，不把不稳定数字塞进主复习。</div><div>来源：pending_verification_register.md</div>,chapter_concept,待核验卡,教材口径待核验项,,C,3,待核验,信息化与信息系统,01,信息化与信息系统,T-INFO-001,信息化、信息系统生命周期与系统集成基础,SRC-PV-01,topic_learning_packages/reports/pending_verification_register.md,相关 PV 条目,,,needs_human_review,涉及法规、标准或教材口径差异，方向可复习但具体数字和版本必须人工核验。,ruankao ruankao::build::20260520_235046 ruankao::chapter::01 ruankao::domain::信息化与信息系统 ruankao::type::待核验卡 ruankao::importance::C ruankao::difficulty::3 ruankao::review::needs_human_review ruankao::chapter_concept ruankao::needs_review ruankao::not_for_main_review,sha256:ca81654770918f1ea8f0f67e
软考::系统集成项目管理工程师::待核验与复查,RuankaoTopicCard,项目管理基础中哪些概念不应直接按数字或版本背诵？,涉及法规数字、标准编号、过程名称版本差异或教材译名的内容，应先核验教材或现行法规。,<div>理解：这类卡只提醒隔离风险，不把不稳定数字塞进主复习。</div><div>来源：pending_verification_register.md</div>,chapter_concept,待核验卡,教材口径待核验项,,C,3,待核验,项目管理基础,02,项目管理基础,T-PM-002,五大过程组、十大知识域与 PDCA,SRC-PV-02,topic_learning_packages/reports/pending_verification_register.md,相关 PV 条目,,,needs_human_review,涉及法规、标准或教材口径差异，方向可复习但具体数字和版本必须人工核验。,ruankao ruankao::build::20260520_235046 ruankao::chapter::02 ruankao::domain::项目管理基础 ruankao::type::待核验卡 ruankao::importance::C ruankao::difficulty::3 ruankao::review::needs_human_review ruankao::chapter_concept ruankao::needs_review ruankao::not_for_main_review,sha256:edbf0d51b1060ff6beadfecb
软考::系统集成项目管理工程师::待核验与复查,RuankaoTopicCard,三级可研常见误差范围是什么？,needs_human_review：常见说法是机会研究、初步可研、详细可研的估算误差逐级变小。,<div>人工核验点：具体 ±30%、±20%、±10% 数字需核对教材版本。</div><div>来源：T-FEA-001 专题包；pending verification PV-014。</div>,chapter_concept,待核验卡,三级可研误差范围,可研误差范围,B,4,章节概念,立项管理,03,立项管理,T-FEA-001,立项管理：项目建议书、可行性研究与项目论证,SRC-FEA-TOPIC-004;SRC-FEA-PV-001,topic_learning_packages/topics/03_立项管理/T-FEA-001_专题学习包_立项管理项目建议书可行性研究与项目论证.md,机会研究、初步可研与详细可研,,,needs_human_review,方向稳定但数字待核验，必须隔离。,ruankao ruankao::build::20260520_235046 ruankao::family::chapter_concept ruankao::chapter::03 ruankao::domain::立项管理 ruankao::type::待核验卡 ruankao::concept::三级可研误差范围 ruankao::review::needs_human_review ruankao::needs_review ruankao::not_for_main_review,sha256:7a83ba36e9c6d94a12824483
软考::系统集成项目管理工程师::待核验与复查,RuankaoTopicCard,投资概算超出可研批复额度的重报数字是多少？,needs_human_review：教程 OCR 出现 10% 口径，但属于法规数字，导入主卡前需核对教材原文或现行规定。,<div>稳定方向：重大变更或超出已批复投资控制指标时，不能自行推进，应按规定重新报批。</div><div>来源：tutorial 5.3；Q31。</div>,chapter_concept,待核验卡,投资概算超额重报数字,10%重报规则,B,4,章节概念,立项管理,03,立项管理,T-FEA-001,立项管理：项目建议书、可行性研究与项目论证,SRC-FEA-TUTOR-007;SRC-FEA-Q-031,tutorial.full.clean.md;questions.full.clean.md,5.3 项目审批 / Q31,,,needs_human_review,涉及法规数字和 OCR，明确不进主复习。,ruankao ruankao::build::20260520_235046 ruankao::family::chapter_concept ruankao::chapter::03 ruankao::domain::立项管理 ruankao::type::待核验卡 ruankao::concept::投资概算超额重报数字 ruankao::review::needs_human_review ruankao::needs_review ruankao::not_for_main_review,sha256:87577c708101f86f1661206c
软考::系统集成项目管理工程师::待核验与复查,RuankaoTopicCard,项目建议书核心内容是否包含风险因素及对策？,needs_human_review：不能直接下结论；真题曾把它作为不属于核心内容的选项，但教程提纲又出现风险对策章节。,<div>人工核验点：可能是“核心内容”和“扩充提纲”的语境差异，需要回查原题和教材。</div><div>来源：Q32；tutorial 5.1.1。</div>,chapter_concept,待核验卡,项目建议书核心内容风险对策,项目建议书风险因素,B,4,章节概念,立项管理,03,立项管理,T-FEA-001,立项管理：项目建议书、可行性研究与项目论证,SRC-FEA-Q-032-CONFLICT;SRC-FEA-TUTOR-001,questions.full.clean.md;tutorial.full.clean.md,项目建议书核心内容题 / 5.1.1,,,needs_human_review,材料冲突，不能做成确定背诵卡。,ruankao ruankao::build::20260520_235046 ruankao::family::chapter_concept ruankao::chapter::03 ruankao::domain::立项管理 ruankao::type::待核验卡 ruankao::concept::项目建议书核心内容风险对策 ruankao::review::needs_human_review ruankao::needs_review ruankao::not_for_main_review,sha256:3cd7af526ad455210a4317d9
软考::系统集成项目管理工程师::待核验与复查,RuankaoTopicCard,进度管理中哪些概念不应直接按数字或版本背诵？,涉及法规数字、标准编号、过程名称版本差异或教材译名的内容，应先核验教材或现行法规。,<div>理解：这类卡只提醒隔离风险，不把不稳定数字塞进主复习。</div><div>来源：pending_verification_register.md</div>,chapter_concept,待核验卡,教材口径待核验项,,C,3,待核验,进度管理,06,进度管理,T-SCH-002;T-SCH-003,活动排序、依赖关系、PDM/AOA 与提前滞后量;关键路径、总时差、自由时差与网络图判断,SRC-PV-06,topic_learning_packages/reports/pending_verification_register.md,相关 PV 条目,,,needs_human_review,涉及法规、标准或教材口径差异，方向可复习但具体数字和版本必须人工核验。,ruankao ruankao::build::20260520_235046 ruankao::chapter::06 ruankao::domain::进度管理 ruankao::type::待核验卡 ruankao::importance::C ruankao::difficulty::3 ruankao::review::needs_human_review ruankao::chapter_concept ruankao::needs_review ruankao::not_for_main_review,sha256:6db1cfdb52305435fceaedea
软考::系统集成项目管理工程师::待核验与复查,RuankaoTopicCard,质量管理中哪些概念不应直接按数字或版本背诵？,涉及法规数字、标准编号、过程名称版本差异或教材译名的内容，应先核验教材或现行法规。,<div>理解：这类卡只提醒隔离风险，不把不稳定数字塞进主复习。</div><div>来源：pending_verification_register.md</div>,chapter_concept,待核验卡,教材口径待核验项,,C,3,待核验,质量管理,08,质量管理,T-QUAL-001;T-QUAL-002;T-QUAL-003,质量保证、质量控制与质量审计;质量管理七工具、新七工具与质量问题分析;质量问题案例模板：缺陷、测试、验收与纠偏,SRC-PV-08,topic_learning_packages/reports/pending_verification_register.md,相关 PV 条目,,,needs_human_review,涉及法规、标准或教材口径差异，方向可复习但具体数字和版本必须人工核验。,ruankao ruankao::build::20260520_235046 ruankao::chapter::08 ruankao::domain::质量管理 ruankao::type::待核验卡 ruankao::importance::C ruankao::difficulty::3 ruankao::review::needs_human_review ruankao::chapter_concept ruankao::needs_review ruankao::not_for_main_review,sha256:21b6d21785e7c18f9f1d2bf4
软考::系统集成项目管理工程师::待核验与复查,RuankaoTopicCard,人力资源与沟通管理中哪些概念不应直接按数字或版本背诵？,涉及法规数字、标准编号、过程名称版本差异或教材译名的内容，应先核验教材或现行法规。,<div>理解：这类卡只提醒隔离风险，不把不稳定数字塞进主复习。</div><div>来源：pending_verification_register.md</div>,chapter_concept,待核验卡,教材口径待核验项,,C,3,待核验,人力资源与沟通管理,09,人力资源与沟通管理,T-COM-001;T-HR-001,沟通渠道计算与干系人参与管理;项目人力资源管理：组织计划、团队建设与团队管理,SRC-PV-09,topic_learning_packages/reports/pending_verification_register.md,相关 PV 条目,,,needs_human_review,涉及法规、标准或教材口径差异，方向可复习但具体数字和版本必须人工核验。,ruankao ruankao::build::20260520_235046 ruankao::chapter::09 ruankao::domain::人力资源与沟通管理 ruankao::type::待核验卡 ruankao::importance::C ruankao::difficulty::3 ruankao::review::needs_human_review ruankao::chapter_concept ruankao::needs_review ruankao::not_for_main_review,sha256:277b2f8b3d121fea428cb0b7
软考::系统集成项目管理工程师::待核验与复查,RuankaoTopicCard,采购与合同管理中哪些概念不应直接按数字或版本背诵？,涉及法规数字、标准编号、过程名称版本差异或教材译名的内容，应先核验教材或现行法规。,<div>理解：这类卡只提醒隔离风险，不把不稳定数字塞进主复习。</div><div>来源：pending_verification_register.md</div>,chapter_concept,待核验卡,教材口径待核验项,,C,3,待核验,采购与合同管理,11,采购与合同管理,T-PROC-001;T-PROC-002,合同类型、风险分配与采购决策;招投标、政府采购与采购流程管理,SRC-PV-11,topic_learning_packages/reports/pending_verification_register.md,相关 PV 条目,,,needs_human_review,涉及法规、标准或教材口径差异，方向可复习但具体数字和版本必须人工核验。,ruankao ruankao::build::20260520_235046 ruankao::chapter::11 ruankao::domain::采购与合同管理 ruankao::type::待核验卡 ruankao::importance::C ruankao::difficulty::3 ruankao::review::needs_human_review ruankao::chapter_concept ruankao::needs_review ruankao::not_for_main_review,sha256:a485680e66917df19d82661e
软考::系统集成项目管理工程师::待核验与复查,RuankaoTopicCard,配置变更知识产权与法律法规中哪些概念不应直接按数字或版本背诵？,涉及法规数字、标准编号、过程名称版本差异或教材译名的内容，应先核验教材或现行法规。,<div>理解：这类卡只提醒隔离风险，不把不稳定数字塞进主复习。</div><div>来源：pending_verification_register.md</div>,chapter_concept,待核验卡,教材口径待核验项,,C,3,待核验,配置变更知识产权与法律法规,12,配置变更知识产权与法律法规,T-CFG-001;T-LAW-001,配置管理：配置项、基线、配置库与版本控制;法律法规基础、合同法、招投标法与政府采购法考点,SRC-PV-12,topic_learning_packages/reports/pending_verification_register.md,相关 PV 条目,,,needs_human_review,涉及法规、标准或教材口径差异，方向可复习但具体数字和版本必须人工核验。,ruankao ruankao::build::20260520_235046 ruankao::chapter::12 ruankao::domain::配置变更知识产权与法律法规 ruankao::type::待核验卡 ruankao::importance::C ruankao::difficulty::3 ruankao::review::needs_human_review ruankao::chapter_concept ruankao::needs_review ruankao::not_for_main_review,sha256:cb6599e447d86c72958f13b4
