deck,note_type,front,back,extra,card_family,card_type,concept_name,concept_aliases,importance,difficulty,exam_use,knowledge_domain,chapter_id,chapter_name,source_topic_ids,source_topic_names,source_ids,source_file,source_heading,related_question_ids,related_topic_ids,manual_review_status,manual_review_note,tags,checksum
软考::系统集成项目管理工程师::08_质量管理::章节概念卡::08_质量管理_概念卡,RuankaoTopicCard,质量是什么？,质量是满足要求和适用性的程度。,<div>理解：质量高不等于等级高，低等级产品也可以高质量。</div><div>题干信号：满足要求、适用性</div><div>来源：08_质量管理 专题包 / topic_build_full 相关小节</div>,chapter_concept,概念卡,质量,,A,2,章节概念,质量管理,08,质量管理,T-QUAL-001;T-QUAL-002;T-QUAL-003,质量保证、质量控制与质量审计;质量管理七工具、新七工具与质量问题分析;质量问题案例模板：缺陷、测试、验收与纠偏,SRC-CH-08-001,topic_learning_packages/topics/08_质量管理/T-QUAL-001_专题学习包_质量保证质量控制与质量审计.md;topic_learning_packages/topics/08_质量管理/T-QUAL-002_专题学习包_质量管理七工具新七工具与质量问题分析.md;topic_learning_packages/topics/08_质量管理/T-QUAL-003_专题学习包_质量问题案例模板缺陷测试验收与纠偏.md,质量,,,keep,Front 聚焦“质量”这一章内概念，Back 一句话定边界，Extra 给出本概念的题干信号。,ruankao ruankao::build::20260520_235046 ruankao::chapter::08 ruankao::domain::质量管理 ruankao::type::概念卡 ruankao::importance::A ruankao::difficulty::2 ruankao::review::keep ruankao::chapter_concept,sha256:be343fa2b08d750e2217317f
软考::系统集成项目管理工程师::08_质量管理::章节概念卡::08_质量管理_概念卡,RuankaoTopicCard,等级是什么？,等级是具有相同功能用途但技术特性不同的分类。,<div>理解：质量差是问题，等级低未必是问题。</div><div>题干信号：功能用途相同、技术特性不同</div><div>来源：08_质量管理 专题包 / topic_build_full 相关小节</div>,chapter_concept,概念卡,等级,,A,2,章节概念,质量管理,08,质量管理,T-QUAL-001;T-QUAL-002;T-QUAL-003,质量保证、质量控制与质量审计;质量管理七工具、新七工具与质量问题分析;质量问题案例模板：缺陷、测试、验收与纠偏,SRC-CH-08-002,topic_learning_packages/topics/08_质量管理/T-QUAL-001_专题学习包_质量保证质量控制与质量审计.md;topic_learning_packages/topics/08_质量管理/T-QUAL-002_专题学习包_质量管理七工具新七工具与质量问题分析.md;topic_learning_packages/topics/08_质量管理/T-QUAL-003_专题学习包_质量问题案例模板缺陷测试验收与纠偏.md,等级,,,keep,Front 聚焦“等级”这一章内概念，Back 一句话定边界，Extra 给出本概念的题干信号。,ruankao ruankao::build::20260520_235046 ruankao::chapter::08 ruankao::domain::质量管理 ruankao::type::概念卡 ruankao::importance::A ruankao::difficulty::2 ruankao::review::keep ruankao::chapter_concept,sha256:ae21c6c4d8fd472bfb606c5c
软考::系统集成项目管理工程师::08_质量管理::章节概念卡::08_质量管理_概念卡,RuankaoTopicCard,质量保证 QA是什么？,质量保证关注过程是否有效，强调预防和过程改进。,<div>理解：题干出现过程审查、质量审计，更接近 QA。</div><div>题干信号：过程、预防、审计</div><div>来源：08_质量管理 专题包 / topic_build_full 相关小节</div>,chapter_concept,概念卡,质量保证 QA,,A,2,章节概念,质量管理,08,质量管理,T-QUAL-001;T-QUAL-002;T-QUAL-003,质量保证、质量控制与质量审计;质量管理七工具、新七工具与质量问题分析;质量问题案例模板：缺陷、测试、验收与纠偏,SRC-CH-08-003,topic_learning_packages/topics/08_质量管理/T-QUAL-001_专题学习包_质量保证质量控制与质量审计.md;topic_learning_packages/topics/08_质量管理/T-QUAL-002_专题学习包_质量管理七工具新七工具与质量问题分析.md;topic_learning_packages/topics/08_质量管理/T-QUAL-003_专题学习包_质量问题案例模板缺陷测试验收与纠偏.md,质量保证 QA,,,keep,Front 聚焦“质量保证 QA”这一章内概念，Back 一句话定边界，Extra 给出本概念的题干信号。,ruankao ruankao::build::20260520_235046 ruankao::chapter::08 ruankao::domain::质量管理 ruankao::type::概念卡 ruankao::importance::A ruankao::difficulty::2 ruankao::review::keep ruankao::chapter_concept,sha256:c19f8cd547b2c5b7f0aba226
软考::系统集成项目管理工程师::08_质量管理::章节概念卡::08_质量管理_概念卡,RuankaoTopicCard,质量控制 QC是什么？,质量控制关注可交付成果是否符合质量要求，强调检查和缺陷发现。,<div>理解：题干出现测试、检查、缺陷，更接近 QC。</div><div>题干信号：结果、检查、缺陷</div><div>来源：08_质量管理 专题包 / topic_build_full 相关小节</div>,chapter_concept,概念卡,质量控制 QC,,A,2,章节概念,质量管理,08,质量管理,T-QUAL-001;T-QUAL-002;T-QUAL-003,质量保证、质量控制与质量审计;质量管理七工具、新七工具与质量问题分析;质量问题案例模板：缺陷、测试、验收与纠偏,SRC-CH-08-004,topic_learning_packages/topics/08_质量管理/T-QUAL-001_专题学习包_质量保证质量控制与质量审计.md;topic_learning_packages/topics/08_质量管理/T-QUAL-002_专题学习包_质量管理七工具新七工具与质量问题分析.md;topic_learning_packages/topics/08_质量管理/T-QUAL-003_专题学习包_质量问题案例模板缺陷测试验收与纠偏.md,质量控制 QC,,,keep,Front 聚焦“质量控制 QC”这一章内概念，Back 一句话定边界，Extra 给出本概念的题干信号。,ruankao ruankao::build::20260520_235046 ruankao::chapter::08 ruankao::domain::质量管理 ruankao::type::概念卡 ruankao::importance::A ruankao::difficulty::2 ruankao::review::keep ruankao::chapter_concept,sha256:3c10cd684ab5ca884dc0517d
软考::系统集成项目管理工程师::08_质量管理::章节概念卡::08_质量管理_概念卡,RuankaoTopicCard,质量审计是什么？,质量审计是结构化、独立的过程检查，用于确认质量活动是否符合政策和程序。,<div>理解：质量审计通常是 QA 的工具。</div><div>题干信号：独立审查、过程符合性</div><div>来源：08_质量管理 专题包 / topic_build_full 相关小节</div>,chapter_concept,概念卡,质量审计,,A,2,章节概念,质量管理,08,质量管理,T-QUAL-001;T-QUAL-002;T-QUAL-003,质量保证、质量控制与质量审计;质量管理七工具、新七工具与质量问题分析;质量问题案例模板：缺陷、测试、验收与纠偏,SRC-CH-08-005,topic_learning_packages/topics/08_质量管理/T-QUAL-001_专题学习包_质量保证质量控制与质量审计.md;topic_learning_packages/topics/08_质量管理/T-QUAL-002_专题学习包_质量管理七工具新七工具与质量问题分析.md;topic_learning_packages/topics/08_质量管理/T-QUAL-003_专题学习包_质量问题案例模板缺陷测试验收与纠偏.md,质量审计,,,keep,Front 聚焦“质量审计”这一章内概念，Back 一句话定边界，Extra 给出本概念的题干信号。,ruankao ruankao::build::20260520_235046 ruankao::chapter::08 ruankao::domain::质量管理 ruankao::type::概念卡 ruankao::importance::A ruankao::difficulty::2 ruankao::review::keep ruankao::chapter_concept,sha256:759fe2b882ad146dd5f83302
软考::系统集成项目管理工程师::08_质量管理::章节概念卡::08_质量管理_概念卡,RuankaoTopicCard,因果图是什么？,因果图用于分析问题可能原因，常按人机料法环等分类。,<div>理解：题干问“找原因、分析根因”，优先想到鱼骨图。</div><div>题干信号：原因分析、鱼骨图</div><div>来源：08_质量管理 专题包 / topic_build_full 相关小节</div>,chapter_concept,概念卡,因果图,,A,2,章节概念,质量管理,08,质量管理,T-QUAL-001;T-QUAL-002;T-QUAL-003,质量保证、质量控制与质量审计;质量管理七工具、新七工具与质量问题分析;质量问题案例模板：缺陷、测试、验收与纠偏,SRC-CH-08-006,topic_learning_packages/topics/08_质量管理/T-QUAL-001_专题学习包_质量保证质量控制与质量审计.md;topic_learning_packages/topics/08_质量管理/T-QUAL-002_专题学习包_质量管理七工具新七工具与质量问题分析.md;topic_learning_packages/topics/08_质量管理/T-QUAL-003_专题学习包_质量问题案例模板缺陷测试验收与纠偏.md,因果图,,,keep,Front 聚焦“因果图”这一章内概念，Back 一句话定边界，Extra 给出本概念的题干信号。,ruankao ruankao::build::20260520_235046 ruankao::chapter::08 ruankao::domain::质量管理 ruankao::type::概念卡 ruankao::importance::A ruankao::difficulty::2 ruankao::review::keep ruankao::chapter_concept,sha256:00bb6d571447d7ebfafb1b4c
软考::系统集成项目管理工程师::08_质量管理::章节概念卡::08_质量管理_概念卡,RuankaoTopicCard,帕累托图是什么？,帕累托图用于识别造成多数问题的少数关键原因。,<div>理解：题干出现 80/20、优先处理主要问题，想到帕累托。</div><div>题干信号：80/20、关键少数</div><div>来源：08_质量管理 专题包 / topic_build_full 相关小节</div>,chapter_concept,概念卡,帕累托图,,A,2,章节概念,质量管理,08,质量管理,T-QUAL-001;T-QUAL-002;T-QUAL-003,质量保证、质量控制与质量审计;质量管理七工具、新七工具与质量问题分析;质量问题案例模板：缺陷、测试、验收与纠偏,SRC-CH-08-007,topic_learning_packages/topics/08_质量管理/T-QUAL-001_专题学习包_质量保证质量控制与质量审计.md;topic_learning_packages/topics/08_质量管理/T-QUAL-002_专题学习包_质量管理七工具新七工具与质量问题分析.md;topic_learning_packages/topics/08_质量管理/T-QUAL-003_专题学习包_质量问题案例模板缺陷测试验收与纠偏.md,帕累托图,,,keep,Front 聚焦“帕累托图”这一章内概念，Back 一句话定边界，Extra 给出本概念的题干信号。,ruankao ruankao::build::20260520_235046 ruankao::chapter::08 ruankao::domain::质量管理 ruankao::type::概念卡 ruankao::importance::A ruankao::difficulty::2 ruankao::review::keep ruankao::chapter_concept,sha256:9d90308c5a314fec80ad402b
软考::系统集成项目管理工程师::08_质量管理::章节概念卡::08_质量管理_概念卡,RuankaoTopicCard,控制图是什么？,控制图用于判断过程是否稳定、是否受异常原因影响。,<div>理解：题干出现控制上限/下限、过程稳定性，想到控制图。</div><div>题干信号：UCL LCL、稳定性</div><div>来源：08_质量管理 专题包 / topic_build_full 相关小节</div>,chapter_concept,概念卡,控制图,,B,3,章节概念,质量管理,08,质量管理,T-QUAL-001;T-QUAL-002;T-QUAL-003,质量保证、质量控制与质量审计;质量管理七工具、新七工具与质量问题分析;质量问题案例模板：缺陷、测试、验收与纠偏,SRC-CH-08-008,topic_learning_packages/topics/08_质量管理/T-QUAL-001_专题学习包_质量保证质量控制与质量审计.md;topic_learning_packages/topics/08_质量管理/T-QUAL-002_专题学习包_质量管理七工具新七工具与质量问题分析.md;topic_learning_packages/topics/08_质量管理/T-QUAL-003_专题学习包_质量问题案例模板缺陷测试验收与纠偏.md,控制图,,,keep,Front 聚焦“控制图”这一章内概念，Back 一句话定边界，Extra 给出本概念的题干信号。,ruankao ruankao::build::20260520_235046 ruankao::chapter::08 ruankao::domain::质量管理 ruankao::type::概念卡 ruankao::importance::B ruankao::difficulty::3 ruankao::review::keep ruankao::chapter_concept,sha256:3d47c1e21bd6a708f8a91251
软考::系统集成项目管理工程师::08_质量管理::章节概念卡::08_质量管理_概念卡,RuankaoTopicCard,检查表是什么？,检查表用于结构化收集和记录数据。,<div>理解：它不是检查清单的同义词，但考试常考“收集缺陷数据”。</div><div>题干信号：记录数据、核查表</div><div>来源：08_质量管理 专题包 / topic_build_full 相关小节</div>,chapter_concept,概念卡,检查表,,B,3,章节概念,质量管理,08,质量管理,T-QUAL-001;T-QUAL-002;T-QUAL-003,质量保证、质量控制与质量审计;质量管理七工具、新七工具与质量问题分析;质量问题案例模板：缺陷、测试、验收与纠偏,SRC-CH-08-009,topic_learning_packages/topics/08_质量管理/T-QUAL-001_专题学习包_质量保证质量控制与质量审计.md;topic_learning_packages/topics/08_质量管理/T-QUAL-002_专题学习包_质量管理七工具新七工具与质量问题分析.md;topic_learning_packages/topics/08_质量管理/T-QUAL-003_专题学习包_质量问题案例模板缺陷测试验收与纠偏.md,检查表,,,keep,Front 聚焦“检查表”这一章内概念，Back 一句话定边界，Extra 给出本概念的题干信号。,ruankao ruankao::build::20260520_235046 ruankao::chapter::08 ruankao::domain::质量管理 ruankao::type::概念卡 ruankao::importance::B ruankao::difficulty::3 ruankao::review::keep ruankao::chapter_concept,sha256:db6f5616243d1b27b0b8d9eb
软考::系统集成项目管理工程师::08_质量管理::章节概念卡::08_质量管理_概念卡,RuankaoTopicCard,散点图是什么？,散点图用于观察两个变量之间是否存在相关关系。,<div>理解：题干出现两个变量关系，优先想到散点图。</div><div>题干信号：相关关系、两个变量</div><div>来源：08_质量管理 专题包 / topic_build_full 相关小节</div>,chapter_concept,概念卡,散点图,,B,3,章节概念,质量管理,08,质量管理,T-QUAL-001;T-QUAL-002;T-QUAL-003,质量保证、质量控制与质量审计;质量管理七工具、新七工具与质量问题分析;质量问题案例模板：缺陷、测试、验收与纠偏,SRC-CH-08-010,topic_learning_packages/topics/08_质量管理/T-QUAL-001_专题学习包_质量保证质量控制与质量审计.md;topic_learning_packages/topics/08_质量管理/T-QUAL-002_专题学习包_质量管理七工具新七工具与质量问题分析.md;topic_learning_packages/topics/08_质量管理/T-QUAL-003_专题学习包_质量问题案例模板缺陷测试验收与纠偏.md,散点图,,,keep,Front 聚焦“散点图”这一章内概念，Back 一句话定边界，Extra 给出本概念的题干信号。,ruankao ruankao::build::20260520_235046 ruankao::chapter::08 ruankao::domain::质量管理 ruankao::type::概念卡 ruankao::importance::B ruankao::difficulty::3 ruankao::review::keep ruankao::chapter_concept,sha256:9fbb08f01773ada433585133
