deck,note_type,front,back,extra,card_family,card_type,concept_name,concept_aliases,importance,difficulty,exam_use,knowledge_domain,chapter_id,chapter_name,source_topic_ids,source_topic_names,source_ids,source_file,source_heading,related_question_ids,related_topic_ids,manual_review_status,manual_review_note,tags,checksum
软考::系统集成项目管理工程师::03_立项管理::专题问答卡::T-FEA-001_立项管理_项目建议书_可行性研究与项目论证,RuankaoTopicCard,项目建议书在立项管理中的核心作用是什么？,提出拟建项目的总体设想和立项申请，为主管部门选择项目、开展后续可行性研究提供依据。,<div>理解：它回答“为什么要提出这个项目、大致要做什么”，还没有进入正式项目执行。</div><div>易错点：项目建议书不是项目章程；章程才是正式批准项目存在并授权项目经理。</div><div>题干信号：立项申请、总体设想、报送主管部门、可研依据。</div><div>关联：T-INT-002 项目章程。</div><div>来源：SRC-FEA-TUTOR-001。</div>,topic_qa,概念卡,,,A,2,上午选择,立项管理,03,立项管理,T-FEA-001,立项管理：项目建议书、可行性研究与项目论证,SRC-FEA-TUTOR-001,tutorial.full.clean.md,5.1.1 项目建议书,,T-INT-002,keep,Front 明确问作用，Back 短，Extra 只补阶段边界。,ruankao ruankao::build::20260520_235046 ruankao::topic ruankao::topic::T-FEA-001 ruankao::domain::立项管理 ruankao::type::概念卡 ruankao::importance::A ruankao::difficulty::2 ruankao::review::keep ruankao::family::topic_qa ruankao::chapter::03,sha256:3dbb3fec99c8570715078979
软考::系统集成项目管理工程师::03_立项管理::专题问答卡::T-FEA-001_立项管理_项目建议书_可行性研究与项目论证,RuankaoTopicCard,项目建议书 vs 项目章程的核心区别是什么？,项目建议书偏立项前申请和总体设想；项目章程偏正式批准项目存在，并授权项目经理使用组织资源。,<div>记忆线索：建议书是“要不要立项”；章程是“项目已被授权”。</div><div>易错点：看到“项目经理授权、正式启动项目”，不要选项目建议书。</div><div>关联：T-FEA-001；T-INT-002。</div><div>来源：SRC-FEA-TUTOR-001。</div>,topic_qa,辨析卡,,,A,2,跨域辨析,立项管理,03,立项管理,T-FEA-001,立项管理：项目建议书、可行性研究与项目论证,SRC-FEA-TUTOR-001;SRC-FEA-IDX-001,tutorial.full.clean.md,5.1.1 项目建议书,,T-INT-002,keep,跨专题边界清楚，和作用卡不是同义重复。,ruankao ruankao::build::20260520_235046 ruankao::topic ruankao::topic::T-FEA-001 ruankao::domain::立项管理 ruankao::type::辨析卡 ruankao::importance::A ruankao::difficulty::2 ruankao::review::keep ruankao::family::topic_qa ruankao::chapter::03,sha256:15b21b7c5167efbbd2367f23
软考::系统集成项目管理工程师::03_立项管理::专题问答卡::T-FEA-001_立项管理_项目建议书_可行性研究与项目论证,RuankaoTopicCard,项目建议书获批后，通常进入哪类工作？,进入项目可行性研究，进一步论证项目是否值得做、能不能做、风险是否可接受。,<div>理解：建议书只是总体设想，可研才展开技术、财务、组织、社会和风险等论证。</div><div>易错点：不要跳到项目管理计划；计划是项目被批准后的执行管理文件。</div><div>题干信号：建议书通过批复、后续分析、是否可行。</div><div>来源：SRC-FEA-TUTOR-002。</div>,topic_qa,流程卡,,,A,2,上午选择,立项管理,03,立项管理,T-FEA-001,立项管理：项目建议书、可行性研究与项目论证,SRC-FEA-TUTOR-001;SRC-FEA-TUTOR-002,tutorial.full.clean.md,5.1.2 项目建议书的编写、申报和审批,,,keep,只考相邻流程关系，适合选择题。,ruankao ruankao::build::20260520_235046 ruankao::topic ruankao::topic::T-FEA-001 ruankao::domain::立项管理 ruankao::type::流程卡 ruankao::importance::A ruankao::difficulty::2 ruankao::review::keep ruankao::family::topic_qa ruankao::chapter::03,sha256:541d9aafd328ba9b400c735c
软考::系统集成项目管理工程师::03_立项管理::专题问答卡::T-FEA-001_立项管理_项目建议书_可行性研究与项目论证,RuankaoTopicCard,项目建议书阶段为什么也可能组织需求分析？,为了形成需求分析报告，作为编制项目建议书和审批咨询意见的参考。,<div>理解：这里的需求分析是立项前的依据收集，不等同于后续完整需求规格说明。</div><div>易错点：不要因为出现“需求分析”就直接判定项目已经进入开发或范围管理阶段。</div><div>来源：SRC-FEA-TUTOR-002。</div>,topic_qa,概念卡,,,B,2,上午选择,立项管理,03,立项管理,T-FEA-001,立项管理：项目建议书、可行性研究与项目论证,SRC-FEA-TUTOR-002,tutorial.full.clean.md,5.1.2 项目建议书的编写、申报和审批,,,keep,解释立项前需求分析的特殊位置。,ruankao ruankao::build::20260520_235046 ruankao::topic ruankao::topic::T-FEA-001 ruankao::domain::立项管理 ruankao::type::概念卡 ruankao::importance::B ruankao::difficulty::2 ruankao::review::keep ruankao::family::topic_qa ruankao::chapter::03,sha256:57249728d09273c961f423ff
软考::系统集成项目管理工程师::03_立项管理::专题问答卡::T-FEA-001_立项管理_项目建议书_可行性研究与项目论证,RuankaoTopicCard,可行性研究在立项管理中解决什么问题？,综合分析拟建项目的必要性、可行性、合理性和风险，为立项或投资决策提供依据。,<div>理解：可研不是“写一份能过会的材料”，而是提前判断项目值不值得做、条件是否支持。</div><div>题干信号：是否可行、是否值得投资、方案比较、效益分析、风险对策。</div><div>来源：SRC-FEA-TUTOR-003。</div>,topic_qa,概念卡,,,A,2,上午选择,立项管理,03,立项管理,T-FEA-001,立项管理：项目建议书、可行性研究与项目论证,SRC-FEA-TUTOR-003,tutorial.full.clean.md,5.2.1 项目可行性研究内容,,,keep,中心概念卡，Back 稳定且短。,ruankao ruankao::build::20260520_235046 ruankao::topic ruankao::topic::T-FEA-001 ruankao::domain::立项管理 ruankao::type::概念卡 ruankao::importance::A ruankao::difficulty::2 ruankao::review::keep ruankao::family::topic_qa ruankao::chapter::03,sha256:5e61a256cb82847082630b9e
软考::系统集成项目管理工程师::03_立项管理::专题问答卡::T-FEA-001_立项管理_项目建议书_可行性研究与项目论证,RuankaoTopicCard,教程口径下，可行性研究通常要覆盖哪七类内容？,投资必要性、技术可行性、财务可行性、组织可行性、经济可行性、社会可行性、风险因素及对策。,<div>记忆线索：必要性先问“该不该做”；技术/财务/组织/经济/社会问“能不能支撑”；风险问“出问题怎么办”。</div><div>易错点：不要把可研缩成单纯技术评审。</div><div>来源：SRC-FEA-TUTOR-003。</div>,topic_qa,关键词识别卡,,,A,3,上午选择,立项管理,03,立项管理,T-FEA-001,立项管理：项目建议书、可行性研究与项目论证,SRC-FEA-TUTOR-003,tutorial.full.clean.md,5.2.1 项目可行性研究内容,,,keep,小型枚举但为教程明确考点，Extra 分组减负。,ruankao ruankao::build::20260520_235046 ruankao::topic ruankao::topic::T-FEA-001 ruankao::domain::立项管理 ruankao::type::关键词识别卡 ruankao::importance::A ruankao::difficulty::3 ruankao::review::keep ruankao::family::topic_qa ruankao::chapter::03,sha256:5e909f27fbb8d8d626996639
软考::系统集成项目管理工程师::03_立项管理::专题问答卡::T-FEA-001_立项管理_项目建议书_可行性研究与项目论证,RuankaoTopicCard,题干出现哪些信号时，应优先想到技术可行性？,新技术、技术方案成熟度、团队技术能力、关键资源、系统性能或兼容性风险。,<div>例子：WiMAX 案例中“新技术、团队缺少经验、覆盖盲区、断网”都指向技术可行性不足。</div><div>易错点：技术演示效果好，不等于技术可行性已经充分论证。</div><div>来源：SRC-FEA-TUTOR-003；SRC-FEA-Q-CASE-001。</div>,topic_qa,关键词识别卡,,,A,2,案例分析,立项管理,03,立项管理,T-FEA-001,立项管理：项目建议书、可行性研究与项目论证,SRC-FEA-TUTOR-003;SRC-FEA-Q-CASE-001,tutorial.full.clean.md;questions.full.clean.md,5.2.1 技术可行性 / WiMAX 案例,,,keep,把抽象分类落到案例信号上。,ruankao ruankao::build::20260520_235046 ruankao::topic ruankao::topic::T-FEA-001 ruankao::domain::立项管理 ruankao::type::关键词识别卡 ruankao::importance::A ruankao::difficulty::2 ruankao::review::keep ruankao::family::topic_qa ruankao::chapter::03,sha256:dac7ad9c4f270f3f2fbe1afa
软考::系统集成项目管理工程师::03_立项管理::专题问答卡::T-FEA-001_立项管理_项目建议书_可行性研究与项目论证,RuankaoTopicCard,财务可行性 vs 经济可行性的区别是什么？,财务可行性偏投资者或项目自身的盈利、现金流和偿债能力；经济可行性偏资源配置和社会经济效益。,<div>记忆线索：财务看“钱对项目/投资者是否划算”；经济看“资源投入对更大范围是否有价值”。</div><div>易错点：两个都和“钱”有关，但评价视角不同。</div><div>来源：SRC-FEA-TUTOR-003。</div>,topic_qa,辨析卡,,,A,3,上午选择,立项管理,03,立项管理,T-FEA-001,立项管理：项目建议书、可行性研究与项目论证,SRC-FEA-TUTOR-003,tutorial.full.clean.md,5.2.1 项目可行性研究内容,,,keep,拆开两个字面相似概念。,ruankao ruankao::build::20260520_235046 ruankao::topic ruankao::topic::T-FEA-001 ruankao::domain::立项管理 ruankao::type::辨析卡 ruankao::importance::A ruankao::difficulty::3 ruankao::review::keep ruankao::family::topic_qa ruankao::chapter::03,sha256:3dae1a8ab20949a8a9f32c39
软考::系统集成项目管理工程师::03_立项管理::专题问答卡::T-FEA-001_立项管理_项目建议书_可行性研究与项目论证,RuankaoTopicCard,题干出现哪些信号时，应想到组织可行性？,组织机构、管理人员经验、实施进度安排、协作关系、培训计划是否能支撑项目。,<div>理解：组织可行性问的是“组织和人能不能把项目推起来”，不是技术本身是否先进。</div><div>题干信号：人员不足、职责不清、培训缺失、协作机制弱、进度组织不合理。</div><div>来源：SRC-FEA-TUTOR-003。</div>,topic_qa,关键词识别卡,,,B,2,案例分析,立项管理,03,立项管理,T-FEA-001,立项管理：项目建议书、可行性研究与项目论证,SRC-FEA-TUTOR-003,tutorial.full.clean.md,5.2.1 组织可行性,,,keep,补足案例中常被忽略的非技术原因。,ruankao ruankao::build::20260520_235046 ruankao::topic ruankao::topic::T-FEA-001 ruankao::domain::立项管理 ruankao::type::关键词识别卡 ruankao::importance::B ruankao::difficulty::2 ruankao::review::keep ruankao::family::topic_qa ruankao::chapter::03,sha256:24228f61692ccef05394b52e
软考::系统集成项目管理工程师::03_立项管理::专题问答卡::T-FEA-001_立项管理_项目建议书_可行性研究与项目论证,RuankaoTopicCard,题干出现哪些信号时，应想到社会可行性？,法律政策、伦理道德、社会影响、民族宗教、社会稳定性等外部社会条件。,<div>例子：无线频段许可未办理，不只是技术问题，也涉及政策和法律环境。</div><div>易错点：社会可行性不是“用户喜不喜欢”，它更偏外部政策、法律和社会影响。</div><div>来源：SRC-FEA-TUTOR-003；SRC-FEA-Q-CASE-001。</div>,topic_qa,关键词识别卡,,,B,2,案例分析,立项管理,03,立项管理,T-FEA-001,立项管理：项目建议书、可行性研究与项目论证,SRC-FEA-TUTOR-003;SRC-FEA-Q-CASE-001,tutorial.full.clean.md;questions.full.clean.md,5.2.1 社会可行性 / WiMAX 案例,,,keep,专注社会可行性，和技术可行性互补。,ruankao ruankao::build::20260520_235046 ruankao::topic ruankao::topic::T-FEA-001 ruankao::domain::立项管理 ruankao::type::关键词识别卡 ruankao::importance::B ruankao::difficulty::2 ruankao::review::keep ruankao::family::topic_qa ruankao::chapter::03,sha256:18fe21cb31a80cae0e858822
