TopicID,TopicName,KnowledgeDomain,PointID,PointTitle,PointType,ExamUse,Importance,Difficulty,SourceFile,SourceLocator,ShouldCard,Reason,RelatedQuestionIDs,NeedsReview
T-INFO-001,信息化、信息系统生命周期与系统集成基础,信息化与系统集成基础,T-INFO-001-KP-001,信息系统（产品/系统）vs 信息化（过程/活动）辨析卡。,辨析,上午选择,A,3,topic_learning_packages/topics/01_信息化与信息系统/T-INFO-001_专题学习包_信息化信息系统生命周期与系统集成基础.md,line 76,yes,来自专题学习包明确制卡提示，经脚本转入候选考点；正式卡片另行重写,,no
T-INFO-001,信息化、信息系统生命周期与系统集成基础,信息化与系统集成基础,T-INFO-001-KP-002,信息系统生命周期各阶段判断卡。,概念,上午选择,A,3,topic_learning_packages/topics/01_信息化与信息系统/T-INFO-001_专题学习包_信息化信息系统生命周期与系统集成基础.md,line 91,yes,来自专题学习包明确制卡提示，经脚本转入候选考点；正式卡片另行重写,,no
T-INFO-001,信息化、信息系统生命周期与系统集成基础,信息化与系统集成基础,T-INFO-001-KP-003,系统集成项目四大特点卡。,概念,上午选择,A,3,topic_learning_packages/topics/01_信息化与信息系统/T-INFO-001_专题学习包_信息化信息系统生命周期与系统集成基础.md,line 106,yes,来自专题学习包明确制卡提示，经脚本转入候选考点；正式卡片另行重写,,no
T-INFO-001,信息化、信息系统生命周期与系统集成基础,信息化与系统集成基础,T-INFO-001-KP-004,两种生命周期的交叉关系卡。,概念,上午选择,B,3,topic_learning_packages/topics/01_信息化与信息系统/T-INFO-001_专题学习包_信息化信息系统生命周期与系统集成基础.md,line 121,yes,来自专题学习包明确制卡提示，经脚本转入候选考点；正式卡片另行重写,,no
T-INFO-001,信息化、信息系统生命周期与系统集成基础,信息化与系统集成基础,T-INFO-001-KP-005,系统集成的核心是什么；信息系统生命周期与项目生命周期的边界；信息化不等于采购设备。,概念,上午选择,B,3,topic_learning_packages/topics/01_信息化与信息系统/T-INFO-001_专题学习包_信息化信息系统生命周期与系统集成基础.md,line 166,yes,来自专题学习包明确制卡提示，经脚本转入候选考点；正式卡片另行重写,,no
T-PM-002,五大过程组、十大知识域与 PDCA,项目管理基础,T-PM-002-KP-001,"过程组 vs 阶段的两句话辨析卡。关键词判断卡看到""阶段""想到时间顺序，看到""过程组""想到管理活动类型。",辨析,上午选择,A,3,topic_learning_packages/topics/02_项目管理基础/T-PM-002_专题学习包_五大过程组十大知识域与PDCA.md,line 255,yes,来自专题学习包明确制卡提示，经脚本转入候选考点；正式卡片另行重写,,no
T-PM-002,五大过程组、十大知识域与 PDCA,项目管理基础,T-PM-002-KP-002,"""收尾 ≠ Act""陷阱卡。PDCA 四环节与过程组对应关系卡。",概念,上午选择,A,3,topic_learning_packages/topics/02_项目管理基础/T-PM-002_专题学习包_五大过程组十大知识域与PDCA.md,line 273,yes,来自专题学习包明确制卡提示，经脚本转入候选考点；正式卡片另行重写,,no
T-PM-002,五大过程组、十大知识域与 PDCA,项目管理基础,T-PM-002-KP-003,确认范围/QA/QC/整体变更控制的过程组归属速记卡。,概念,上午选择,A,3,topic_learning_packages/topics/02_项目管理基础/T-PM-002_专题学习包_五大过程组十大知识域与PDCA.md,line 292,yes,来自专题学习包明确制卡提示，经脚本转入候选考点；正式卡片另行重写,,no
T-PM-002,五大过程组、十大知识域与 PDCA,项目管理基础,T-PM-002-KP-004,QA（执行）vs QC（监控）辨析卡。附带过程组速记表。,辨析,上午选择,B,3,topic_learning_packages/topics/02_项目管理基础/T-PM-002_专题学习包_五大过程组十大知识域与PDCA.md,line 309,yes,来自专题学习包明确制卡提示，经脚本转入候选考点；正式卡片另行重写,,no
T-PM-002,五大过程组、十大知识域与 PDCA,项目管理基础,T-PM-002-KP-005,整体变更控制 → 监控过程组 判断卡。,概念,上午选择,B,3,topic_learning_packages/topics/02_项目管理基础/T-PM-002_专题学习包_五大过程组十大知识域与PDCA.md,line 328,yes,来自专题学习包明确制卡提示，经脚本转入候选考点；正式卡片另行重写,,no
