deck,note_type,front,back,extra,card_family,card_type,concept_name,concept_aliases,importance,difficulty,exam_use,knowledge_domain,chapter_id,chapter_name,source_topic_ids,source_topic_names,source_ids,source_file,source_heading,related_question_ids,related_topic_ids,manual_review_status,manual_review_note,tags,checksum
软考::系统集成项目管理工程师::06_进度管理::章节概念卡::06_进度管理_概念卡,RuankaoTopicCard,活动清单是什么？,活动清单列出完成项目可交付成果所需的进度活动。,<div>理解：活动清单来自 WBS 的进一步分解。</div><div>题干信号：活动定义、进度活动</div><div>来源：06_进度管理 专题包 / topic_build_full 相关小节</div>,chapter_concept,概念卡,活动清单,,A,2,章节概念,进度管理,06,进度管理,T-SCH-002;T-SCH-003,活动排序、依赖关系、PDM/AOA 与提前滞后量;关键路径、总时差、自由时差与网络图判断,SRC-CH-06-001,topic_learning_packages/topics/06_进度管理/T-SCH-002_专题学习包_活动排序依赖关系PDM_AOA与提前滞后量.md;topic_learning_packages/topics/06_进度管理/T-SCH-003_专题学习包_关键路径总时差自由时差与网络图判断.md,活动清单,,,keep,Front 聚焦“活动清单”这一章内概念，Back 一句话定边界，Extra 给出本概念的题干信号。,ruankao ruankao::build::20260520_235046 ruankao::chapter::06 ruankao::domain::进度管理 ruankao::type::概念卡 ruankao::importance::A ruankao::difficulty::2 ruankao::review::keep ruankao::chapter_concept,sha256:958849312c5031a008ae04ac
软考::系统集成项目管理工程师::06_进度管理::章节概念卡::06_进度管理_概念卡,RuankaoTopicCard,里程碑是什么？,里程碑是项目中的重要时间点或事件，通常持续时间为零。,<div>理解：里程碑不是活动工期，而是阶段性节点。</div><div>题干信号：重要节点、零持续时间</div><div>来源：06_进度管理 专题包 / topic_build_full 相关小节</div>,chapter_concept,概念卡,里程碑,,B,3,章节概念,进度管理,06,进度管理,T-SCH-002;T-SCH-003,活动排序、依赖关系、PDM/AOA 与提前滞后量;关键路径、总时差、自由时差与网络图判断,SRC-CH-06-002,topic_learning_packages/topics/06_进度管理/T-SCH-002_专题学习包_活动排序依赖关系PDM_AOA与提前滞后量.md;topic_learning_packages/topics/06_进度管理/T-SCH-003_专题学习包_关键路径总时差自由时差与网络图判断.md,里程碑,,,keep,Front 聚焦“里程碑”这一章内概念，Back 一句话定边界，Extra 给出本概念的题干信号。,ruankao ruankao::build::20260520_235046 ruankao::chapter::06 ruankao::domain::进度管理 ruankao::type::概念卡 ruankao::importance::B ruankao::difficulty::3 ruankao::review::keep ruankao::chapter_concept,sha256:6f81a25bd60c55eb27f3d3f5
软考::系统集成项目管理工程师::06_进度管理::章节概念卡::06_进度管理_概念卡,RuankaoTopicCard,PDM是什么？,前导图法 PDM 用节点表示活动，用箭线表示逻辑关系。,<div>理解：看到节点是活动，多数是 PDM/AON。</div><div>题干信号：节点活动、箭线关系</div><div>来源：06_进度管理 专题包 / topic_build_full 相关小节</div>,chapter_concept,概念卡,PDM,,A,2,章节概念,进度管理,06,进度管理,T-SCH-002;T-SCH-003,活动排序、依赖关系、PDM/AOA 与提前滞后量;关键路径、总时差、自由时差与网络图判断,SRC-CH-06-003,topic_learning_packages/topics/06_进度管理/T-SCH-002_专题学习包_活动排序依赖关系PDM_AOA与提前滞后量.md;topic_learning_packages/topics/06_进度管理/T-SCH-003_专题学习包_关键路径总时差自由时差与网络图判断.md,PDM,,,keep,Front 聚焦“PDM”这一章内概念，Back 一句话定边界，Extra 给出本概念的题干信号。,ruankao ruankao::build::20260520_235046 ruankao::chapter::06 ruankao::domain::进度管理 ruankao::type::概念卡 ruankao::importance::A ruankao::difficulty::2 ruankao::review::keep ruankao::chapter_concept,sha256:0c3059fbba9051c29373aa81
软考::系统集成项目管理工程师::06_进度管理::章节概念卡::06_进度管理_概念卡,RuankaoTopicCard,ADM是什么？,箭线图法 ADM 用箭线表示活动，用节点表示事件。,<div>理解：看到虚活动和双代号网络图，多数是 ADM/AOA。</div><div>题干信号：箭线活动、虚活动</div><div>来源：06_进度管理 专题包 / topic_build_full 相关小节</div>,chapter_concept,概念卡,ADM,,B,3,章节概念,进度管理,06,进度管理,T-SCH-002;T-SCH-003,活动排序、依赖关系、PDM/AOA 与提前滞后量;关键路径、总时差、自由时差与网络图判断,SRC-CH-06-004,topic_learning_packages/topics/06_进度管理/T-SCH-002_专题学习包_活动排序依赖关系PDM_AOA与提前滞后量.md;topic_learning_packages/topics/06_进度管理/T-SCH-003_专题学习包_关键路径总时差自由时差与网络图判断.md,ADM,,,keep,Front 聚焦“ADM”这一章内概念，Back 一句话定边界，Extra 给出本概念的题干信号。,ruankao ruankao::build::20260520_235046 ruankao::chapter::06 ruankao::domain::进度管理 ruankao::type::概念卡 ruankao::importance::B ruankao::difficulty::3 ruankao::review::keep ruankao::chapter_concept,sha256:93caf083740bfa78553c6e66
软考::系统集成项目管理工程师::06_进度管理::章节概念卡::06_进度管理_概念卡,RuankaoTopicCard,完成-开始 FS是什么？,FS 表示紧前活动完成后，紧后活动才能开始，是最常见依赖关系。,<div>理解：题干“完成后才能开始”就是 FS。</div><div>题干信号：完成后开始</div><div>来源：06_进度管理 专题包 / topic_build_full 相关小节</div>,chapter_concept,概念卡,完成-开始 FS,,A,2,章节概念,进度管理,06,进度管理,T-SCH-002;T-SCH-003,活动排序、依赖关系、PDM/AOA 与提前滞后量;关键路径、总时差、自由时差与网络图判断,SRC-CH-06-005,topic_learning_packages/topics/06_进度管理/T-SCH-002_专题学习包_活动排序依赖关系PDM_AOA与提前滞后量.md;topic_learning_packages/topics/06_进度管理/T-SCH-003_专题学习包_关键路径总时差自由时差与网络图判断.md,完成-开始 FS,,,keep,Front 聚焦“完成-开始 FS”这一章内概念，Back 一句话定边界，Extra 给出本概念的题干信号。,ruankao ruankao::build::20260520_235046 ruankao::chapter::06 ruankao::domain::进度管理 ruankao::type::概念卡 ruankao::importance::A ruankao::difficulty::2 ruankao::review::keep ruankao::chapter_concept,sha256:ce5121e26322bcf0441fca70
软考::系统集成项目管理工程师::06_进度管理::章节概念卡::06_进度管理_概念卡,RuankaoTopicCard,提前量是什么？,提前量允许后续活动在前置活动完成前提前开始。,<div>理解：例如 FS-2 表示可提前 2 天开始，具体符号口径需按教材。</div><div>题干信号：提前开始、搭接</div><div>来源：06_进度管理 专题包 / topic_build_full 相关小节</div>,chapter_concept,概念卡,提前量,,B,3,章节概念,进度管理,06,进度管理,T-SCH-002;T-SCH-003,活动排序、依赖关系、PDM/AOA 与提前滞后量;关键路径、总时差、自由时差与网络图判断,SRC-CH-06-006,topic_learning_packages/topics/06_进度管理/T-SCH-002_专题学习包_活动排序依赖关系PDM_AOA与提前滞后量.md;topic_learning_packages/topics/06_进度管理/T-SCH-003_专题学习包_关键路径总时差自由时差与网络图判断.md,提前量,,,keep,Front 聚焦“提前量”这一章内概念，Back 一句话定边界，Extra 给出本概念的题干信号。,ruankao ruankao::build::20260520_235046 ruankao::chapter::06 ruankao::domain::进度管理 ruankao::type::概念卡 ruankao::importance::B ruankao::difficulty::3 ruankao::review::keep ruankao::chapter_concept,sha256:cd57afa4987f0de7e607479e
软考::系统集成项目管理工程师::06_进度管理::章节概念卡::06_进度管理_概念卡,RuankaoTopicCard,关键路径是什么？,关键路径是网络图中持续时间最长、决定项目最短工期的路径。,<div>理解：关键路径可能不止一条，多条时进度风险更高。</div><div>题干信号：最长路径、最短工期</div><div>来源：06_进度管理 专题包 / topic_build_full 相关小节</div>,chapter_concept,概念卡,关键路径,,A,2,章节概念,进度管理,06,进度管理,T-SCH-002;T-SCH-003,活动排序、依赖关系、PDM/AOA 与提前滞后量;关键路径、总时差、自由时差与网络图判断,SRC-CH-06-007,topic_learning_packages/topics/06_进度管理/T-SCH-002_专题学习包_活动排序依赖关系PDM_AOA与提前滞后量.md;topic_learning_packages/topics/06_进度管理/T-SCH-003_专题学习包_关键路径总时差自由时差与网络图判断.md,关键路径,,,keep,Front 聚焦“关键路径”这一章内概念，Back 一句话定边界，Extra 给出本概念的题干信号。,ruankao ruankao::build::20260520_235046 ruankao::chapter::06 ruankao::domain::进度管理 ruankao::type::概念卡 ruankao::importance::A ruankao::difficulty::2 ruankao::review::keep ruankao::chapter_concept,sha256:bc011c7335d28ab9941edc3c
软考::系统集成项目管理工程师::06_进度管理::章节概念卡::06_进度管理_概念卡,RuankaoTopicCard,总时差是什么？,总时差是在不延误项目完工日期前提下活动可推迟的时间。,<div>理解：题干问“不影响总工期”就是总时差。</div><div>题干信号：不影响总工期</div><div>来源：06_进度管理 专题包 / topic_build_full 相关小节</div>,chapter_concept,概念卡,总时差,,A,2,章节概念,进度管理,06,进度管理,T-SCH-002;T-SCH-003,活动排序、依赖关系、PDM/AOA 与提前滞后量;关键路径、总时差、自由时差与网络图判断,SRC-CH-06-008,topic_learning_packages/topics/06_进度管理/T-SCH-002_专题学习包_活动排序依赖关系PDM_AOA与提前滞后量.md;topic_learning_packages/topics/06_进度管理/T-SCH-003_专题学习包_关键路径总时差自由时差与网络图判断.md,总时差,,,keep,Front 聚焦“总时差”这一章内概念，Back 一句话定边界，Extra 给出本概念的题干信号。,ruankao ruankao::build::20260520_235046 ruankao::chapter::06 ruankao::domain::进度管理 ruankao::type::概念卡 ruankao::importance::A ruankao::difficulty::2 ruankao::review::keep ruankao::chapter_concept,sha256:86e24bf288ca110bf5cec7cf
软考::系统集成项目管理工程师::06_进度管理::章节概念卡::06_进度管理_概念卡,RuankaoTopicCard,自由时差是什么？,自由时差是在不延误紧后活动最早开始前提下活动可推迟的时间。,<div>理解：自由时差通常小于或等于总时差。</div><div>题干信号：不影响紧后活动</div><div>来源：06_进度管理 专题包 / topic_build_full 相关小节</div>,chapter_concept,概念卡,自由时差,,A,2,章节概念,进度管理,06,进度管理,T-SCH-002;T-SCH-003,活动排序、依赖关系、PDM/AOA 与提前滞后量;关键路径、总时差、自由时差与网络图判断,SRC-CH-06-009,topic_learning_packages/topics/06_进度管理/T-SCH-002_专题学习包_活动排序依赖关系PDM_AOA与提前滞后量.md;topic_learning_packages/topics/06_进度管理/T-SCH-003_专题学习包_关键路径总时差自由时差与网络图判断.md,自由时差,,,keep,Front 聚焦“自由时差”这一章内概念，Back 一句话定边界，Extra 给出本概念的题干信号。,ruankao ruankao::build::20260520_235046 ruankao::chapter::06 ruankao::domain::进度管理 ruankao::type::概念卡 ruankao::importance::A ruankao::difficulty::2 ruankao::review::keep ruankao::chapter_concept,sha256:b7835ce74f6d24e3705d2bad
软考::系统集成项目管理工程师::06_进度管理::章节概念卡::06_进度管理_概念卡,RuankaoTopicCard,赶工是什么？,赶工是通过增加资源缩短工期，通常增加成本。,<div>理解：题干出现加班、增加人员、额外资源，优先想到赶工。</div><div>题干信号：增加资源、成本上升</div><div>来源：06_进度管理 专题包 / topic_build_full 相关小节</div>,chapter_concept,概念卡,赶工,,A,2,章节概念,进度管理,06,进度管理,T-SCH-002;T-SCH-003,活动排序、依赖关系、PDM/AOA 与提前滞后量;关键路径、总时差、自由时差与网络图判断,SRC-CH-06-010,topic_learning_packages/topics/06_进度管理/T-SCH-002_专题学习包_活动排序依赖关系PDM_AOA与提前滞后量.md;topic_learning_packages/topics/06_进度管理/T-SCH-003_专题学习包_关键路径总时差自由时差与网络图判断.md,赶工,,,keep,Front 聚焦“赶工”这一章内概念，Back 一句话定边界，Extra 给出本概念的题干信号。,ruankao ruankao::build::20260520_235046 ruankao::chapter::06 ruankao::domain::进度管理 ruankao::type::概念卡 ruankao::importance::A ruankao::difficulty::2 ruankao::review::keep ruankao::chapter_concept,sha256:07110a10d706010f2584e269
