deck	note_type	front	back	extra	tags	source_topic_id	source_topic_title	card_type	difficulty
软考::系统集成项目管理工程师::成本管理::挣值管理	Basic	挣值管理 EVM 试图同时回答哪三个问题？	按计划应该完成多少、实际完成了多少、实际花了多少钱。	对应三个基础量：PV、EV、AC。EVM 的价值是把范围、进度、成本放到同一货币口径下比较。	ruankao cost evm T-COST-002 concept	T-COST-002	挣值管理与成本绩效分析	概念	2
软考::系统集成项目管理工程师::成本管理::挣值管理	Basic	PV（Planned Value）是什么？	计划价值：到某一时点，按计划应该完成工作的预算价值。	关键词是“计划应该”。PV 不看实际完成情况。项目完工时 PV 总额等于 BAC。	ruankao cost evm T-COST-002 concept pv	T-COST-002	挣值管理与成本绩效分析	概念	2
软考::系统集成项目管理工程师::成本管理::挣值管理	Basic	EV（Earned Value）是什么？	挣值：实际完成工作的预算价值。	EV 不是实际花费，而是“已完成产出按预算值多少钱”。它是 EVM 中最关键也最容易混的量。	ruankao cost evm T-COST-002 concept ev	T-COST-002	挣值管理与成本绩效分析	概念	2
软考::系统集成项目管理工程师::成本管理::挣值管理	Basic	AC（Actual Cost）是什么？	实际成本：完成与 EV 对应工作实际发生的成本。	AC 来自实际花费，但口径要和 PV/EV 保持一致，比如是否包含间接成本。	ruankao cost evm T-COST-002 concept ac	T-COST-002	挣值管理与成本绩效分析	概念	2
软考::系统集成项目管理工程师::成本管理::挣值管理	Basic	BAC 在挣值管理中表示什么？	完工预算，即项目全部计划工作的总预算。	BAC 是预测 EAC、VAC、TCPI 的基准。	ruankao cost evm T-COST-002 concept bac	T-COST-002	挣值管理与成本绩效分析	概念	2
软考::系统集成项目管理工程师::成本管理::挣值管理	Basic	为什么说 EV 是 EVM 的核心？	因为 EV 把实际完成量转换成预算价值，使进度和成本都能用同一口径比较。	进度比较 EV 与 PV；成本比较 EV 与 AC。没有 EV，很多绩效判断不能成立。	ruankao cost evm T-COST-002 concept ev	T-COST-002	挣值管理与成本绩效分析	概念	3
软考::系统集成项目管理工程师::成本管理::挣值管理	Basic	SV 和 CV 的单位是什么？	货币单位，如元、万元。	SV/CV 是差值，不是天数或百分比。SPI/CPI 才是无量纲指数。	ruankao cost evm T-COST-002 concept variance	T-COST-002	挣值管理与成本绩效分析	概念	2
软考::系统集成项目管理工程师::成本管理::挣值管理	Basic	SPI 和 CPI 的判断阈值是什么？	大于 1 通常表示好，等于 1 符合计划，小于 1 表示差。	SPI < 1 是进度效率低于计划；CPI < 1 是成本效率低于计划。	ruankao cost evm T-COST-002 concept index	T-COST-002	挣值管理与成本绩效分析	概念	2
软考::系统集成项目管理工程师::成本管理::挣值管理	Basic	EAC 表示什么？	完工估算：根据当前绩效和假设预测项目完工总成本。	EAC 不是固定公式，公式取决于题干对未来绩效的假设。	ruankao cost evm T-COST-002 concept forecast	T-COST-002	挣值管理与成本绩效分析	概念	3
软考::系统集成项目管理工程师::成本管理::挣值管理	Basic	ETC 表示什么？	完工尚需估算：从当前到完工还需要的成本。	常用关系：ETC = EAC - AC。	ruankao cost evm T-COST-002 concept forecast	T-COST-002	挣值管理与成本绩效分析	概念	2
软考::系统集成项目管理工程师::成本管理::挣值管理	Basic	VAC 表示什么？	完工偏差：预算 BAC 与完工估算 EAC 的差异。	VAC = BAC - EAC。VAC < 0 表示预计超预算。	ruankao cost evm T-COST-002 concept forecast	T-COST-002	挣值管理与成本绩效分析	概念	2
软考::系统集成项目管理工程师::成本管理::挣值管理	Basic	TCPI 是回顾性指标还是前瞻性指标？	前瞻性指标。	TCPI 表示为了实现 BAC 或 EAC，剩余工作必须达到的成本绩效水平。	ruankao cost evm T-COST-002 concept tcpi	T-COST-002	挣值管理与成本绩效分析	概念	3
软考::系统集成项目管理工程师::成本管理::挣值管理	Basic	SV 的公式、含义和判断规则是什么？	SV = EV - PV。SV > 0 进度提前；SV = 0 符合计划；SV < 0 进度滞后。	例：EV=90，PV=100，则 SV=-10，进度滞后。	ruankao cost evm T-COST-002 formula sv	T-COST-002	挣值管理与成本绩效分析	公式	2
软考::系统集成项目管理工程师::成本管理::挣值管理	Basic	CV 的公式、含义和判断规则是什么？	CV = EV - AC。CV > 0 成本节约；CV = 0 符合预算；CV < 0 成本超支。	例：EV=90，AC=110，则 CV=-20，成本超支。	ruankao cost evm T-COST-002 formula cv	T-COST-002	挣值管理与成本绩效分析	公式	2
软考::系统集成项目管理工程师::成本管理::挣值管理	Basic	SPI 的公式、含义和判断规则是什么？	SPI = EV / PV。SPI > 1 进度效率高于计划；SPI < 1 进度效率低于计划。	例：EV=80，PV=100，则 SPI=0.8，进度滞后。	ruankao cost evm T-COST-002 formula spi	T-COST-002	挣值管理与成本绩效分析	公式	2
