deck,note_type,front,back,extra,card_family,card_type,concept_name,concept_aliases,importance,difficulty,exam_use,knowledge_domain,chapter_id,chapter_name,source_topic_ids,source_topic_names,source_ids,source_file,source_heading,related_question_ids,related_topic_ids,manual_review_status,manual_review_note,tags,checksum
软考::系统集成项目管理工程师::03_立项管理::章节概念卡::03_立项管理_概念卡,RuankaoTopicCard,项目建议书是什么？,项目建议书是立项前提出拟建项目总体设想和立项申请的文件，为项目选择和后续可行性研究提供依据。,<div>理解：它回答“为什么提出这个项目、大致要做什么”，还不是正式授权项目执行。</div><div>易错点：不要和项目章程混淆。</div><div>来源：tutorial 5.1.1。</div>,chapter_concept,概念卡,项目建议书,立项申请,A,2,章节概念,立项管理,03,立项管理,T-FEA-001,立项管理：项目建议书、可行性研究与项目论证,SRC-FEA-TUTOR-001,tutorial.full.clean.md,5.1.1 项目建议书,,T-INT-002,keep,概念定义清楚，Back 一句话，Extra 给出项目章程边界。,ruankao ruankao::manual_sample ruankao::family::chapter_concept ruankao::chapter::03 ruankao::domain::立项管理 ruankao::type::概念卡 ruankao::concept::项目建议书 ruankao::review::keep,sha256:c2823e147cc4c2df8638a96d
软考::系统集成项目管理工程师::03_立项管理::章节概念卡::03_立项管理_概念卡,RuankaoTopicCard,项目建议书主要服务于什么决策？,主要服务于项目选择和后续是否开展可行性研究的前期决策。,<div>记忆线索：建议书先让主管部门判断“这个项目值不值得继续研究”。</div><div>来源：tutorial 5.1.1。</div>,chapter_concept,概念卡,项目建议书,立项申请,A,2,章节概念,立项管理,03,立项管理,T-FEA-001,立项管理：项目建议书、可行性研究与项目论证,SRC-FEA-TUTOR-001,tutorial.full.clean.md,5.1.1 项目建议书,,,keep,与定义卡合理冗余，强调决策用途而不是重复定义。,ruankao ruankao::manual_sample ruankao::family::chapter_concept ruankao::chapter::03 ruankao::domain::立项管理 ruankao::type::概念卡 ruankao::concept::项目建议书 ruankao::review::keep,sha256:d807587e7781052d4fb43a63
软考::系统集成项目管理工程师::03_立项管理::章节概念卡::03_立项管理_概念卡,RuankaoTopicCard,项目建议书批复是什么？,项目建议书批复是审批部门对项目建议书的审核批准结果，是后续可研和建设工作的依据之一。,<div>易错点：后续可研内容若相对批复发生重大变更，不能只在可研中自行调整。</div><div>来源：tutorial 5.1.2 / 5.3。</div>,chapter_concept,概念卡,项目建议书批复,建议书批复,A,2,章节概念,立项管理,03,立项管理,T-FEA-001,立项管理：项目建议书、可行性研究与项目论证,SRC-FEA-TUTOR-002;SRC-FEA-TUTOR-007,tutorial.full.clean.md,5.1.2 项目建议书的编写、申报和审批;5.3 项目审批,,,keep,概念和用途都稳定，支持后续重大变更卡。,ruankao ruankao::manual_sample ruankao::family::chapter_concept ruankao::chapter::03 ruankao::domain::立项管理 ruankao::type::概念卡 ruankao::concept::项目建议书批复 ruankao::review::keep,sha256:313efe13e15762f9076d8443
软考::系统集成项目管理工程师::03_立项管理::章节概念卡::03_立项管理_概念卡,RuankaoTopicCard,需求分析报告在项目建议书阶段起什么作用？,它为项目建议书编制和审批咨询意见提供参考。,<div>理解：这是立项前的需求依据收集，不等于后续完整需求规格说明。</div><div>来源：tutorial 5.1.2。</div>,chapter_concept,概念卡,需求分析报告,,B,2,章节概念,立项管理,03,立项管理,T-FEA-001,立项管理：项目建议书、可行性研究与项目论证,SRC-FEA-TUTOR-002,tutorial.full.clean.md,5.1.2 项目建议书的编写、申报和审批,,T-SCOPE-002,keep,Front 明确，能解释立项阶段为什么出现需求分析。,ruankao ruankao::manual_sample ruankao::family::chapter_concept ruankao::chapter::03 ruankao::domain::立项管理 ruankao::type::概念卡 ruankao::concept::需求分析报告 ruankao::review::keep,sha256:901f8bfd69a725a7d6eb999c
软考::系统集成项目管理工程师::03_立项管理::章节概念卡::03_立项管理_概念卡,RuankaoTopicCard,项目章程在本章概念边界中指什么？,项目章程是正式批准项目存在并授权项目经理的启动文件，不是立项前的项目建议书。,<div>关联：章节概念卡纳入它，是为了和项目建议书划清边界。</div><div>来源：tutorial 4/6 章交叉；T-FEA 手工样例。</div>,chapter_concept,辨析卡,项目章程,,A,2,跨域辨析,立项管理,03,立项管理,T-FEA-001,立项管理：项目建议书、可行性研究与项目论证,SRC-FEA-TUTOR-001;SRC-FEA-IDX-001,tutorial.full.clean.md,5.1.1 项目建议书,,T-INT-002,keep,虽然属于相邻专题，但作为立项章节边界概念很必要。,ruankao ruankao::manual_sample ruankao::family::chapter_concept ruankao::chapter::03 ruankao::domain::立项管理 ruankao::type::辨析卡 ruankao::concept::项目章程 ruankao::review::keep,sha256:a2a2a982c65148197b4ae15f
软考::系统集成项目管理工程师::03_立项管理::章节概念卡::03_立项管理_概念卡,RuankaoTopicCard,可行性研究是什么？,可行性研究是对拟建项目的必要性、可行性、合理性和风险进行系统分析，为立项或投资决策提供依据。,<div>题干信号：是否值得投资、技术经济分析、方案比较、风险对策。</div><div>来源：tutorial 5.2.1。</div>,chapter_concept,概念卡,可行性研究,可研,A,2,章节概念,立项管理,03,立项管理,T-FEA-001,立项管理：项目建议书、可行性研究与项目论证,SRC-FEA-TUTOR-003,tutorial.full.clean.md,5.2.1 项目可行性研究内容,,,keep,章节核心概念，Back 短且稳定。,ruankao ruankao::manual_sample ruankao::family::chapter_concept ruankao::chapter::03 ruankao::domain::立项管理 ruankao::type::概念卡 ruankao::concept::可行性研究 ruankao::review::keep,sha256:910660f41d84d7c918be0368
软考::系统集成项目管理工程师::03_立项管理::章节概念卡::03_立项管理_概念卡,RuankaoTopicCard,投资必要性是什么？,投资必要性是根据市场调查、预测结果和产业政策等，论证项目为什么有必要建设。,<div>记忆线索：先问“该不该投、为什么要投”。</div><div>来源：tutorial 5.2.1。</div>,chapter_concept,概念卡,投资必要性,,A,2,章节概念,立项管理,03,立项管理,T-FEA-001,立项管理：项目建议书、可行性研究与项目论证,SRC-FEA-TUTOR-003,tutorial.full.clean.md,5.2.1 投资必要性,,,keep,定义明确，能和其他可研维度分开。,ruankao ruankao::manual_sample ruankao::family::chapter_concept ruankao::chapter::03 ruankao::domain::立项管理 ruankao::type::概念卡 ruankao::concept::投资必要性 ruankao::review::keep,sha256:4357a694b4d7ab64568ec33a
软考::系统集成项目管理工程师::03_立项管理::章节概念卡::03_立项管理_概念卡,RuankaoTopicCard,技术可行性是什么？,技术可行性是从项目实施技术角度设计、比较、选择和评价技术方案是否可行。,<div>题干信号：新技术、技术成熟度、团队技术能力、性能或兼容性风险。</div><div>来源：tutorial 5.2.1。</div>,chapter_concept,概念卡,技术可行性,,A,2,章节概念,立项管理,03,立项管理,T-FEA-001,立项管理：项目建议书、可行性研究与项目论证,SRC-FEA-TUTOR-003,tutorial.full.clean.md,5.2.1 技术可行性,,,keep,Back 贴合教程，Extra 给做题信号。,ruankao ruankao::manual_sample ruankao::family::chapter_concept ruankao::chapter::03 ruankao::domain::立项管理 ruankao::type::概念卡 ruankao::concept::技术可行性 ruankao::review::keep,sha256:cf69d9b4885fe1d93aa893f8
软考::系统集成项目管理工程师::03_立项管理::章节概念卡::03_立项管理_概念卡,RuankaoTopicCard,财务可行性是什么？,财务可行性是从项目和投资者角度评价盈利能力、现金流、偿债能力和投资收益。,<div>易错点：财务可行性偏项目或投资者账本，不等于社会经济价值。</div><div>来源：tutorial 5.2.1。</div>,chapter_concept,概念卡,财务可行性,,A,2,章节概念,立项管理,03,立项管理,T-FEA-001,立项管理：项目建议书、可行性研究与项目论证,SRC-FEA-TUTOR-003,tutorial.full.clean.md,5.2.1 财务可行性,,,keep,定义短，和经济可行性形成合理辨析。,ruankao ruankao::manual_sample ruankao::family::chapter_concept ruankao::chapter::03 ruankao::domain::立项管理 ruankao::type::概念卡 ruankao::concept::财务可行性 ruankao::review::keep,sha256:37cc1227a1e6e8a5b2508afb
软考::系统集成项目管理工程师::03_立项管理::章节概念卡::03_立项管理_概念卡,RuankaoTopicCard,组织可行性是什么？,组织可行性是判断组织机构、人员经验、协作关系、进度安排和培训计划是否能支撑项目实施。,<div>题干信号：职责不清、人员经验不足、培训缺失、协作机制弱。</div><div>来源：tutorial 5.2.1。</div>,chapter_concept,概念卡,组织可行性,,A,2,章节概念,立项管理,03,立项管理,T-FEA-001,立项管理：项目建议书、可行性研究与项目论证,SRC-FEA-TUTOR-003,tutorial.full.clean.md,5.2.1 组织可行性,,,keep,概念独立，Extra 针对本卡。,ruankao ruankao::manual_sample ruankao::family::chapter_concept ruankao::chapter::03 ruankao::domain::立项管理 ruankao::type::概念卡 ruankao::concept::组织可行性 ruankao::review::keep,sha256:d30415213bff8f52ea92af97
