deck,note_type,front,back,extra,card_family,card_type,concept_name,concept_aliases,importance,difficulty,exam_use,knowledge_domain,chapter_id,chapter_name,source_topic_ids,source_topic_names,source_ids,source_file,source_heading,related_question_ids,related_topic_ids,manual_review_status,manual_review_note,tags,checksum
软考::系统集成项目管理工程师::12_配置变更知识产权与法律法规::章节概念卡::12_配置变更知识产权与法律法规_概念卡,RuankaoTopicCard,配置项是什么？,配置项是受配置管理控制的产品、文档或组件。,<div>理解：代码、需求文档、设计文档、测试用例都可能是配置项。</div><div>题干信号：受控对象、文档/组件</div><div>来源：12_配置变更知识产权与法律法规 专题包 / topic_build_full 相关小节</div>,chapter_concept,概念卡,配置项,,A,2,章节概念,配置变更知识产权与法律法规,12,配置变更知识产权与法律法规,T-CFG-001;T-LAW-001,配置管理：配置项、基线、配置库与版本控制;法律法规基础、合同法、招投标法与政府采购法考点,SRC-CH-12-001,topic_learning_packages/topics/12_配置变更知识产权与法律法规/T-CFG-001_专题学习包_配置管理配置项基线配置库与版本控制.md;topic_learning_packages/topics/12_配置变更知识产权与法律法规/T-LAW-001_专题学习包_法律法规基础合同法招投标法与政府采购法考点.md,配置项,,,keep,Front 聚焦“配置项”这一章内概念，Back 一句话定边界，Extra 给出本概念的题干信号。,ruankao ruankao::build::20260520_235046 ruankao::chapter::12 ruankao::domain::配置变更知识产权与法律法规 ruankao::type::概念卡 ruankao::importance::A ruankao::difficulty::2 ruankao::review::keep ruankao::chapter_concept,sha256:b7a90fe0d730dc24c9773f6f
软考::系统集成项目管理工程师::12_配置变更知识产权与法律法规::章节概念卡::12_配置变更知识产权与法律法规_概念卡,RuankaoTopicCard,配置基线是什么？,配置基线是经过正式评审和批准的一组配置项，作为后续变更的依据。,<div>理解：基线一旦建立，变更需走控制流程。</div><div>题干信号：批准、变更依据</div><div>来源：12_配置变更知识产权与法律法规 专题包 / topic_build_full 相关小节</div>,chapter_concept,概念卡,配置基线,,A,2,章节概念,配置变更知识产权与法律法规,12,配置变更知识产权与法律法规,T-CFG-001;T-LAW-001,配置管理：配置项、基线、配置库与版本控制;法律法规基础、合同法、招投标法与政府采购法考点,SRC-CH-12-002,topic_learning_packages/topics/12_配置变更知识产权与法律法规/T-CFG-001_专题学习包_配置管理配置项基线配置库与版本控制.md;topic_learning_packages/topics/12_配置变更知识产权与法律法规/T-LAW-001_专题学习包_法律法规基础合同法招投标法与政府采购法考点.md,配置基线,,,keep,Front 聚焦“配置基线”这一章内概念，Back 一句话定边界，Extra 给出本概念的题干信号。,ruankao ruankao::build::20260520_235046 ruankao::chapter::12 ruankao::domain::配置变更知识产权与法律法规 ruankao::type::概念卡 ruankao::importance::A ruankao::difficulty::2 ruankao::review::keep ruankao::chapter_concept,sha256:56a28c04ba5a0f91ae6b4181
软考::系统集成项目管理工程师::12_配置变更知识产权与法律法规::章节概念卡::12_配置变更知识产权与法律法规_概念卡,RuankaoTopicCard,配置库是什么？,配置库用于保存和管理配置项及其版本。,<div>理解：不同库权限不同，不能随意把受控库当个人目录。</div><div>题干信号：版本保存、权限</div><div>来源：12_配置变更知识产权与法律法规 专题包 / topic_build_full 相关小节</div>,chapter_concept,概念卡,配置库,,A,2,章节概念,配置变更知识产权与法律法规,12,配置变更知识产权与法律法规,T-CFG-001;T-LAW-001,配置管理：配置项、基线、配置库与版本控制;法律法规基础、合同法、招投标法与政府采购法考点,SRC-CH-12-003,topic_learning_packages/topics/12_配置变更知识产权与法律法规/T-CFG-001_专题学习包_配置管理配置项基线配置库与版本控制.md;topic_learning_packages/topics/12_配置变更知识产权与法律法规/T-LAW-001_专题学习包_法律法规基础合同法招投标法与政府采购法考点.md,配置库,,,keep,Front 聚焦“配置库”这一章内概念，Back 一句话定边界，Extra 给出本概念的题干信号。,ruankao ruankao::build::20260520_235046 ruankao::chapter::12 ruankao::domain::配置变更知识产权与法律法规 ruankao::type::概念卡 ruankao::importance::A ruankao::difficulty::2 ruankao::review::keep ruankao::chapter_concept,sha256:0a5e89d54cc5eaa8b25fa8d6
软考::系统集成项目管理工程师::12_配置变更知识产权与法律法规::章节概念卡::12_配置变更知识产权与法律法规_概念卡,RuankaoTopicCard,开发库是什么？,开发库用于开发人员日常修改和自测，控制相对宽松。,<div>理解：它不是正式发布库。</div><div>题干信号：个人/开发、较宽松</div><div>来源：12_配置变更知识产权与法律法规 专题包 / topic_build_full 相关小节</div>,chapter_concept,概念卡,开发库,,B,3,章节概念,配置变更知识产权与法律法规,12,配置变更知识产权与法律法规,T-CFG-001;T-LAW-001,配置管理：配置项、基线、配置库与版本控制;法律法规基础、合同法、招投标法与政府采购法考点,SRC-CH-12-004,topic_learning_packages/topics/12_配置变更知识产权与法律法规/T-CFG-001_专题学习包_配置管理配置项基线配置库与版本控制.md;topic_learning_packages/topics/12_配置变更知识产权与法律法规/T-LAW-001_专题学习包_法律法规基础合同法招投标法与政府采购法考点.md,开发库,,,keep,Front 聚焦“开发库”这一章内概念，Back 一句话定边界，Extra 给出本概念的题干信号。,ruankao ruankao::build::20260520_235046 ruankao::chapter::12 ruankao::domain::配置变更知识产权与法律法规 ruankao::type::概念卡 ruankao::importance::B ruankao::difficulty::3 ruankao::review::keep ruankao::chapter_concept,sha256:27f656430c91b0ce11ba9dc1
软考::系统集成项目管理工程师::12_配置变更知识产权与法律法规::章节概念卡::12_配置变更知识产权与法律法规_概念卡,RuankaoTopicCard,受控库是什么？,受控库保存经过评审或基线化的配置项，变更受控制。,<div>理解：题干出现审批后入库，常指受控库。</div><div>题干信号：评审、受控变更</div><div>来源：12_配置变更知识产权与法律法规 专题包 / topic_build_full 相关小节</div>,chapter_concept,概念卡,受控库,,A,2,章节概念,配置变更知识产权与法律法规,12,配置变更知识产权与法律法规,T-CFG-001;T-LAW-001,配置管理：配置项、基线、配置库与版本控制;法律法规基础、合同法、招投标法与政府采购法考点,SRC-CH-12-005,topic_learning_packages/topics/12_配置变更知识产权与法律法规/T-CFG-001_专题学习包_配置管理配置项基线配置库与版本控制.md;topic_learning_packages/topics/12_配置变更知识产权与法律法规/T-LAW-001_专题学习包_法律法规基础合同法招投标法与政府采购法考点.md,受控库,,,keep,Front 聚焦“受控库”这一章内概念，Back 一句话定边界，Extra 给出本概念的题干信号。,ruankao ruankao::build::20260520_235046 ruankao::chapter::12 ruankao::domain::配置变更知识产权与法律法规 ruankao::type::概念卡 ruankao::importance::A ruankao::difficulty::2 ruankao::review::keep ruankao::chapter_concept,sha256:98ac85e087af3792a1d81336
软考::系统集成项目管理工程师::12_配置变更知识产权与法律法规::章节概念卡::12_配置变更知识产权与法律法规_概念卡,RuankaoTopicCard,产品库是什么？,产品库保存可交付或已发布的软件产品版本。,<div>理解：它面向发布和交付，不是开发人员随意改动的地方。</div><div>题干信号：发布、交付版本</div><div>来源：12_配置变更知识产权与法律法规 专题包 / topic_build_full 相关小节</div>,chapter_concept,概念卡,产品库,,A,2,章节概念,配置变更知识产权与法律法规,12,配置变更知识产权与法律法规,T-CFG-001;T-LAW-001,配置管理：配置项、基线、配置库与版本控制;法律法规基础、合同法、招投标法与政府采购法考点,SRC-CH-12-006,topic_learning_packages/topics/12_配置变更知识产权与法律法规/T-CFG-001_专题学习包_配置管理配置项基线配置库与版本控制.md;topic_learning_packages/topics/12_配置变更知识产权与法律法规/T-LAW-001_专题学习包_法律法规基础合同法招投标法与政府采购法考点.md,产品库,,,keep,Front 聚焦“产品库”这一章内概念，Back 一句话定边界，Extra 给出本概念的题干信号。,ruankao ruankao::build::20260520_235046 ruankao::chapter::12 ruankao::domain::配置变更知识产权与法律法规 ruankao::type::概念卡 ruankao::importance::A ruankao::difficulty::2 ruankao::review::keep ruankao::chapter_concept,sha256:f050768ff9d878a638abf5c4
软考::系统集成项目管理工程师::12_配置变更知识产权与法律法规::章节概念卡::12_配置变更知识产权与法律法规_概念卡,RuankaoTopicCard,配置审计是什么？,配置审计检查配置项是否完整、一致并符合配置管理要求。,<div>理解：它不同于质量审计，关注配置项和版本状态。</div><div>题干信号：完整性、一致性</div><div>来源：12_配置变更知识产权与法律法规 专题包 / topic_build_full 相关小节</div>,chapter_concept,概念卡,配置审计,,B,3,章节概念,配置变更知识产权与法律法规,12,配置变更知识产权与法律法规,T-CFG-001;T-LAW-001,配置管理：配置项、基线、配置库与版本控制;法律法规基础、合同法、招投标法与政府采购法考点,SRC-CH-12-007,topic_learning_packages/topics/12_配置变更知识产权与法律法规/T-CFG-001_专题学习包_配置管理配置项基线配置库与版本控制.md;topic_learning_packages/topics/12_配置变更知识产权与法律法规/T-LAW-001_专题学习包_法律法规基础合同法招投标法与政府采购法考点.md,配置审计,,,keep,Front 聚焦“配置审计”这一章内概念，Back 一句话定边界，Extra 给出本概念的题干信号。,ruankao ruankao::build::20260520_235046 ruankao::chapter::12 ruankao::domain::配置变更知识产权与法律法规 ruankao::type::概念卡 ruankao::importance::B ruankao::difficulty::3 ruankao::review::keep ruankao::chapter_concept,sha256:f1621d2b13538513a30f6a72
软考::系统集成项目管理工程师::12_配置变更知识产权与法律法规::章节概念卡::12_配置变更知识产权与法律法规_概念卡,RuankaoTopicCard,著作权是什么？,著作权保护作品表达，如软件源代码、文档等表达成果。,<div>理解：技术方案本身更可能涉及专利。</div><div>题干信号：表达成果、软件作品</div><div>来源：12_配置变更知识产权与法律法规 专题包 / topic_build_full 相关小节</div>,chapter_concept,概念卡,著作权,,B,3,章节概念,配置变更知识产权与法律法规,12,配置变更知识产权与法律法规,T-CFG-001;T-LAW-001,配置管理：配置项、基线、配置库与版本控制;法律法规基础、合同法、招投标法与政府采购法考点,SRC-CH-12-008,topic_learning_packages/topics/12_配置变更知识产权与法律法规/T-CFG-001_专题学习包_配置管理配置项基线配置库与版本控制.md;topic_learning_packages/topics/12_配置变更知识产权与法律法规/T-LAW-001_专题学习包_法律法规基础合同法招投标法与政府采购法考点.md,著作权,,,keep,Front 聚焦“著作权”这一章内概念，Back 一句话定边界，Extra 给出本概念的题干信号。,ruankao ruankao::build::20260520_235046 ruankao::chapter::12 ruankao::domain::配置变更知识产权与法律法规 ruankao::type::概念卡 ruankao::importance::B ruankao::difficulty::3 ruankao::review::keep ruankao::chapter_concept,sha256:0d71bf10e68e8ba6f1dce753
软考::系统集成项目管理工程师::12_配置变更知识产权与法律法规::章节概念卡::12_配置变更知识产权与法律法规_概念卡,RuankaoTopicCard,专利权是什么？,专利权保护具有新颖性、创造性和实用性的技术方案。,<div>理解：不要把“代码表达”直接说成专利。</div><div>题干信号：技术方案</div><div>来源：12_配置变更知识产权与法律法规 专题包 / topic_build_full 相关小节</div>,chapter_concept,概念卡,专利权,,B,3,章节概念,配置变更知识产权与法律法规,12,配置变更知识产权与法律法规,T-CFG-001;T-LAW-001,配置管理：配置项、基线、配置库与版本控制;法律法规基础、合同法、招投标法与政府采购法考点,SRC-CH-12-009,topic_learning_packages/topics/12_配置变更知识产权与法律法规/T-CFG-001_专题学习包_配置管理配置项基线配置库与版本控制.md;topic_learning_packages/topics/12_配置变更知识产权与法律法规/T-LAW-001_专题学习包_法律法规基础合同法招投标法与政府采购法考点.md,专利权,,,keep,Front 聚焦“专利权”这一章内概念，Back 一句话定边界，Extra 给出本概念的题干信号。,ruankao ruankao::build::20260520_235046 ruankao::chapter::12 ruankao::domain::配置变更知识产权与法律法规 ruankao::type::概念卡 ruankao::importance::B ruankao::difficulty::3 ruankao::review::keep ruankao::chapter_concept,sha256:c69cd77b5ad99c39051dec17
软考::系统集成项目管理工程师::12_配置变更知识产权与法律法规::章节概念卡::12_配置变更知识产权与法律法规_概念卡,RuankaoTopicCard,要约是什么？,要约是希望和他人订立合同的意思表示，内容应具体确定。,<div>理解：招投标场景中的法律性质涉及口径，应对具体题干判断。</div><div>题干信号：订立合同、具体确定</div><div>来源：12_配置变更知识产权与法律法规 专题包 / topic_build_full 相关小节</div>,chapter_concept,概念卡,要约,,B,3,章节概念,配置变更知识产权与法律法规,12,配置变更知识产权与法律法规,T-CFG-001;T-LAW-001,配置管理：配置项、基线、配置库与版本控制;法律法规基础、合同法、招投标法与政府采购法考点,SRC-CH-12-010,topic_learning_packages/topics/12_配置变更知识产权与法律法规/T-CFG-001_专题学习包_配置管理配置项基线配置库与版本控制.md;topic_learning_packages/topics/12_配置变更知识产权与法律法规/T-LAW-001_专题学习包_法律法规基础合同法招投标法与政府采购法考点.md,要约,,,keep,Front 聚焦“要约”这一章内概念，Back 一句话定边界，Extra 给出本概念的题干信号。,ruankao ruankao::build::20260520_235046 ruankao::chapter::12 ruankao::domain::配置变更知识产权与法律法规 ruankao::type::概念卡 ruankao::importance::B ruankao::difficulty::3 ruankao::review::keep ruankao::chapter_concept,sha256:daa8dc5b36122a1e29ee4ba0
