deck,note_type,front,back,extra,card_family,card_type,concept_name,concept_aliases,importance,difficulty,exam_use,knowledge_domain,chapter_id,chapter_name,source_topic_ids,source_topic_names,source_ids,source_file,source_heading,related_question_ids,related_topic_ids,manual_review_status,manual_review_note,tags,checksum
软考::系统集成项目管理工程师::真题刷题卡::上午选择题,RuankaoTopicCard,"【2019 下半年 上午 第 2 题】以下哪项不属于供应链系统设计的原则？
A. 分析市场需求和竞争环境
B. 自顶向下和自底向上相结合
C. 简洁
D. 取长补短",<div>【答案】</div><div>A</div>,<div>为什么选 A：供应链系统设计原则包括自顶向下和自底向上结合、简洁、取长补短等；分析市场需求和竞争环境更偏战略分析。</div><div>错项分析：请先按题干信号排除与题目对象不匹配的选项；本卡保留原选项用于刷题。</div><div>题干信号：以下哪项不属于供应链系统设计的原则？</div><div>关联专题：T-INFO-002</div><div>可迁移考点：信息系统技术基础</div>,question,真题刷题卡,,,A,3,上午选择,信息系统技术基础,13,信息系统技术基础,T-INFO-002,信息系统技术基础,SRC-Q-2019-H2-AM-Q02,questions.full.clean.md,2019-H2-AM-Q02,2019-H2-AM-Q02,T-INFO-002,keep,题干、四个选项和答案边界在源材料附近可定位；Back 只给答案，Extra 解释选择理由和迁移考点。,ruankao ruankao::build::20260520_235046 ruankao::chapter::13 ruankao::domain::信息系统技术基础 ruankao::type::真题刷题卡 ruankao::importance::A ruankao::difficulty::3 ruankao::review::keep ruankao::question ruankao::source::past_exam ruankao::topic::T-INFO-002 ruankao::question_id::2019-H2-AM-Q02,sha256:48086ae5703d415da0044fc8
软考::系统集成项目管理工程师::真题刷题卡::上午选择题,RuankaoTopicCard,"【2019 下半年 上午 第 3 题】在 ERP 系统中，不属于物流管理模块功能的是哪项？
A. 库存控制
B. 销售管理
C. 物料需求计划管理
D. 采购管理",<div>【答案】</div><div>C</div>,<div>为什么选 C：ERP 物流管理常含销售、库存、采购；物料需求计划更偏生产控制管理。</div><div>错项分析：请先按题干信号排除与题目对象不匹配的选项；本卡保留原选项用于刷题。</div><div>题干信号：在 ERP 系统中，不属于物流管理模块功能的是哪项？</div><div>关联专题：T-INFO-002</div><div>可迁移考点：信息系统技术基础</div>,question,真题刷题卡,,,A,3,上午选择,信息系统技术基础,13,信息系统技术基础,T-INFO-002,信息系统技术基础,SRC-Q-2019-H2-AM-Q03,questions.full.clean.md,2019-H2-AM-Q03,2019-H2-AM-Q03,T-INFO-002,keep,题干、四个选项和答案边界在源材料附近可定位；Back 只给答案，Extra 解释选择理由和迁移考点。,ruankao ruankao::build::20260520_235046 ruankao::chapter::13 ruankao::domain::信息系统技术基础 ruankao::type::真题刷题卡 ruankao::importance::A ruankao::difficulty::3 ruankao::review::keep ruankao::question ruankao::source::past_exam ruankao::topic::T-INFO-002 ruankao::question_id::2019-H2-AM-Q03,sha256:ad646583418b2eb3e9faed40
软考::系统集成项目管理工程师::真题刷题卡::上午选择题,RuankaoTopicCard,"【2019 下半年 上午 第 4 题】哪项准确说明了 CRM 的定位？
A. CRM 注重提高客户满意度，也把帮助企业提高获利能力作为重要指标
B. CRM 有统一客户数据库
C. CRM 提供销售、服务和营销自动化工具
D. CRM 应有可扩展性并可分类客户数据",<div>【答案】</div><div>A</div>,<div>为什么选 A：B/C/D 更偏 CRM 功能、设计原则或数据分类；A 更能概括 CRM 的经营定位。</div><div>错项分析：请先按题干信号排除与题目对象不匹配的选项；本卡保留原选项用于刷题。</div><div>题干信号：哪项准确说明了 CRM 的定位？</div><div>关联专题：T-INFO-002</div><div>可迁移考点：信息系统技术基础</div>,question,真题刷题卡,,,A,3,上午选择,信息系统技术基础,13,信息系统技术基础,T-INFO-002,信息系统技术基础,SRC-Q-2019-H2-AM-Q04,questions.full.clean.md,2019-H2-AM-Q04,2019-H2-AM-Q04,T-INFO-002,keep,题干、四个选项和答案边界在源材料附近可定位；Back 只给答案，Extra 解释选择理由和迁移考点。,ruankao ruankao::build::20260520_235046 ruankao::chapter::13 ruankao::domain::信息系统技术基础 ruankao::type::真题刷题卡 ruankao::importance::A ruankao::difficulty::3 ruankao::review::keep ruankao::question ruankao::source::past_exam ruankao::topic::T-INFO-002 ruankao::question_id::2019-H2-AM-Q04,sha256:011c372250b5628d78bcfeeb
软考::系统集成项目管理工程师::真题刷题卡::上午选择题,RuankaoTopicCard,"【2019 下半年 上午 第 5 题】通过搜集、管理和分析商业信息，使决策者获得洞察并做出有利决策的技术是？
A. CRM
B. OA
C. ERP
D. BI",<div>【答案】</div><div>D</div>,<div>为什么选 D：题干“商业信息分析、洞察、支持决策”是 BI 的典型信号。</div><div>错项分析：请先按题干信号排除与题目对象不匹配的选项；本卡保留原选项用于刷题。</div><div>题干信号：通过搜集、管理和分析商业信息，使决策者获得洞察并做出有利决策的技术是？</div><div>关联专题：T-INFO-002</div><div>可迁移考点：信息系统技术基础</div>,question,真题刷题卡,,,A,3,上午选择,信息系统技术基础,13,信息系统技术基础,T-INFO-002,信息系统技术基础,SRC-Q-2019-H2-AM-Q05,questions.full.clean.md,2019-H2-AM-Q05,2019-H2-AM-Q05,T-INFO-002,keep,题干、四个选项和答案边界在源材料附近可定位；Back 只给答案，Extra 解释选择理由和迁移考点。,ruankao ruankao::build::20260520_235046 ruankao::chapter::13 ruankao::domain::信息系统技术基础 ruankao::type::真题刷题卡 ruankao::importance::A ruankao::difficulty::3 ruankao::review::keep ruankao::question ruankao::source::past_exam ruankao::topic::T-INFO-002 ruankao::question_id::2019-H2-AM-Q05,sha256:913ecfb520003c78dd9a0f1d
软考::系统集成项目管理工程师::真题刷题卡::上午选择题,RuankaoTopicCard,"【2019 下半年 上午 第 7 题】以质量为中心的信息系统工程控制管理三方不包括哪项？
A. 主建方
B. 承建方
C. 评测单位
D. 监理单位",<div>【答案】</div><div>C</div>,<div>为什么选 C：材料说明三方为主建方、承建方和监理单位，不含评测单位。</div><div>错项分析：请先按题干信号排除与题目对象不匹配的选项；本卡保留原选项用于刷题。</div><div>题干信号：以质量为中心的信息系统工程控制管理三方不包括哪项？</div><div>关联专题：T-QUAL-001</div><div>可迁移考点：质量管理</div>,question,真题刷题卡,,,A,3,上午选择,质量管理,08,质量管理,T-QUAL-001,质量管理,SRC-Q-2019-H2-AM-Q07,questions.full.clean.md,2019-H2-AM-Q07,2019-H2-AM-Q07,T-QUAL-001,keep,题干、四个选项和答案边界在源材料附近可定位；Back 只给答案，Extra 解释选择理由和迁移考点。,ruankao ruankao::build::20260520_235046 ruankao::chapter::08 ruankao::domain::质量管理 ruankao::type::真题刷题卡 ruankao::importance::A ruankao::difficulty::3 ruankao::review::keep ruankao::question ruankao::source::past_exam ruankao::topic::T-QUAL-001 ruankao::question_id::2019-H2-AM-Q07,sha256:1f79f95f44dd2c423d81df5a
软考::系统集成项目管理工程师::真题刷题卡::上午选择题,RuankaoTopicCard,"【2019 下半年 上午 第 8 题】典型信息系统项目开发过程中，哪个阶段拟定系统目标、范围和要求？
A. 概要设计
B. 需求分析
C. 详细设计
D. 程序设计",<div>【答案】</div><div>B</div>,<div>为什么选 B：需求分析回答系统要做什么，并明确目标、范围和要求。</div><div>错项分析：请先按题干信号排除与题目对象不匹配的选项；本卡保留原选项用于刷题。</div><div>题干信号：典型信息系统项目开发过程中，哪个阶段拟定系统目标、范围和要求？</div><div>关联专题：T-INFO-001</div><div>可迁移考点：信息化与信息系统</div>,question,真题刷题卡,,,A,3,上午选择,信息化与信息系统,01,信息化与信息系统,T-INFO-001,信息化与信息系统,SRC-Q-2019-H2-AM-Q08,questions.full.clean.md,2019-H2-AM-Q08,2019-H2-AM-Q08,T-INFO-001,keep,题干、四个选项和答案边界在源材料附近可定位；Back 只给答案，Extra 解释选择理由和迁移考点。,ruankao ruankao::build::20260520_235046 ruankao::chapter::01 ruankao::domain::信息化与信息系统 ruankao::type::真题刷题卡 ruankao::importance::A ruankao::difficulty::3 ruankao::review::keep ruankao::question ruankao::source::past_exam ruankao::topic::T-INFO-001 ruankao::question_id::2019-H2-AM-Q08,sha256:f47dce0dcb5b629eadaf43e7
软考::系统集成项目管理工程师::真题刷题卡::上午选择题,RuankaoTopicCard,"【2010 上半年 上午 第 33 题】集成项目包括软件开发和现场安装调试，关于生命周期的说法正确的是？
A. 软件开发团队可把软件开发和现场安装调试视为两个不同项目/阶段
B. 需求确认前不能开发
C. 启动计划执行监督收尾最适合作为生命周期
D. 项目内部只能有一个生命周期模型",<div>【答案】</div><div>A</div>,<div>为什么选 A：材料解析明确站在软件团队负责人立场，可把软件开发和现场安装调试视为不同项目或阶段。</div><div>错项分析：请先按题干信号排除与题目对象不匹配的选项；本卡保留原选项用于刷题。</div><div>题干信号：集成项目包括软件开发和现场安装调试，关于生命周期的说法正确的是？</div><div>关联专题：T-PM-002</div><div>可迁移考点：项目管理基础</div>,question,真题刷题卡,,,A,3,上午选择,项目管理基础,02,项目管理基础,T-PM-002,项目管理基础,SRC-Q-2010-H1-AM-Q33,questions.full.clean.md,2010-H1-AM-Q33,2010-H1-AM-Q33,T-PM-002,keep,题干、四个选项和答案边界在源材料附近可定位；Back 只给答案，Extra 解释选择理由和迁移考点。,ruankao ruankao::build::20260520_235046 ruankao::chapter::02 ruankao::domain::项目管理基础 ruankao::type::真题刷题卡 ruankao::importance::A ruankao::difficulty::3 ruankao::review::keep ruankao::question ruankao::source::past_exam ruankao::topic::T-PM-002 ruankao::question_id::2010-H1-AM-Q33,sha256:75e39b5322aaad3f2d8ba805
软考::系统集成项目管理工程师::真题刷题卡::上午选择题,RuankaoTopicCard,"【2010 上半年 上午 第 34 题】关于企业组织类别，正确的是？
A. 职能型组织中不会有项目组织
B. 职能型和项目型运作方式完全不同
C. 通常只分职能型和项目型
D. 职能型组织内可以有项目存在，项目通常在职能部门内部运作",<div>【答案】</div><div>D</div>,<div>为什么选 D：职能型组织也可以存在项目，只是项目通常在职能部门内部运作。</div><div>错项分析：请先按题干信号排除与题目对象不匹配的选项；本卡保留原选项用于刷题。</div><div>题干信号：关于企业组织类别，正确的是？</div><div>关联专题：T-ORG-001</div><div>可迁移考点：综合专题与跨域辨析</div>,question,真题刷题卡,,,A,3,上午选择,综合专题与跨域辨析,99,综合专题与跨域辨析,T-ORG-001,综合专题与跨域辨析,SRC-Q-2010-H1-AM-Q34,questions.full.clean.md,2010-H1-AM-Q34,2010-H1-AM-Q34,T-ORG-001,keep,题干、四个选项和答案边界在源材料附近可定位；Back 只给答案，Extra 解释选择理由和迁移考点。,ruankao ruankao::build::20260520_235046 ruankao::chapter::99 ruankao::domain::综合专题与跨域辨析 ruankao::type::真题刷题卡 ruankao::importance::A ruankao::difficulty::3 ruankao::review::keep ruankao::question ruankao::source::past_exam ruankao::topic::T-ORG-001 ruankao::question_id::2010-H1-AM-Q34,sha256:3f126fe336a86ad3d7b85f1a
软考::系统集成项目管理工程师::真题刷题卡::上午选择题,RuankaoTopicCard,"【2010 上半年 上午 第 35 题】张工同时在其他项目担任重要角色，为避免资源冲突，资源估算时应提交什么？
A. 专家评审意见
B. 活动属性
C. 资源类比估算清单
D. 活动资源日历",<div>【答案】</div><div>D</div>,<div>为什么选 D：题干核心是资源时间冲突，活动资源日历用于反映资源可用时间。</div><div>错项分析：请先按题干信号排除与题目对象不匹配的选项；本卡保留原选项用于刷题。</div><div>题干信号：张工同时在其他项目担任重要角色，为避免资源冲突，资源估算时应提交什么？</div><div>关联专题：T-HR-001</div><div>可迁移考点：人力资源与沟通管理</div>,question,真题刷题卡,,,A,3,上午选择,人力资源与沟通管理,09,人力资源与沟通管理,T-HR-001,人力资源与沟通管理,SRC-Q-2010-H1-AM-Q35,questions.full.clean.md,2010-H1-AM-Q35,2010-H1-AM-Q35,T-HR-001,keep,题干、四个选项和答案边界在源材料附近可定位；Back 只给答案，Extra 解释选择理由和迁移考点。,ruankao ruankao::build::20260520_235046 ruankao::chapter::09 ruankao::domain::人力资源与沟通管理 ruankao::type::真题刷题卡 ruankao::importance::A ruankao::difficulty::3 ruankao::review::keep ruankao::question ruankao::source::past_exam ruankao::topic::T-HR-001 ruankao::question_id::2010-H1-AM-Q35,sha256:a32621915f7243f83c57ac67
软考::系统集成项目管理工程师::真题刷题卡::上午选择题,RuankaoTopicCard,"【2010 上半年 上午 第 36 题】子任务 I 乐观3、最可能4、悲观8；子任务 II 乐观5、最可能6、悲观10。任务估算历时为？
A. 10
B. 11
C. 12
D. 13",<div>【答案】</div><div>B</div>,<div>为什么选 B：PERT 期望：I=(3+4×4+8)/6=4.5，II=(5+4×6+10)/6=6.5，总计 11。</div><div>错项分析：请先按题干信号排除与题目对象不匹配的选项；本卡保留原选项用于刷题。</div><div>题干信号：子任务 I 乐观3、最可能4、悲观8；子任务 II 乐观5、最可能6、悲观10。</div><div>关联专题：T-SCH-003</div><div>可迁移考点：进度管理</div>,question,真题刷题卡,,,A,3,上午选择,进度管理,06,进度管理,T-SCH-003,进度管理,SRC-Q-2010-H1-AM-Q36,questions.full.clean.md,2010-H1-AM-Q36,2010-H1-AM-Q36,T-SCH-003,keep,题干、四个选项和答案边界在源材料附近可定位；Back 只给答案，Extra 解释选择理由和迁移考点。,ruankao ruankao::build::20260520_235046 ruankao::chapter::06 ruankao::domain::进度管理 ruankao::type::真题刷题卡 ruankao::importance::A ruankao::difficulty::3 ruankao::review::keep ruankao::question ruankao::source::past_exam ruankao::topic::T-SCH-003 ruankao::question_id::2010-H1-AM-Q36,sha256:3b1e9730bdd50d655d959dad
