KnowledgePointID,TopicID,TopicName,Domain,SourceIDs,SourceFiles,HeadingPath,KnowledgePoint,WhyExamRelevant,CardTypes,ExamUse,Importance,Difficulty,NeedsVerification,RelatedTopicIDs,RelatedQuestionIDs,RejectRisk
KP-0001,T-INFO-001,信息化、信息系统生命周期与系统集成基础,信息化与系统集成基础,SRC-T-INFO-001-0001,topic_learning_packages/topics/01_信息化与信息系统/T-INFO-001_专题学习包_信息化信息系统生命周期与系统集成基础.md,信息化、信息系统生命周期与系统集成基础,"T-INFO-001｜信息化、信息系统生命周期与系统集成基础 本专题用于学习""信息化与系统集成基础""中的核心总览内容：信息与信息化的概念、信息系统生命周期（立项/开发/运维/消亡）、系统集成项目的特点、信息化与项目管理的对接点。它不与 ERP/CRM/SCM 等具体应用专题重复，而是提供一个基础框架。",可用于定义识别、场景判断、流程边界或案例答题。,概念卡,上午选择,B,3,False,,,
KP-0002,T-INFO-001,信息化、信息系统生命周期与系统集成基础,信息化与系统集成基础,SRC-T-INFO-001-0002,topic_learning_packages/topics/01_信息化与信息系统/T-INFO-001_专题学习包_信息化信息系统生命周期与系统集成基础.md,信息化、信息系统生命周期与系统集成基础 > 先看这个专题的主线,先看这个专题的主线 信息化与系统集成基础是上午选择题的固定考点（通常 3-5 分），内容分布较散——既有概念题（信息 vs 信息化）、生命期题（各阶段做什么）、技术题（开发方法、测试）、也有法规题（监理、资质）。 ---,可用于定义识别、场景判断、流程边界或案例答题。,辨析卡,上午选择,B,3,True,,,verification
KP-0003,T-INFO-001,信息化、信息系统生命周期与系统集成基础,信息化与系统集成基础,SRC-T-INFO-001-0003,topic_learning_packages/topics/01_信息化与信息系统/T-INFO-001_专题学习包_信息化信息系统生命周期与系统集成基础.md,信息化、信息系统生命周期与系统集成基础 > 信息、信息系统与信息化,信息、信息系统与信息化 [概念组｜三个基本概念] - 信息：经过加工后能减少不确定性的内容。数据是信息的载体，信息是有含义的数据。,可用于定义识别、场景判断、流程边界或案例答题。,流程卡,上午选择,B,3,False,,,
KP-0004,T-INFO-001,信息化、信息系统生命周期与系统集成基础,信息化与系统集成基础,SRC-T-INFO-001-0004,topic_learning_packages/topics/01_信息化与信息系统/T-INFO-001_专题学习包_信息化信息系统生命周期与系统集成基础.md,信息化、信息系统生命周期与系统集成基础 > 信息系统生命周期,信息系统生命周期 [概念组｜信息系统生命周期四阶段] 1. 立项阶段：提出系统建设的初步设想，形成项目建议书，进行可行性研究。 2. 开发阶段：需求分析→系统设计→编码实现→测试。,可用于定义识别、场景判断、流程边界或案例答题。,辨析卡,上午选择,B,3,False,,,
KP-0005,T-INFO-001,信息化、信息系统生命周期与系统集成基础,信息化与系统集成基础,SRC-T-INFO-001-0005,topic_learning_packages/topics/01_信息化与信息系统/T-INFO-001_专题学习包_信息化信息系统生命周期与系统集成基础.md,信息化、信息系统生命周期与系统集成基础 > 系统集成项目的特点,系统集成项目的特点 系统集成项目为什么比普通项目更难管？因为它有几个鲜明的特征： - 需求不明确：客户常常说不清到底要什么，需要项目过程中不断澄清和确认→需求管理和变更管理极为重要 - 干系人多：涉及建设方、承建方、监理方、最终用户、运维团队等多方→干系人管理和沟通管理挑战大 - 软硬件服务组合：不只是软件，还包括硬件、网络、培训、运维等多种交付物→范围管理,可用于定义识别、场景判断、流程边界或案例答题。,概念卡,上午选择,B,3,False,,,
KP-0006,T-INFO-001,信息化、信息系统生命周期与系统集成基础,信息化与系统集成基础,SRC-T-INFO-001-0006,topic_learning_packages/topics/01_信息化与信息系统/T-INFO-001_专题学习包_信息化信息系统生命周期与系统集成基础.md,信息化、信息系统生命周期与系统集成基础 > 典型题详解与举一反三,"典型题详解与举一反三 例题 1｜信息 vs 信息化 以下哪项描述的是""信息化""而非""信息系统""？ A. 企业内部的 ERP 管理平台 B. 政府部门的网上办事大厅 C. 用信息技术改造组织的业务流程 D. 学校的教务管理系统 A、B、D 都是具体的信息系统（产品）。",可用于定义识别、场景判断、流程边界或案例答题。,流程卡;辨析卡,上午选择,B,3,False,,,
KP-0007,T-INFO-001,信息化、信息系统生命周期与系统集成基础,信息化与系统集成基础,SRC-T-INFO-001-0007,topic_learning_packages/topics/01_信息化与信息系统/T-INFO-001_专题学习包_信息化信息系统生命周期与系统集成基础.md,信息化、信息系统生命周期与系统集成基础 > 本轮真题覆盖增强：信息系统集成核心识别,本轮真题覆盖增强：信息系统集成核心识别 本节把 questions.full.clean.md 与既有真题映射中的高频考法反查回本专题。2010 上半年上午题解析中出现“信息系统集成核心是软件”、系统生命周期、测试和信息化小概念等考法。,可用于定义识别、场景判断、流程边界或案例答题。,关键词识别卡;案例模板卡;流程卡;辨析卡,下午案例,B,3,True,,,verification
KP-0008,T-INFO-001,信息化、信息系统生命周期与系统集成基础,信息化与系统集成基础,SRC-T-INFO-001-0009,topic_learning_packages/topics/01_信息化与信息系统/T-INFO-001_专题学习包_信息化信息系统生命周期与系统集成基础.md,信息化、信息系统生命周期与系统集成基础 > 本专题的最小掌握标准,本专题的最小掌握标准 至少能做到：① 区分信息、信息系统、信息化三个概念；② 说出信息系统生命周期的四个阶段并判断给定活动属于哪个阶段；③ 识别系统集成项目的五个核心特征；④ 区分信息系统生命周期和项目生命周期。 ---,可用于定义识别、场景判断、流程边界或案例答题。,概念卡,上午选择,B,3,True,,,verification
KP-0009,T-INFO-001,信息化、信息系统生命周期与系统集成基础,信息化与系统集成基础,SRC-T-INFO-001-0010,topic_learning_packages/topics/01_信息化与信息系统/T-INFO-001_专题学习包_信息化信息系统生命周期与系统集成基础.md,信息化、信息系统生命周期与系统集成基础 > 待核验与后续改进,待核验与后续改进 - 信息化体系的具体要素（如国家信息化体系六要素）在教程中的表述需确认。[待核验] - 建议与 T-INFO-002（ERP/CRM/SCM/EAI/BI）和 T-INFO-004（开发方法与测试）组合学习，构成本知识域的完整覆盖。,可用于定义识别、场景判断、流程边界或案例答题。,概念卡,上午选择,B,3,True,,,verification
KP-0010,T-PM-002,五大过程组、十大知识域与 PDCA,项目管理基础,SRC-T-PM-002-0001,topic_learning_packages/topics/02_项目管理基础/T-PM-002_专题学习包_五大过程组十大知识域与PDCA.md,五大过程组、十大知识域与 PDCA,"T-PM-002｜五大过程组、十大知识域与 PDCA 本专题用于学习""项目管理基础""中为后续所有知识域提供框架的一组核心内容：五大过程组（启动、规划、执行、监控、收尾）、十大知识领域、过程组与知识域的矩阵关系、PDCA 循环、项目阶段与过程组的关系、关键管理过程的过程组归属。它们不是需要死记硬背的列表，而是围绕一个核心问题展开：项目管理工作从开始到结束，要在",可用于定义识别、场景判断、流程边界或案例答题。,案例模板卡,下午案例,A,3,False,,,
