deck,note_type,front,back,extra,card_family,card_type,concept_name,concept_aliases,importance,difficulty,exam_use,knowledge_domain,chapter_id,chapter_name,source_topic_ids,source_topic_names,source_ids,source_file,source_heading,related_question_ids,related_topic_ids,manual_review_status,manual_review_note,tags,checksum
软考::系统集成项目管理工程师,Basic,信息是什么？,信息是经过加工、具有意义并能支持决策的数据。,<div>理解：数据偏事实记录，信息偏可理解和可用于决策的内容。</div><div>题干信号：数据、加工、意义、决策</div><div>来源：01_信息化与信息系统 专题包 / topic_build_full 相关小节</div>,chapter_concept,概念卡,,,A,,,,01,01_信息化与信息系统,,,SRC-CH-01-001,outputs/anki_builds/full_expansion_20260521_003052/chapters/by_chapter/01_信息化与信息系统/chapter_concept_cards.md,01_信息化与信息系统 章节概念卡 (扩展版),,,keep,章节核心概念，Front具体，Back一句话定边界，Extra给出题干信号，本卡有稳定的复习价值。,ruankao ruankao::family::chapter_concept ruankao::card_type::概念卡 ruankao::importance::A ruankao::chapter::01,sha256:a3f0d78d1abb07df1981b768
软考::系统集成项目管理工程师,Basic,信息化是什么？,信息化是利用信息技术开发和利用信息资源，推动业务、组织和社会运行方式改变的过程。,<div>理解：它不是单纯买设备，而是技术、数据、流程和管理共同变化。</div><div>题干信号：信息技术应用、信息资源、业务改造</div><div>来源：01_信息化与信息系统 专题包 / topic_build_full 相关小节</div>,chapter_concept,概念卡,,,A,,,,01,01_信息化与信息系统,,,SRC-CH-01-002,outputs/anki_builds/full_expansion_20260521_003052/chapters/by_chapter/01_信息化与信息系统/chapter_concept_cards.md,01_信息化与信息系统 章节概念卡 (扩展版),,,keep,章节核心概念，Front具体，Back一句话定边界，Extra给出本概念的题干信号。,ruankao ruankao::family::chapter_concept ruankao::card_type::概念卡 ruankao::importance::A ruankao::chapter::01,sha256:61414f93bbfce7addc3c6cbe
软考::系统集成项目管理工程师,Basic,国家信息化体系是什么？,国家信息化体系通常从信息资源、网络、技术应用、产业、人才、政策法规和标准等要素理解。,<div>理解：具体要素表述有教材口径风险，涉及完整枚举时应核验。</div><div>题干信号：六要素、政策法规、信息化人才</div><div>来源：01_信息化与信息系统 专题包 / topic_build_full 相关小节</div>,chapter_concept,概念卡,,,B,,,,01,01_信息化与信息系统,,,SRC-CH-01-003,outputs/anki_builds/full_expansion_20260521_003052/chapters/by_chapter/01_信息化与信息系统/chapter_concept_cards.md,01_信息化与信息系统 章节概念卡 (扩展版),,,keep,关键概念但要素枚举有口径差异风险，B级合理。,ruankao ruankao::family::chapter_concept ruankao::card_type::概念卡 ruankao::importance::B ruankao::chapter::01,sha256:2e58aebea486ecfb02cfba89
软考::系统集成项目管理工程师,Basic,信息系统是什么？,信息系统是由人、硬件、软件、网络、数据和规程组成，用于处理信息并支持组织活动的系统。,<div>理解：不要把信息系统等同于软件；系统集成题常强调软硬件、网络和管理的整体。</div><div>题干信号：人机系统、数据处理、组织支持</div><div>来源：01_信息化与信息系统 专题包 / topic_build_full 相关小节</div>,chapter_concept,概念卡,,,A,,,,01,01_信息化与信息系统,,,SRC-CH-01-004,outputs/anki_builds/full_expansion_20260521_003052/chapters/by_chapter/01_信息化与信息系统/chapter_concept_cards.md,01_信息化与信息系统 章节概念卡 (扩展版),,,keep,Front聚焦概念，Back定义完整，Extra关联系统集成实务。,ruankao ruankao::family::chapter_concept ruankao::card_type::概念卡 ruankao::importance::A ruankao::chapter::01,sha256:b4d0c29c248ccd23abc1ab77
软考::系统集成项目管理工程师,Basic,信息系统生命周期是什么？,信息系统生命周期描述系统从规划、开发、运行维护到更新或退役的全过程。,<div>理解：它比单个项目生命周期更长，系统上线后仍进入运维和演化。</div><div>题干信号：规划、开发、运维、退役</div><div>来源：01_信息化与信息系统 专题包 / topic_build_full 相关小节</div>,chapter_concept,概念卡,,,A,,,,01,01_信息化与信息系统,,,SRC-CH-01-005,outputs/anki_builds/full_expansion_20260521_003052/chapters/by_chapter/01_信息化与信息系统/chapter_concept_cards.md,01_信息化与信息系统 章节概念卡 (扩展版),,,keep,核心概念，区分于项目生命周期，Extra强调生命周期跨度差异。,ruankao ruankao::family::chapter_concept ruankao::card_type::概念卡 ruankao::importance::A ruankao::chapter::01,sha256:5c412c5fcebed6c386a9234d
软考::系统集成项目管理工程师,Basic,系统集成是什么？,系统集成是把硬件、软件、网络、数据和业务流程组合成满足用户需求的信息系统。,<div>理解：核心不是拼设备，而是满足用户需求并形成可运行整体。</div><div>题干信号：软硬件网络集成、满足需求</div><div>来源：01_信息化与信息系统 专题包 / topic_build_full 相关小节</div>,chapter_concept,概念卡,,,A,,,,01,01_信息化与信息系统,,,SRC-CH-01-006,outputs/anki_builds/full_expansion_20260521_003052/chapters/by_chapter/01_信息化与信息系统/chapter_concept_cards.md,01_信息化与信息系统 章节概念卡 (扩展版),,,keep,本专题核心实务概念，Back定边界，Extra正本清源。,ruankao ruankao::family::chapter_concept ruankao::card_type::概念卡 ruankao::importance::A ruankao::chapter::01,sha256:16a6a2302ff35f33baeefc64
软考::系统集成项目管理工程师,Basic,需求分析是什么？,需求分析明确待建系统必须做什么以及应具备哪些功能和性能。,<div>理解：需求分析问 What to do，设计阶段才问 How to do。</div><div>题干信号：目标、范围、用户需求、What</div><div>来源：01_信息化与信息系统 专题包 / topic_build_full 相关小节</div>,chapter_concept,概念卡,,,A,,,,01,01_信息化与信息系统,,,SRC-CH-01-007,outputs/anki_builds/full_expansion_20260521_003052/chapters/by_chapter/01_信息化与信息系统/chapter_concept_cards.md,01_信息化与信息系统 章节概念卡 (扩展版),,,keep,"需求分析是后续章节基础，Extra用""What vs How""口诀帮助辨析。",ruankao ruankao::family::chapter_concept ruankao::card_type::概念卡 ruankao::importance::A ruankao::chapter::01,sha256:02d12e8db3ae9d6e9ff03b46
软考::系统集成项目管理工程师,Basic,瀑布模型是什么？,瀑布模型按需求、设计、编码、测试等阶段顺序推进，适合需求较稳定的项目。,<div>理解：需求不清或风险高时，瀑布模型容易在后期暴露问题。</div><div>题干信号：阶段顺序、需求稳定</div><div>来源：01_信息化与信息系统 专题包 / topic_build_full 相关小节</div>,chapter_concept,概念卡,,,B,,,,01,01_信息化与信息系统,,,SRC-CH-01-008,outputs/anki_builds/full_expansion_20260521_003052/chapters/by_chapter/01_信息化与信息系统/chapter_concept_cards.md,01_信息化与信息系统 章节概念卡 (扩展版),,,keep,经典开发模型，B级非核心失分点但仍需掌握。,ruankao ruankao::family::chapter_concept ruankao::card_type::概念卡 ruankao::importance::B ruankao::chapter::01,sha256:09c8e20394dc035a417d208f
软考::系统集成项目管理工程师,Basic,V 模型是什么？,V 模型强调开发阶段与测试阶段的对应关系，突出验证和确认。,<div>理解：看到需求、设计与验收测试、系统测试配对时，要想到 V 模型。</div><div>题干信号：测试对应、验证确认</div><div>来源：01_信息化与信息系统 专题包 / topic_build_full 相关小节</div>,chapter_concept,概念卡,,,B,,,,01,01_信息化与信息系统,,,SRC-CH-01-009,outputs/anki_builds/full_expansion_20260521_003052/chapters/by_chapter/01_信息化与信息系统/chapter_concept_cards.md,01_信息化与信息系统 章节概念卡 (扩展版),,,keep,开发模型辨析常见，Extra强调配对关系。,ruankao ruankao::family::chapter_concept ruankao::card_type::概念卡 ruankao::importance::B ruankao::chapter::01,sha256:aa63975269ce06ead3d477e1
软考::系统集成项目管理工程师,Basic,UML是什么？,UML 是面向对象分析与设计的可视化建模语言，不是程序设计语言。,"<div>理解：题干说""可视化程序设计语言""通常是陷阱。</div><div>题干信号：建模语言、类图、用例图</div><div>来源：01_信息化与信息系统 专题包 / topic_build_full 相关小节</div>",chapter_concept,概念卡,,,B,,,,01,01_信息化与信息系统,,,SRC-CH-01-010,outputs/anki_builds/full_expansion_20260521_003052/chapters/by_chapter/01_信息化与信息系统/chapter_concept_cards.md,01_信息化与信息系统 章节概念卡 (扩展版),,,keep,"常见易混淆概念，Extra给出典型错误选项信号。

---",ruankao ruankao::family::chapter_concept ruankao::card_type::概念卡 ruankao::importance::B ruankao::chapter::01,sha256:49098c10e6483d5b54e4f019
